CODEPAGE 10003          ; Korean - MAC
0xca	0x25a7	;¢Ê Square With Upper Left To Lower Right Fill
0xcb	0x25a6	;¢Ë Square With Orthogonal Crosshatch Fill
0xcc	0x25a9	;¢Ì Square With Diagonal Crosshatch Fill
0xcd	0x2668	;¢Í Hot Springs
0xce	0x260f	;¢Î White Telephone
0xcf	0x260e	;¢Ï Black Telephone
0xd0	0x261c	;¢Ð White Left Pointing Index
0xd1	0x261e	;¢Ñ White Right Pointing Index
0xd2	0x00b6	;¢Ò Paragraph Sign
0xd3	0x2020	;¢Ó Dagger
0xd4	0x2021	;¢Ô Double Dagger
0xd5	0x2195	;¢Õ Up Down Arrow
0xd6	0x2197	;¢Ö Upper Right Arrow
0xd7	0x2199	;¢× Lower Left Arrow
0xd8	0x2196	;¢Ø Upper Left Arrow
0xd9	0x2198	;¢Ù Lower Right Arrow
0xda	0x266d	;¢Ú Flat
0xdb	0x2669	;¢Û Quarter Note
0xdc	0x266a	;¢Ü Eighth Note
0xdd	0x266c	;¢Ý Barred Sixteenth Notes
0xde	0x327f	;¢Þ Korean Standard Symbol
0xdf	0x321c	;¢ß Parenthesized Hangul Ju
0xe0	0x2116	;¢à Numero
0xe1	0x33c7	;¢á Squared Co
0xe2	0x2122	;¢â Trademark
0xe3	0x33c2	;¢ã Squared Am
0xe4	0x33d8	;¢ä Squared Pm
0xe5	0x2121	;¢å T E L Symbol

DBCSTABLE 94            ;LeadByte = 0xa3

0xa1	0xff01	;£¡ Fullwidth Exclamation Mark
0xa2	0xff02	;£¢ Fullwidth Quotation Mark
0xa3	0xff03	;££ Fullwidth Number Sign
0xa4	0xff04	;£¤ Fullwidth Dollar Sign
0xa5	0xff05	;£¥ Fullwidth Percent Sign
0xa6	0xff06	;£¦ Fullwidth Ampersand
0xa7	0xff07	;£§ Fullwidth Apostrophe
0xa8	0xff08	;£¨ Fullwidth Opening Parenthesis
0xa9	0xff09	;£© Fullwidth Closing Parenthesis
0xaa	0xff0a	;£ª Fullwidth Asterisk
0xab	0xff0b	;£« Fullwidth Plus Sign
0xac	0xff0c	;£¬ Fullwidth Comma
0xad	0xff0d	;£­ Fullwidth Hyphen-Minus
0xae	0xff0e	;£® Fullwidth Period
0xaf	0xff0f	;£¯ Fullwidth Slash
0xb0	0xff10	;£° Fullwidth Digit Zero
0xb1	0xff11	;£± Fullwidth Digit One
0xb2	0xff12	;£² Fullwidth Digit Two
0xb3	0xff13	;£³ Fullwidth Digit Three
0xb4	0xff14	;£´ Fullwidth Digit Four
0xb5	0xff15	;£µ Fullwidth Digit Five
0xb6	0xff16	;£¶ Fullwidth Digit Six
0xb7	0xff17	;£· Fullwidth Digit Seven
0xb8	0xff18	;£¸ Fullwidth Digit Eight
0xb9	0xff19	;£¹ Fullwidth Digit Nine
0xba	0xff1a	;£º Fullwidth Colon
0xbb	0xff1b	;£» Fullwidth Semicolon
0xbc	0xff1c	;£¼ Fullwidth Less-Than Sign
0xbd	0xff1d	;£½ Fullwidth Equals Sign
0xbe	0xff1e	;£¾ Fullwidth Greater-Than Sign
0xbf	0xff1f	;£¿ Fullwidth Question Mark
0xc0	0xff20	;£À Fullwidth Commercial At
0xc1	0xff21	;£Á Fullwidth Capital A
0xc2	0xff22	;£Â Fullwidth Capital B
0xc3	0xff23	;£Ã Fullwidth Capital C
0xc4	0xff24	;£Ä Fullwidth Capital D
0xc5	0xff25	;£Å Fullwidth Capital E
0xc6	0xff26	;£Æ Fullwidth Capital F
0xc7	0xff27	;£Ç Fullwidth Capital G
0xc8	0xff28	;£È Fullwidth Capital H
0xc9	0xff29	;£É Fullwidth Capital I
0xca	0xff2a	;£Ê Fullwidth Capital J
0xcb	0xff2b	;£Ë Fullwidth Capital K
0xcc	0xff2c	;£Ì Fullwidth Capital L
0xcd	0xff2d	;£Í Fullwidth Capital M
0xce	0xff2e	;£Î Fullwidth Capital N
0xcf	0xff2f	;£Ï Fullwidth Capital O
0xd0	0xff30	;£Ð Fullwidth Capital P
0xd1	0xff31	;£Ñ Fullwidth Capital Q
0xd2	0xff32	;£Ò Fullwidth Capital R
0xd3	0xff33	;£Ó Fullwidth Capital S
0xd4	0xff34	;£Ô Fullwidth Capital T
0xd5	0xff35	;£Õ Fullwidth Capital U
0xd6	0xff36	;£Ö Fullwidth Capital V
0xd7	0xff37	;£× Fullwidth Capital W
0xd8	0xff38	;£Ø Fullwidth Capital X
0xd9	0xff39	;£Ù Fullwidth Capital Y
0xda	0xff3a	;£Ú Fullwidth Capital Z
0xdb	0xff3b	;£Û Fullwidth Opening Square Bracket
0xdc	0xffe6	;£Ü Fullwidth Won Sign
0xdd	0xff3d	;£Ý Fullwidth Closing Square Bracket
0xde	0xff3e	;£Þ Fullwidth Spacing Circumflex
0xdf	0xff3f	;£ß Fullwidth Spacing Underscore
0xe0	0xff40	;£à Fullwidth Spacing Grave
0xe1	0xff41	;£á Fullwidth Small A
0xe2	0xff42	;£â Fullwidth Small B
0xe3	0xff43	;£ã Fullwidth Small C
0xe4	0xff44	;£ä Fullwidth Small D
0xe5	0xff45	;£å Fullwidth Small E
0xe6	0xff46	;£æ Fullwidth Small F
0xe7	0xff47	;£ç Fullwidth Small G
0xe8	0xff48	;£è Fullwidth Small H
0xe9	0xff49	;£é Fullwidth Small I
0xea	0xff4a	;£ê Fullwidth Small J
0xeb	0xff4b	;£ë Fullwidth Small K
0xec	0xff4c	;£ì Fullwidth Small L
0xed	0xff4d	;£í Fullwidth Small M
0xee	0xff4e	;£î Fullwidth Small N
0xef	0xff4f	;£ï Fullwidth Small O
0xf0	0xff50	;£ð Fullwidth Small P
0xf1	0xff51	;£ñ Fullwidth Small Q
0xf2	0xff52	;£ò Fullwidth Small R
0xf3	0xff53	;£ó Fullwidth Small S
0xf4	0xff54	;£ô Fullwidth Small T
0xf5	0xff55	;£õ Fullwidth Small U
0xf6	0xff56	;£ö Fullwidth Small V
0xf7	0xff57	;£÷ Fullwidth Small W
0xf8	0xff58	;£ø Fullwidth Small X
0xf9	0xff59	;£ù Fullwidth Small Y
0xfa	0xff5a	;£ú Fullwidth Small Z
0xfb	0xff5b	;£û Fullwidth Opening Curly Bracket
0xfc	0xff5c	;£ü Fullwidth Vertical Bar
0xfd	0xff5d	;£ý Fullwidth Closing Curly Bracket
0xfe	0xffe3	;£þ Fullwidth Spacing Macron

DBCSTABLE 94            ;LeadByte = 0xa4

0xa1	0x3131	;¤¡ Hangul Giyeog
0xa2	0x3132	;¤¢ Hangul Ssang Giyeog
0xa3	0x3133	;¤£ Hangul Giyeog Sios
0xa4	0x3134	;¤¤ Hangul Nieun
0xa5	0x3135	;¤¥ Hangul Nieun Jieuj
0xa6	0x3136	;¤¦ Hangul Nieun Hieuh
0xa7	0x3137	;¤§ Hangul Digeud
0xa8	0x3138	;¤¨ Hangul Ssang Digeud
0xa9	0x3139	;¤© Hangul Lieul
0xaa	0x313a	;¤ª Hangul Lieul Giyeog
0xab	0x313b	;¤« Hangul Lieul Mieum
0xac	0x313c	;¤¬ Hangul Lieul Bieub
0xad	0x313d	;¤­ Hangul Lieul Sios
0xae	0x313e	;¤® Hangul Lieul Tieut
0xaf	0x313f	;¤¯ Hangul Lieul Pieup
0xb0	0x3140	;¤° Hangul Lieul Hieuh
0xb1	0x3141	;¤± Hangul Mieum
0xb2	0x3142	;¤² Hangul Bieub
0xb3	0x3143	;¤³ Hangul Ssang Bieub
0xb4	0x3144	;¤´ Hangul Bieub Sios
0xb5	0x3145	;¤µ Hangul Sios
0xb6	0x3146	;¤¶ Hangul Ssang Sios
0xb7	0x3147	;¤· Hangul Ieung
0xb8	0x3148	;¤¸ Hangul Jieuj
0xb9	0x3149	;¤¹ Hangul Ssang Jieuj
0xba	0x314a	;¤º Hangul Cieuc
0xbb	0x314b	;¤» Hangul Kiyeok
0xbc	0x314c	;¤¼ Hangul Tieut
0xbd	0x314d	;¤½ Hangul Pieup
0xbe	0x314e	;¤¾ Hangul Hieuh
0xbf	0x314f	;¤¿ Hangul A
0xc0	0x3150	;¤À Hangul Ae
0xc1	0x3151	;¤Á Hangul Ya
0xc2	0x3152	;¤Â Hangul Yae
0xc3	0x3153	;¤Ã Hangul Eo
0xc4	0x3154	;¤Ä Hangul E
0xc5	0x3155	;¤Å Hangul Yeo
0xc6	0x3156	;¤Æ Hangul Ye
0xc7	0x3157	;¤Ç Hangul O
0xc8	0x3158	;¤È Hangul Wa
0xc9	0x3159	;¤É Hangul Wae
0xca	0x315a	;¤Ê Hangul Oe
0xcb	0x315b	;¤Ë Hangul Yo
0xcc	0x315c	;¤Ì Hangul U
0xcd	0x315d	;¤Í Hangul Weo
0xce	0x315e	;¤Î Hangul We
0xcf	0x315f	;¤Ï Hangul Wi
0xd0	0x3160	;¤Ð Hangul Yu
0xd1	0x3161	;¤Ñ Hangul Eu
0xd2	0x3162	;¤Ò Hangul Yi
0xd3	0x3163	;¤Ó Hangul I
0xd4	0x3164	;¤Ô Hangul Cae Om
0xd5	0x3165	;¤Õ Hangul Ssang Nieun
0xd6	0x3166	;¤Ö Hangul Nieun Digeud
0xd7	0x3167	;¤× Hangul Nieun Sios
0xd8	0x3168	;¤Ø Hangul Nieun Ban Chi Eum
0xd9	0x3169	;¤Ù Hangul Lieul Giyeog Sios
0xda	0x316a	;¤Ú Hangul Lieul Digeud
0xdb	0x316b	;¤Û Hangul Lieul Bieub Sios
0xdc	0x316c	;¤Ü Hangul Lieul Ban Chi Eum
0xdd	0x316d	;¤Ý Hangul Lieul Yeolin Hieuh
0xde	0x316e	;¤Þ Hangul Mieum Bieub
0xdf	0x316f	;¤ß Hangul Mieum Sios
0xe0	0x3170	;¤à Hangul Bieub Ban Chi Eum
0xe1	0x3171	;¤á Hangul Mieum Sun Gyeong Eum
0xe2	0x3172	;¤â Hangul Bieub Giyeog
0xe3	0x3173	;¤ã Hangul Bieub Digeud
0xe4	0x3174	;¤ä Hangul Bieub Sios Giyeog
0xe5	0x3175	;¤å Hangul Bieub Sios Digeud
0xe6	0x3176	;¤æ Hangul Bieub Jieuj
0xe7	0x3177	;¤ç Hangul Bieub Tieut
0xe8	0x3178	;¤è Hangul Bieub Sun Gyeong Eum
0xe9	0x3179	;¤é Hangul Ssang Bieub Sun Gyeong Eum
0xea	0x317a	;¤ê Hangul Sios Giyeog
0xeb	0x317b	;¤ë Hangul Sios Nieun
0xec	0x317c	;¤ì Hangul Sios Digeud
0xed	0x317d	;¤í Hangul Sios Bieub
0xee	0x317e	;¤î Hangul Sios Jieuj
0xef	0x317f	;¤ï Hangul Ban Chi Eum
0xf0	0x3180	;¤ð Hangul Ssang Ieung
0xf1	0x3181	;¤ñ Hangul Ngieung
0xf2	0x3182	;¤ò Hangul Ngieung Sios
0xf3	0x3183	;¤ó Hangul Ngieung Ban Chi Eum
0xf4	0x3184	;¤ô Hangul Pieup Sun Gyeong Eum
0xf5	0x3185	;¤õ Hangul Ssang Hieuh
0xf6	0x3186	;¤ö Hangul Yeolin Hieuh
0xf7	0x3187	;¤÷ Hangul Yoya
0xf8	0x3188	;¤ø Hangul Yoyae
0xf9	0x3189	;¤ù Hangul Yoi
0xfa	0x318a	;¤ú Hangul Yuyeo
0xfb	0x318b	;¤û Hangul Yuye
0xfc	0x318c	;¤ü Hangul Yui
0xfd	0x318d	;¤ý Hangul Alae A
0xfe	0x318e	;¤þ Hangul Alae Ae

DBCSTABLE 68            ;LeadByte = 0xa5

0xa1	0x2170	;¥¡ Small Roman Numeral One
0xa2	0x2171	;¥¢ Small Roman Numeral Two
0xa3	0x2172	;¥£ Small Roman Numeral Three
0xa4	0x2173	;¥¤ Small Roman Numeral Four
0xa5	0x2174	;¥¥ Small Roman Numeral Five
0xa6	0x2175	;¥¦ Small Roman Numeral Six
0xa7	0x2176	;¥§ Small Roman Numeral Seven
0xa8	0x2177	;¥¨ Small Roman Numeral Eight
0xa9	0x2178	;¥© Small Roman Numeral Nine
0xaa	0x2179	;¥ª Small Roman Numeral Ten
0xb0	0x2160	;¥° Roman Numeral One
0xb1	0x2161	;¥± Roman Numeral Two
0xb2	0x2162	;¥² Roman Numeral Three
0xb3	0x2163	;¥³ Roman Numeral Four
0xb4	0x2164	;¥´ Roman Numeral Five
0xb5	0x2165	;¥µ Roman Numeral Six
0xb6	0x2166	;¥¶ Roman Numeral Seven
0xb7	0x2167	;¥· Roman Numeral Eight
0xb8	0x2168	;¥¸ Roman Numeral Nine
0xb9	0x2169	;¥¹ Roman Numeral Ten
0xc1	0x0391	;¥Á Greek Capital Alpha
0xc2	0x0392	;¥Â Greek Capital Beta
0xc3	0x0393	;¥Ã Greek Capital Gamma
0xc4	0x0394	;¥Ä Greek Capital Delta
0xc5	0x0395	;¥Å Greek Capital Epsilon
0xc6	0x0396	;¥Æ Greek Capital Zeta
0xc7	0x0397	;¥Ç Greek Capital Eta
0xc8	0x0398	;¥È Greek Capital Theta
0xc9	0x0399	;¥É Greek Capital Iota
0xca	0x039a	;¥Ê Greek Capital Kappa
0xcb	0x039b	;¥Ë Greek Capital Lambda
0xcc	0x039c	;¥Ì Greek Capital Mu
0xcd	0x039d	;¥Í Greek Capital Nu
0xce	0x039e	;¥Î Greek Capital Xi
0xcf	0x039f	;¥Ï Greek Capital Omicron
0xd0	0x03a0	;¥Ð Greek Capital Pi
0xd1	0x03a1	;¥Ñ Greek Capital Rho
0xd2	0x03a3	;¥Ò Greek Capital Sigma
0xd3	0x03a4	;¥Ó Greek Capital Tau
0xd4	0x03a5	;¥Ô Greek Capital Upsilon
0xd5	0x03a6	;¥Õ Greek Capital Phi
0xd6	0x03a7	;¥Ö Greek Capital Chi
0xd7	0x03a8	;¥× Greek Capital Psi
0xd8	0x03a9	;¥Ø Greek Capital Omega
0xe1	0x03b1	;¥á Greek Small Alpha
0xe2	0x03b2	;¥â Greek Small Beta
0xe3	0x03b3	;¥ã Greek Small Gamma
0xe4	0x03b4	;¥ä Greek Small Delta
0xe5	0x03b5	;¥å Greek Small Epsilon
0xe6	0x03b6	;¥æ Greek Small Zeta
0xe7	0x03b7	;¥ç Greek Small Eta
0xe8	0x03b8	;¥è Greek Small Theta
0xe9	0x03b9	;¥é Greek Small Iota
0xea	0x03ba	;¥ê Greek Small Kappa
0xeb	0x03bb	;¥ë Greek Small Lambda
0xec	0x03bc	;¥ì Greek Small Mu
0xed	0x03bd	;¥í Greek Small Nu
0xee	0x03be	;¥î Greek Small Xi
0xef	0x03bf	;¥ï Greek Small Omicron
0xf0	0x03c0	;¥ð Greek Small Pi
0xf1	0x03c1	;¥ñ Greek Small Rho
0xf2	0x03c3	;¥ò Greek Small Sigma
0xf3	0x03c4	;¥ó Greek Small Tau
0xf4	0x03c5	;¥ô Greek Small Upsilon
0xf5	0x03c6	;¥õ Greek Small Phi
0xf6	0x03c7	;¥ö Greek Small Chi
0xf7	0x03c8	;¥÷ Greek Small Psi
0xf8	0x03c9	;¥ø Greek Small Omega

DBCSTABLE 68            ;LeadByte = 0xa6

0xa1	0x2500	;¦¡ Forms Light Horizontal
0xa2	0x2502	;¦¢ Forms Light Vertical
