CODEPAGE 10010          ;Romania - MAC
0x3a	0x003a	;Colon
0x3b	0x003b	;Semicolon
0x3c	0x003c	;Less-Than Sign
0x3d	0x003d	;Equals Sign
0x3e	0x003e	;Greater-Than Sign
0x3f	0x003f	;Question Mark
0x40	0x0040	;Commercial At
0x41	0x0041	;Latin Capital Letter A
0x42	0x0042	;Latin Capital Letter B
0x43	0x0043	;Latin Capital Letter C
0x44	0x0044	;Latin Capital Letter D
0x45	0x0045	;Latin Capital Letter E
0x46	0x0046	;Latin Capital Letter F
0x47	0x0047	;Latin Capital Letter G
0x48	0x0048	;Latin Capital Letter H
0x49	0x0049	;Latin Capital Letter I
0x4a	0x004a	;Latin Capital Letter J
0x4b	0x004b	;Latin Capital Letter K
0x4c	0x004c	;Latin Capital Letter L
0x4d	0x004d	;Latin Capital Letter M
0x4e	0x004e	;Latin Capital Letter N
0x4f	0x004f	;Latin Capital Letter O
0x50	0x0050	;Latin Capital Letter P
0x51	0x0051	;Latin Capital Letter Q
0x52	0x0052	;Latin Capital Letter R
0x53	0x0053	;Latin Capital Letter S
0x54	0x0054	;Latin Capital Letter T
0x55	0x0055	;Latin Capital Letter U
0x56	0x0056	;Latin Capital Letter V
0x57	0x0057	;Latin Capital Letter W
0x58	0x0058	;Latin Capital Letter X
0x59	0x0059	;Latin Capital Letter Y
0x5a	0x005a	;Latin Capital Letter Z
0x5b	0x005b	;Left Square Bracket
0x5c	0x005c	;Reverse Solidus
0x5d	0x005d	;Right Square Bracket
0x5e	0x005e	;Circumflex Accent
0x5f	0x005f	;Low Line
0x60	0x0060	;Grave Accent
0x61	0x0061	;Latin Small Letter A
0x62	0x0062	;Latin Small Letter B
0x63	0x0063	;Latin Small Letter C
0x64	0x0064	;Latin Small Letter D
0x65	0x0065	;Latin Small Letter E
0x66	0x0066	;Latin Small Letter F
0x67	0x0067	;Latin Small Letter G
0x68	0x0068	;Latin Small Letter H
0x69	0x0069	;Latin Small Letter I
0x6a	0x006a	;Latin Small Letter J
0x6b	0x006b	;Latin Small Letter K
0x6c	0x006c	;Latin Small Letter L
0x6d	0x006d	;Latin Small Letter M
0x6e	0x006e	;Latin Small Letter N
0x6f	0x006f	;Latin Small Letter O
0x70	0x0070	;Latin Small Letter P
0x71	0x0071	;Latin Small Letter Q
0x72	0x0072	;Latin Small Letter R
0x73	0x0073	;Latin Small Letter S
0x74	0x0074	;Latin Small Letter T
0x75	0x0075	;Latin Small Letter U
0x76	0x0076	;Latin Small Letter V
0x77	0x0077	;Latin Small Letter W
0x78	0x0078	;Latin Small Letter X
0x79	0x0079	;Latin Small Letter Y
0x7a	0x007a	;Latin Small Letter Z
0x7b	0x007b	;Left Curly Bracket
0x7c	0x007c	;Vertical Line
0x7d	0x007d	;Right Curly Bracket
0x7e	0x007e	;Tilde
0x7f	0x007f	;Delete
0x80	0x00c4	;Latin Capital Letter A With Diaeresis
0x81	0x00c5	;Latin Capital Letter A With Ring Above
0x82	0x00c7	;Latin Capital Letter C With Cedilla
0x83	0x00c9	;Latin Capital Letter E With Acute
0x84	0x00d1	;Latin Capital Letter N With Tilde
0x85	0x00d6	;Latin Capital Letter O With Diaeresis
0x86	0x00dc	;Latin Capital Letter U With Diaeresis
0x87	0x00e1	;Latin Small Letter A With Acute
0x88	0x00e0	;Latin Small Letter A With Grave
0x89	0x00e2	;Latin Small Letter A With Circumflex
0x8a	0x00e4	;Latin Small Letter A With Diaeresis
0x8b	0x00e3	;Latin Small Letter A With Tilde
0x8c	0x00e5	;Latin Small Letter A With Ring Above
0x8d	0x00e7	;Latin Small Letter C With Cedilla
0x8e	0x00e9	;Latin Small Letter E With Acute
0x8f	0x00e8	;Latin Small Letter E With Grave
0x90	0x00ea	;Latin Small Letter E With Circumflex
0x91	0x00eb	;Latin Small Letter E With Diaeresis
0x92	0x00ed	;Latin Small Letter I With Acute
0x93	0x00ec	;Latin Small Letter I With Grave
0x94	0x00ee	;Latin Small Letter I With Circumflex
0x95	0x00ef	;Latin Small Letter I With Diaeresis
0x96	0x00f1	;Latin Small Letter N With Tilde
0x97	0x00f3	;Latin Small Letter O With Acute
0x98	0x00f2	;Latin Small Letter O With Grave
0x99	0x00f4	;Latin Small Letter O With Circumflex
0x9a	0x00f6	;Latin Small Letter O With Diaeresis
0x9b	0x00f5	;Latin Small Letter O With Tilde
0x9c	0x00fa	;Latin Small Letter U With Acute
0x9d	0x00f9	;Latin Small Letter U With Grave
0x9e	0x00fb	;Latin Small Letter U With Circumflex
0x9f	0x00fc	;Latin Small Letter U With Diaeresis
0xa0	0x2020	;Dagger
0xa1	0x00b0	;Degree Sign
0xa2	0x00a2	;Cent Sign
0xa3	0x00a3	;Pound Sign
0xa4	0x00a7	;Section Sign
0xa5	0x2022	;Bullet
0xa6	0x00b6	;Pilcrow Sign
0xa7	0x00df	;Latin Small Letter Sharp S
0xa8	0x00ae	;Registered Sign
0xa9	0x00a9	;Copyright Sign
0xaa	0x2122	;Trade Mark Sign
0xab	0x00b4	;Acute Accent
0xac	0x00a8	;Diaeresis
0xad	0x2260	;Not Equal To
0xae	0x0102	;Latin Capital Letter A With Breve
0xaf	0x015e	;Latin Capital Letter S With Cedilla
0xb0	0x221e	;Infinity
0xb1	0x00b1	;Plus-Minus Sign
0xb2	0x2264	;Less-Than Or Equal To
0xb3	0x2265	;Greater-Than Or Equal To
0xb4	0x00a5	;Yen Sign
0xb5	0x00b5	;Micro Sign
0xb6	0x2202	;Partial Differential
0xb7	0x2211	;N-Ary Summation
0xb8	0x220f	;N-Ary Product
0xb9	0x03c0	;Greek Small Letter Pi
0xba	0x222b	;Integral
0xbb	0x00aa	;Feminine Ordinal Indicator
0xbc	0x00ba	;Masculine Ordinal Indicator
0xbd	0x2126	;Ohm Sign
0xbe	0x0103	;Latin Small Letter A With Breve
0xbf	0x015f	;Latin Small Letter S With Cedilla
0xc0	0x00bf	;Inverted Question Mark
0xc1	0x00a1	;Inverted Exclamation Mark
0xc2	0x00ac	;Not Sign
0xc3	0x221a	;Square Root
0xc4	0x0192	;Latin Small Letter F With Hook
0xc5	0x2248	;Almost Equal To
0xc6	0x2206	;Increment
0xc7	0x00ab	;Left-Pointing Double Angle Quotation Mark
0xc8	0x00bb	;Right-Pointing Double Angle Quotation Mark
0xc9	0x2026	;Horizontal Ellipsis
0xca	0x00a0	;No-Break Space
0xcb	0x00c0	;Latin Capital Letter A With Grave
0xcc	0x00c3	;Latin Capital Letter A With Tilde
0xcd	0x00d5	;Latin Capital Letter O With Tilde
0xce	0x0152	;Latin Capital Ligature Oe
0xcf	0x0153	;Latin Small Ligature Oe
0xd0	0x2013	;En Dash
0xd1	0x2014	;Em Dash
0xd2	0x201c	;Left Double Quotation Mark
0xd3	0x201d	;Right Double Quotation Mark
0xd4	0x2018	;Left Single Quotation Mark
0xd5	0x2019	;Right Single Quotation Mark
0xd6	0x00f7	;Division Sign
0xd7	0x25ca	;Lozenge
0xd8	0x00ff	;Latin Small Letter Y With Diaeresis
0xd9	0x0178	;Latin Capital Letter Y With Diaeresis
0xda	0x2044	;Fraction Slash
0xdb	0x00a4	;Currency Sign
0xdc	0x2039	;Single Left-Pointing Angle Quotation Mark
0xdd	0x203a	;Single Right-Pointing Angle Quotation Mark
0xde	0x0162	;Latin Capital Letter T With Cedilla
0xdf	0x0163	;Latin Small Letter T With Cedilla
0xe0	0x2021	;Double Dagger
0xe1	0x00b7	;Middle Dot
0xe2	0x201a	;Single Low-9 Quotation Mark
0xe3	0x201e	;Double Low-9 Quotation Mark
0xe4	0x2030	;Per Mille Sign
0xe5	0x00c2	;Latin Capital Letter A With Circumflex
0xe6	0x00ca	;Latin Capital Letter E With Circumflex
0xe7	0x00c1	;Latin Capital Letter A With Acute
0xe8	0x00cb	;Latin Capital Letter E With Diaeresis
0xe9	0x00c8	;Latin Capital Letter E With Grave
0xea	0x00cd	;Latin Capital Letter I With Acute
0xeb	0x00ce	;Latin Capital Letter I With Circumflex
0xec	0x00cf	;Latin Capital Letter I With Diaeresis
0xed	0x00cc	;Latin Capital Letter I With Grave
0xee	0x00d3	;Latin Capital Letter O With Acute
0xef	0x00d4	;Latin Capital Letter O With Circumflex
0xf0	0xf8ff	;Apple Logo
0xf1	0x00d2	;Latin Capital Letter O With Grave
0xf2	0x00da	;Latin Capital Letter U With Acute
0xf3	0x00db	;Latin Capital Letter U With Circumflex
0xf4	0x00d9	;Latin Capital Letter U With Grave
0xf5	0x0131	;Latin Small Letter Dotless I
0xf6	0x02c6	;Modifier Letter Circumflex Accent
0xf7	0x02dc	;Small Tilde
0xf8	0x00af	;Macron
0xf9	0x02d8	;Breve
0xfa	0x02d9	;Dot Above
0xfb	0x02da	;Ring Above
0xfc	0x00b8	;Cedilla
0xfd	0x02dd	;Double Acute Accent
0xfe	0x02db	;Ogonek
0xff	0x02c7	;Caron


WCTABLE	256

0x0000	0x00	;Null
0x0001	0x01	;Start Of Heading
0x0002	0x02	;Start Of Text
0x0003	0x03	;End Of Text
0x0004	0x04	;End Of Transmission
0x0005	0x05	;Enquiry
0x0006	0x06	;Acknowledge
0x0007	0x07	;Bell
0x0008	0x08	;Backspace
0x0009	0x09	;Horizontal Tabulation
0x000a	0x0a	;Line Feed
0x000b	0x0b	;Vertical Tabulation
0x000c	0x0c	;Form Feed
0x000d	0x0d	;Carriage Return
0x000e	0x0e	;Shift Out
0x000f	0x0f	;Shift In
0x0010	0x10	;Data Link Escape
0x0011	0x11	;Device Control One
0x0012	0x12	;Device Control Two
0x0013	0x13	;Device Control Three
0x0014	0x14	;Device Control Four
0x0015	0x15	;Negative Acknowledge
0x0016	0x16	;Synchronous Idle
0x0017	0x17	;End Of Transmission Block
0x0018	0x18	;Cancel
0x0019	0x19	;End Of Medium
0x001a	0x1a	;Substitute
0x001b	0x1b	;Escape
0x001c	0x1c	;File Separator
0x001d	0x1d	;Group Separator
0x001e	0x1e	;Record Separator
0x001f	0x1f	;Unit Separator
0x0020	0x20	;Space
0x0021	0x21	;Exclamation Mark
0x0022	0x22	;Quotation Mark
0x0023	0x23	;Number Sign
0x0024	0x24	;Dollar Sign
0x0025	0x25	;Percent Sign
0x0026	0x26	;Ampersand
0x0027	0x27	;Apostrophe
0x0028	0x28	;Left Parenthesis
0x0029	0x29	;Right Parenthesis
0x002a	0x2a	;Asterisk
0x002b	0x2b	;Plus Sign
0x002c	0x2c	;Comma
0x002d	0x2d	;Hyphen-Minus
0x002e	0x2e	;Full Stop
0x002f	0x2f	;Solidus
0x0030	0x30	;Digit Zero
0x0031	0x31	;Digit One
0x0032	0x32	;Digit Two
0x0033	0x33	;Digit Three
0x0034	0x34	;Digit Four
0x0035	0x35	;Digit Five
0x0036	0x36	;Digit Six
0x0037	0x37	;Digit Seven
0x0038	0x38	;Digit Eight
0x0039	0x39	;Digit Nine
0x003a	0x3a	;Colon
0x003b	0x3b	;Semicolon
0x003c	0x3c	;Less-Than Sign
0x003d	0x3d	;Equals Sign
0x003e	0x3e	;Greater-Than Sign
0x003f	0x3f	;Question Mark
0x0040	0x40	;Commercial At
0x0041	0x41	;Latin Capital Letter A
0x0042	0x42	;Latin Capital Letter B
0x0043	0x43	;Latin Capital Letter C
0x0044	0x44	;Latin Capital Letter D
0x0045	0x45	;Latin Capital Letter E
0x0046	0x46	;Latin Capital Letter F
0x0047	0x47	;Latin Capital Letter G
0x0048	0x48	;Latin Capital Letter H
0x0049	0x49	;Latin Capital Letter I
0x004a	0x4a	;Latin Capital Letter J
0x004b	0x4b	;Latin Capital Letter K
0x004c	0x4c	;Latin Capital Letter L
0x004d	0x4d	;Latin Capital Letter M
0x004e	0x4e	;Latin Capital Letter N
0x004f	0x4f	;Latin Capital Letter O
0x0050	0x50	;Latin Capital Letter P
0x0051	0x51	;Latin Capital Letter Q
0x0052	0x52	;Latin Capital Letter R
0x0053	0x53	;Latin Capital Letter S
0x0054	0x54	;Latin Capital Letter T
0x0055	0x55	;Latin Capital Letter U
0x0056	0x56	;Latin Capital Letter V
0x0057	0x57	;Latin Capital Letter W
0x0058	0x58	;Latin Capital Letter X
0x0059	0x59	;Latin Capital Letter Y
0x005a	0x5a	;Latin Capital Letter Z
0x005b	0x5b	;Left Square Bracket
0x005c	0x5c	;Reverse Solidus
0x005d	0x5d	;Right Square Bracket
0x005e	0x5e	;Circumflex Accent
0x005f	0x5f	;Low Line
0x0060	0x60	;Grave Accent
0x0061	0x61	;Latin Small Letter A
0x0062	0x62	;Latin Small Letter B
0x0063	0x63	;Latin Small Letter C
0x0064	0x64	;Latin Small Letter D
0x0065	0x65	;Latin Small Letter E
0x0066	0x66	;Latin Small Letter F
0x0067	0x67	;Latin Small Letter G
0x0068	0x68	;Latin Small Letter H
0x0069	0x69	;Latin Small Letter I
0x006a	0x6a	;Latin Small Letter J
0x006b	0x6b	;Latin Small Letter K
0x006c	0x6c	;Latin Small Letter L
0x006d	0x6d	;Latin Small Letter M
0x006e	0x6e	;Latin Small Letter N
0x006f	0x6f	;Latin Small Letter O
0x0070	0x70	;Latin Small Letter P
0x0071	0x71	;Latin Small Letter Q
0x0072	0x72	;Latin Small Letter R
0x0073	0x73	;Latin Small Letter S
0x0074	0x74	;Latin Small Letter T
0x0075	0x75	;Latin Small Letter U
0x0076	0x76	;Latin Small Letter V
0x0077	0x77	;Latin Small Letter W
0x0078	0x78	;Latin Small Letter X
0x0079	0x79	;Latin Small Letter Y
0x007a	0x7a	;Latin Small Letter Z
0x007b	0x7b	;Left Curly Bracket
0x007c	0x7c	;Vertical Line
0x007d	0x7d	;Right Curly Bracket
0x007e	0x7e	;Tilde
0x007f	0x7f	;Delete
0x00a0	0xca	;No-Break Space
0x00a1	0xc1	;Inverted Exclamation Mark
0x00a2	0xa2	;Cent Sign
0x00a3	0xa3	;Pound Sign
0x00a4	0xdb	;Currency Sign
0x00a5	0xb4	;Yen Sign
0x00a7	0xa4	;Section Sign
0x00a8	0xac	;Diaeresis
0x00a9	0xa9	;Copyright Sign
0x00aa	0xbb	;Feminine Ordinal Indicator
0x00ab	0xc7	;Left-Pointing Double Angle Quotation Mark
0x00ac	0xc2	;Not Sign
0x00ae	0xa8	;Registered Sign
0x00af	0xf8	;Macron
0x00b0	0xa1	;Degree Sign
0x00b1	0xb1	;Plus-Minus Sign
0x00b4	0xab	;Acute Accent
0x00b5	0xb5	;Micro Sign
0x00b6	0xa6	;Pilcrow Sign
0x00b7	0xe1	;Middle Dot
0x00b8	0xfc	;Cedilla
0x00ba	0xbc	;Masculine Ordinal Indicator
0x00bb	0xc8	;Right-Pointing Double Angle Quotation Mark
0x00bf	0xc0	;Inverted Question Mark
0x00c0	0xcb	;Latin Capital Letter A With Grave
0x00c1	0xe7	;Latin Capital Letter A With Acute
0x00c2	0xe5	;Latin Capital Letter A With Circumflex
0x00c3	0xcc	;Latin Capital Letter A With Tilde
0x00c4	0x80	;Latin Capital Letter A With Diaeresis
0x00c5	0x81	;Latin Capital Letter A With Ring Above
0x00c7	0x82	;Latin Capital Letter C With Cedilla
0x00c8	0xe9	;Latin Capital Letter E With Grave
0x00c9	0x83	;Latin Capital Letter E With Acute
0x00ca	0xe6	;Latin Capital Letter E With Circumflex
0x00cb	0xe8	;Latin Capital Letter E With Diaeresis
0x00cc	0xed	;Latin Capital Letter I With Grave
0x00cd	0xea	;Latin Capital Letter I With Acute
0x00ce	0xeb	;Latin Capital Letter I With Circumflex
0x00cf	0xec	;Latin Capital Letter I With Diaeresis
0x00d1	0x84	;Latin Capital Letter N With Tilde
0x00d2	0xf1	;Latin Capital Letter O With Grave
0x00d3	0xee	;Latin Capital Letter O With Acute
0x00d4	0xef	;Latin Capital Letter O With Circumflex
0x00d5	0xcd	;Latin Capital Letter O With Tilde
0x00d6	0x85	;Latin Capital Letter O With Diaeresis
0x00d9	0xf4	;Latin Capital Letter U With Grave
0x00da	0xf2	;Latin Capital Letter U With Acute
0x00db	0xf3	;Latin Capital Letter U With Circumflex
0x00dc	0x86	;Latin Capital Letter U With Diaeresis
0x00df	0xa7	;Latin Small Letter Sharp S
0x00e0	0x88	;Latin Small Letter A With Grave
0x00e1	0x87	;Latin Small Letter A With Acute
0x00e2	0x89	;Latin Small Letter A With Circumflex
0x00e3	0x8b	;Latin Small Letter A With Tilde
0x00e4	0x8a	;Latin Small Letter A With Diaeresis
0x00e5	0x8c	;Latin Small Letter A With Ring Above
0x00e7	0x8d	;Latin Small Letter C With Cedilla
0x00e8	0x8f	;Latin Small Letter E With Grave
0x00e9	0x8e	;Latin Small Letter E With Acute
0x00ea	0x90	;Latin Small Letter E With Circumflex
0x00eb	0x91	;Latin Small Letter E With Diaeresis
0x00ec	0x93	;Latin Small Letter I With Grave
0x00ed	0x92	;Latin Small Letter I With Acute
0x00ee	0x94	;Latin Small Letter I With Circumflex
0x00ef	0x95	;Latin Small Letter I With Diaeresis
0x00f1	0x96	;Latin Small Letter N With Tilde
0x00f2	0x98	;Latin Small Letter O With Grave
0x00f3	0x97	;Latin Small Letter O With Acute
0x00f4	0x99	;Latin Small Letter O With Circumflex
0x00f5	0x9b	;Latin Small Letter O With Tilde
0x00f6	0x9a	;Latin Small Letter O With Diaeresis
0x00f7	0xd6	;Division Sign
0x00f9	0x9d	;Latin Small Letter U With Grave
0x00fa	0x9c	;Latin Small Letter U With Acute
0x00fb	0x9e	;Latin Small Letter U With Circumflex
0x00fc	0x9f	;Latin Small Letter U With Diaeresis
0x00ff	0xd8	;Latin Small Letter Y With Diaeresis
0x0102	0xae	;Latin Capital Letter A With Breve
0x0103	0xbe	;Latin Small Letter A With Breve
0x0131	0xf5	;Latin Small Letter Dotless I
0x0152	0xce	;Latin Capital Ligature Oe
0x0153	0xcf	;Latin Small Ligature Oe
0x015e	0xaf	;Latin Capital Letter S With Cedilla
0x015f	0xbf	;Latin Small Letter S With Cedilla
0x0162	0xde	;Latin Capital Letter T With Cedilla
0x0163	0xdf	;Latin Small Letter T With Cedilla
0x0178	0xd9	;Latin Capital Letter Y With Diaeresis
0x0192	0xc4	;Latin Small Letter F With Hook
0x02c6	0xf6	;Modifier Letter Circumflex Accent
0x02c7	0xff	;Caron
0x02d8	0xf9	;Breve
0x02d9	0xfa	;Dot Above
0x02da	0xfb	;Ring Above
0x02db	0xfe	;Ogonek
0x02dc	0xf7	;Small Tilde
0x02dd	0xfd	;Double Acute Accent
0x03c0	0xb9	;Greek Small Letter Pi
0x2013	0xd0	;En Dash
0x2014	0xd1	;Em Dash
0x2018	0xd4	;Left Single Quotation Mark
0x2019	0xd5	;Right Single Quotation Mark
0x201a	0xe2	;Single Low-9 Quotation Mark
0x201c	0xd2	;Left Double Quotation Mark
0x201d	0xd3	;Right Double Quotation Mark
0x201e	0xe3	;Double Low-9 Quotation Mark
0x2020	0xa0	;Dagger
0x2021	0xe0	;Double Dagger
0x2022	0xa5	;Bullet
0x2026	0xc9	;Horizontal Ellipsis
0x2030	0xe4	;Per Mille Sign
0x2039	0xdc	;Single Left-Pointing Angle Quotation Mark
0x203a	0xdd	;Single Right-Pointing Angle Quotation Mark
0x2044	0xda	;Fraction Slash
0x2122	0xaa	;Trade Mark Sign
0x2126	0xbd	;Ohm Sign
0x2202	0xb6	;Partial Differential
0x2206	0xc6	;Increment
0x220f	0xb8	;N-Ary Product
0x2211	0xb7	;N-Ary Summation
0x221a	0xc3	;Square Root
0x221e	0xb0	;Infinity
0x222b	0xba	;Integral
0x2248	0xc5	;Almost Equal To
0x2260	0xad	;Not Equal To
0x2264	0xb2	;Less-Than Or Equal To
0x2265	0xb3	;Greater-Than Or Equal To
0x25ca	0xd7	;Lozenge
0xf8ff	0xf0	;Apple Logo

ENDCODEPAGE

