This is the Unicode coverage file for DejaVu fonts
($Id$)

Control and similar characters are discounted from totals.

                                                Sans               Serif              Sans Mono          
U+27f0 Supplemental Arrows-A                         (0/16)             (0/16)             (0/16)       
U+2800 Braille Patterns                         100% (256/256)          (0/256)            (0/256)      
U+2900 Supplemental Arrows-B                         (0/128)            (0/128)            (0/128)      
U+2980 Miscellaneous Mathematical Symbols-B       7% (9/128)         0% (1/128)         0% (1/128)      
U+2a00 Supplemental Mathematical Operators       27% (71/256)        1% (3/256)            (0/256)      
U+2b00 Miscellaneous Symbols and Arrows          29% (9/31)         29% (9/31)         29% (9/31)       
U+2c00 Glagolitic                                    (0/94)             (0/94)             (0/94)       
U+2c60 Latin Extended-C                         100% (17/17)            (0/17)             (0/17)       
U+2c80 Coptic                                        (0/114)            (0/114)            (0/114)      
U+2d00 Georgian Supplement                           (0/38)             (0/38)             (0/38)       
U+2d30 Tifinagh                                      (0/55)             (0/55)             (0/55)       
U+2d80 Ethiopic Extended                             (0/79)             (0/79)             (0/79)       
U+2e00 Supplemental Punctuation                      (0/26)             (0/26)             (0/26)       
U+2e80 CJK Radicals Supplement                       (0/115)            (0/115)            (0/115)      
U+2f00 Kangxi Radicals                               (0/214)            (0/214)            (0/214)      
U+2ff0 Ideographic Description Characters            (0/12)             (0/12)             (0/12)       
U+3000 CJK Symbols and Punctuation                   (0/64)             (0/64)             (0/64)       
U+3040 Hiragana                                      (0/93)             (0/93)             (0/93)       
U+30a0 Katakana                                      (0/96)             (0/96)             (0/96)       
U+3100 Bopomofo                                      (0/40)             (0/40)             (0/40)       
U+3130 Hangul Compatibility Jamo                     (0/94)             (0/94)             (0/94)       
U+3190 Kanbun                                        (0/16)             (0/16)             (0/16)       
U+31a0 Bopomofo Extended                             (0/24)             (0/24)             (0/24)       
U+31c0 CJK Strokes                                   (0/16)             (0/16)             (0/16)       
U+31f0 Katakana Phonetic Extensions                  (0/16)             (0/16)             (0/16)       
U+3200 Enclosed CJK Letters and Months               (0/242)            (0/242)            (0/242)      
U+3300 CJK Compatibility                             (0/256)            (0/256)            (0/256)      
U+3400 CJK Unified Ideographs Extension A            (0/0)              (0/0)              (0/0)        
U+4dc0 Yijing Hexagram Symbols                       (0/64)             (0/64)             (0/64)       
U+4e00 CJK Unified Ideographs                        (0/0)              (0/0)              (0/0)        
U+a000 Yi Syllables                                  (0/1165)           (0/1165)           (0/1165)     
U+a490 Yi Radicals                                   (0/55)             (0/55)             (0/55)       
U+a700 Modifier Tone Letters                         (0/27)             (0/27)             (0/27)       
U+a720 Latin Extended-D                              (0/2)              (0/2)              (0/2)        
U+a800 Syloti Nagri                                  (0/44)             (0/44)             (0/44)       
U+a840 Phags-pa                                      (0/56)             (0/56)             (0/56)       
U+ac00 Hangul Syllables                              (0/0)              (0/0)              (0/0)        
U+d800 High Surrogates                               (0/0)              (0/0)              (0/0)        
U+db80 High Private Use Surrogates                   (0/0)              (0/0)              (0/0)        
U+dc00 Low Surrogates                                (0/0)              (0/0)              (0/0)        
U+e000 Private Use Area                              (0/0)              (0/0)              (0/0)        
U+f900 CJK Compatibility Ideographs                  (0/467)            (0/467)            (0/467)      
U+fb00 Alphabetic Presentation Forms             82% (48/58)        12% (7/58)          3% (2/58)       
U+fb50 Arabic Presentation Forms-A               11% (70/595)           (0/595)            (0/595)      
U+fe00 Variation Selectors                           (0/16)             (0/16)             (0/16)       
U+fe10 Vertical Forms                                (0/10)             (0/10)             (0/10)       
U+fe20 Combining Half Marks                          (0/4)              (0/4)              (0/4)        
U+fe30 CJK Compatibility Forms                       (0/32)             (0/32)             (0/32)       
U+fe50 Small Form Variants                           (0/26)             (0/26)             (0/26)       
U+fe70 Arabic Presentation Forms-B              100% (141/141)          (0/141)            (0/141)      
U+ff00 Halfwidth and Fullwidth Forms                 (0/225)            (0/225)            (0/225)      
U+fff0 Specials                                  20% (1/5)          20% (1/5)          20% (1/5)        
U+10000 Linear B Syllabary                            (0/88)             (0/88)             (0/88)       
U+10080 Linear B Ideograms                            (0/123)            (0/123)            (0/123)      
U+10100 Aegean Numbers                                (0/57)             (0/57)             (0/57)       
U+10140 Ancient Greek Numbers                         (0/75)             (0/75)             (0/75)       
U+10300 Old Italic                                    (0/35)             (0/35)             (0/35)       
U+10330 Gothic                                        (0/27)             (0/27)             (0/27)       
U+10380 Ugaritic                                      (0/31)             (0/31)             (0/31)       
U+103a0 Old Persian                                   (0/50)             (0/50)             (0/50)       
U+10400 Deseret                                       (0/80)             (0/80)             (0/80)       
U+10450 Shavian                                       (0/48)             (0/48)             (0/48)       
U+10480 Osmanya                                       (0/40)             (0/40)             (0/40)       
U+10800 Cypriot Syllabary                             (0/55)             (0/55)             (0/55)       
U+10900 Phoenician                                    (0/27)             (0/27)             (0/27)       
U+10a00 Kharoshthi                                    (0/65)             (0/65)             (0/65)       
U+12000 Cuneiform                                     (0/879)            (0/879)            (0/879)      
U+12400 Cuneiform Numbers and Punctuation             (0/103)            (0/103)            (0/103)      
U+1d000 Byzantine Musical Symbols                     (0/246)            (0/246)            (0/246)      
U+1d100 Musical Symbols                               (0/219)            (0/219)            (0/219)      
U+1d200 Ancient Greek Musical Notation                (0/70)             (0/70)             (0/70)       
U+1d300 Tai Xuan Jing Symbols                         (0/87)             (0/87)             (0/87)       
U+1d360 Counting Rod Numerals                         (0/18)             (0/18)             (0/18)       
U+1d400 Mathematical Alphanumeric Symbols             (0/996)            (0/996)            (0/996)      
U+20000 CJK Unified Ideographs Extension B            (0/0)              (0/0)              (0/0)        
U+2f800 CJK Compatibility Ideographs Supplement       (0/542)            (0/542)            (0/542)      
U+e0000 Tags                                          (0/98)             (0/98)             (0/98)       
U+e0100 Variation Selectors Supplement                (0/240)            (0/240)            (0/240)      
U+f0000 Supplementary Private Use Area-A              (0/0)              (0/0)              (0/0)        
U+100000 Supplementary Private Use Area-B              (0/0)              (0/0)              (0/0)        
