CODEPAGE 866            ;Russian - OEM
0x3a	0x003a	;Colon
0x3b	0x003b	;Semicolon
0x3c	0x003c	;Less-Than Sign
0x3d	0x003d	;Equals Sign
0x3e	0x003e	;Greater-Than Sign
0x3f	0x003f	;Question Mark
0x40	0x0040	;Commercial At
0x41	0x0041	;Latin Capital Letter A
0x42	0x0042	;Latin Capital Letter B
0x43	0x0043	;Latin Capital Letter C
0x44	0x0044	;Latin Capital Letter D
0x45	0x0045	;Latin Capital Letter E
0x46	0x0046	;Latin Capital Letter F
0x47	0x0047	;Latin Capital Letter G
0x48	0x0048	;Latin Capital Letter H
0x49	0x0049	;Latin Capital Letter I
0x4a	0x004a	;Latin Capital Letter J
0x4b	0x004b	;Latin Capital Letter K
0x4c	0x004c	;Latin Capital Letter L
0x4d	0x004d	;Latin Capital Letter M
0x4e	0x004e	;Latin Capital Letter N
0x4f	0x004f	;Latin Capital Letter O
0x50	0x0050	;Latin Capital Letter P
0x51	0x0051	;Latin Capital Letter Q
0x52	0x0052	;Latin Capital Letter R
0x53	0x0053	;Latin Capital Letter S
0x54	0x0054	;Latin Capital Letter T
0x55	0x0055	;Latin Capital Letter U
0x56	0x0056	;Latin Capital Letter V
0x57	0x0057	;Latin Capital Letter W
0x58	0x0058	;Latin Capital Letter X
0x59	0x0059	;Latin Capital Letter Y
0x5a	0x005a	;Latin Capital Letter Z
0x5b	0x005b	;Left Square Bracket
0x5c	0x005c	;Reverse Solidus
0x5d	0x005d	;Right Square Bracket
0x5e	0x005e	;Circumflex Accent
0x5f	0x005f	;Low Line
0x60	0x0060	;Grave Accent
0x61	0x0061	;Latin Small Letter A
0x62	0x0062	;Latin Small Letter B
0x63	0x0063	;Latin Small Letter C
0x64	0x0064	;Latin Small Letter D
0x65	0x0065	;Latin Small Letter E
0x66	0x0066	;Latin Small Letter F
0x67	0x0067	;Latin Small Letter G
0x68	0x0068	;Latin Small Letter H
0x69	0x0069	;Latin Small Letter I
0x6a	0x006a	;Latin Small Letter J
0x6b	0x006b	;Latin Small Letter K
0x6c	0x006c	;Latin Small Letter L
0x6d	0x006d	;Latin Small Letter M
0x6e	0x006e	;Latin Small Letter N
0x6f	0x006f	;Latin Small Letter O
0x70	0x0070	;Latin Small Letter P
0x71	0x0071	;Latin Small Letter Q
0x72	0x0072	;Latin Small Letter R
0x73	0x0073	;Latin Small Letter S
0x74	0x0074	;Latin Small Letter T
0x75	0x0075	;Latin Small Letter U
0x76	0x0076	;Latin Small Letter V
0x77	0x0077	;Latin Small Letter W
0x78	0x0078	;Latin Small Letter X
0x79	0x0079	;Latin Small Letter Y
0x7a	0x007a	;Latin Small Letter Z
0x7b	0x007b	;Left Curly Bracket
0x7c	0x007c	;Vertical Line
0x7d	0x007d	;Right Curly Bracket
0x7e	0x007e	;Tilde
0x7f	0x007f	;Delete
0x80	0x0410	;Cyrillic Capital Letter A
0x81	0x0411	;Cyrillic Capital Letter Be
0x82	0x0412	;Cyrillic Capital Letter Ve
0x83	0x0413	;Cyrillic Capital Letter Ghe
0x84	0x0414	;Cyrillic Capital Letter De
0x85	0x0415	;Cyrillic Capital Letter Ie
0x86	0x0416	;Cyrillic Capital Letter Zhe
0x87	0x0417	;Cyrillic Capital Letter Ze
0x88	0x0418	;Cyrillic Capital Letter I
0x89	0x0419	;Cyrillic Capital Letter Short I
0x8a	0x041a	;Cyrillic Capital Letter Ka
0x8b	0x041b	;Cyrillic Capital Letter El
0x8c	0x041c	;Cyrillic Capital Letter Em
0x8d	0x041d	;Cyrillic Capital Letter En
0x8e	0x041e	;Cyrillic Capital Letter O
0x8f	0x041f	;Cyrillic Capital Letter Pe
0x90	0x0420	;Cyrillic Capital Letter Er
0x91	0x0421	;Cyrillic Capital Letter Es
0x92	0x0422	;Cyrillic Capital Letter Te
0x93	0x0423	;Cyrillic Capital Letter U
0x94	0x0424	;Cyrillic Capital Letter Ef
0x95	0x0425	;Cyrillic Capital Letter Ha
0x96	0x0426	;Cyrillic Capital Letter Tse
0x97	0x0427	;Cyrillic Capital Letter Che
0x98	0x0428	;Cyrillic Capital Letter Sha
0x99	0x0429	;Cyrillic Capital Letter Shcha
0x9a	0x042a	;Cyrillic Capital Letter Hard Sign
0x9b	0x042b	;Cyrillic Capital Letter Yeru
0x9c	0x042c	;Cyrillic Capital Letter Soft Sign
0x9d	0x042d	;Cyrillic Capital Letter E
0x9e	0x042e	;Cyrillic Capital Letter Yu
0x9f	0x042f	;Cyrillic Capital Letter Ya
0xa0	0x0430	;Cyrillic Small Letter A
0xa1	0x0431	;Cyrillic Small Letter Be
0xa2	0x0432	;Cyrillic Small Letter Ve
0xa3	0x0433	;Cyrillic Small Letter Ghe
0xa4	0x0434	;Cyrillic Small Letter De
0xa5	0x0435	;Cyrillic Small Letter Ie
0xa6	0x0436	;Cyrillic Small Letter Zhe
0xa7	0x0437	;Cyrillic Small Letter Ze
0xa8	0x0438	;Cyrillic Small Letter I
0xa9	0x0439	;Cyrillic Small Letter Short I
0xaa	0x043a	;Cyrillic Small Letter Ka
0xab	0x043b	;Cyrillic Small Letter El
0xac	0x043c	;Cyrillic Small Letter Em
0xad	0x043d	;Cyrillic Small Letter En
0xae	0x043e	;Cyrillic Small Letter O
0xaf	0x043f	;Cyrillic Small Letter Pe
0xb0	0x2591	;Light Shade
0xb1	0x2592	;Medium Shade
0xb2	0x2593	;Dark Shade
0xb3	0x2502	;Box Drawings Light Vertical
0xb4	0x2524	;Box Drawings Light Vertical And Left
0xb5	0x2561	;Box Drawings Vertical Single And Left Double
0xb6	0x2562	;Box Drawings Vertical Double And Left Single
0xb7	0x2556	;Box Drawings Down Double And Left Single
0xb8	0x2555	;Box Drawings Down Single And Left Double
0xb9	0x2563	;Box Drawings Double Vertical And Left
0xba	0x2551	;Box Drawings Double Vertical
0xbb	0x2557	;Box Drawings Double Down And Left
0xbc	0x255d	;Box Drawings Double Up And Left
0xbd	0x255c	;Box Drawings Up Double And Left Single
0xbe	0x255b	;Box Drawings Up Single And Left Double
0xbf	0x2510	;Box Drawings Light Down And Left
0xc0	0x2514	;Box Drawings Light Up And Right
0xc1	0x2534	;Box Drawings Light Up And Horizontal
0xc2	0x252c	;Box Drawings Light Down And Horizontal
0xc3	0x251c	;Box Drawings Light Vertical And Right
0xc4	0x2500	;Box Drawings Light Horizontal
0xc5	0x253c	;Box Drawings Light Vertical And Horizontal
0xc6	0x255e	;Box Drawings Vertical Single And Right Double
0xc7	0x255f	;Box Drawings Vertical Double And Right Single
0xc8	0x255a	;Box Drawings Double Up And Right
0xc9	0x2554	;Box Drawings Double Down And Right
0xca	0x2569	;Box Drawings Double Up And Horizontal
0xcb	0x2566	;Box Drawings Double Down And Horizontal
0xcc	0x2560	;Box Drawings Double Vertical And Right
0xcd	0x2550	;Box Drawings Double Horizontal
0xce	0x256c	;Box Drawings Double Vertical And Horizontal
0xcf	0x2567	;Box Drawings Up Single And Horizontal Double
0xd0	0x2568	;Box Drawings Up Double And Horizontal Single
0xd1	0x2564	;Box Drawings Down Single And Horizontal Double
0xd2	0x2565	;Box Drawings Down Double And Horizontal Single
0xd3	0x2559	;Box Drawings Up Double And Right Single
0xd4	0x2558	;Box Drawings Up Single And Right Double
0xd5	0x2552	;Box Drawings Down Single And Right Double
0xd6	0x2553	;Box Drawings Down Double And Right Single
0xd7	0x256b	;Box Drawings Vertical Double And Horizontal Single
0xd8	0x256a	;Box Drawings Vertical Single And Horizontal Double
0xd9	0x2518	;Box Drawings Light Up And Left
0xda	0x250c	;Box Drawings Light Down And Right
0xdb	0x2588	;Full Block
0xdc	0x2584	;Lower Half Block
0xdd	0x258c	;Left Half Block
0xde	0x2590	;Right Half Block
0xdf	0x2580	;Upper Half Block
0xe0	0x0440	;Cyrillic Small Letter Er
0xe1	0x0441	;Cyrillic Small Letter Es
0xe2	0x0442	;Cyrillic Small Letter Te
0xe3	0x0443	;Cyrillic Small Letter U
0xe4	0x0444	;Cyrillic Small Letter Ef
0xe5	0x0445	;Cyrillic Small Letter Ha
0xe6	0x0446	;Cyrillic Small Letter Tse
0xe7	0x0447	;Cyrillic Small Letter Che
0xe8	0x0448	;Cyrillic Small Letter Sha
0xe9	0x0449	;Cyrillic Small Letter Shcha
0xea	0x044a	;Cyrillic Small Letter Hard Sign
0xeb	0x044b	;Cyrillic Small Letter Yeru
0xec	0x044c	;Cyrillic Small Letter Soft Sign
0xed	0x044d	;Cyrillic Small Letter E
0xee	0x044e	;Cyrillic Small Letter Yu
0xef	0x044f	;Cyrillic Small Letter Ya
0xf0	0x0401	;Cyrillic Capital Letter Io
0xf1	0x0451	;Cyrillic Small Letter Io
0xf2	0x0404	;Cyrillic Capital Letter Ukrainian Ie
0xf3	0x0454	;Cyrillic Small Letter Ukrainian Ie
0xf4	0x0407	;Cyrillic Capital Letter Yi
0xf5	0x0457	;Cyrillic Small Letter Yi
0xf6	0x040e	;Cyrillic Capital Letter Short U
0xf7	0x045e	;Cyrillic Small Letter Short U
0xf8	0x00b0	;Degree Sign
0xf9	0x2219	;Bullet Operator
0xfa	0x00b7	;Middle Dot
0xfb	0x221a	;Square Root
0xfc	0x2116	;Numero Sign
0xfd	0x00a4	;Currency Sign
0xfe	0x25a0	;Black Square
0xff	0x00a0	;No-Break Space


GLYPHTABLE 32

0x01	0x263a	;White Smiling Face
0x02	0x263b	;Black Smiling Face
0x03	0x2665	;Black Heart Suit
0x04	0x2666	;Black Diamond Suit
0x05	0x2663	;Black Club Suit
0x06	0x2660	;Black Spade Suit
0x07	0x2022	;Bullet
0x08	0x25d8	;Inverse Bullet
0x09	0x25cb	;White Circle
0x0a	0x25d9	;Inverse White Circle
0x0b	0x2642	;Male Sign
0x0c	0x2640	;Female Sign
0x0d	0x266a	;Eighth Note
0x0e	0x266b	;Beamed Eighth Notes
0x0f	0x263c	;White Sun With Rays
0x10	0x25ba	;Black Right-Pointing Pointer
0x11	0x25c4	;Black Left-Pointing Pointer
0x12	0x2195	;Up Down Arrow
0x13	0x203c	;Double Exclamation Mark
0x14	0x00b6	;Pilcrow Sign
0x15	0x00a7	;Section Sign
0x16	0x25ac	;Black Rectangle
0x17	0x21a8	;Up Down Arrow With Base
0x18	0x2191	;Upwards Arrow
0x19	0x2193	;Downwards Arrow
0x1a	0x2192	;Rightwards Arrow
0x1b	0x2190	;Leftwards Arrow
0x1c	0x221f	;Right Angle
0x1d	0x2194	;Left Right Arrow
0x1e	0x25b2	;Black Up-Pointing Triangle
0x1f	0x25bc	;Black Down-Pointing Triangle
0x7f	0x2302	;House


WCTABLE 638

0x0000	0x00	;Null
0x0001	0x01	;Start Of Heading
0x0002	0x02	;Start Of Text
0x0003	0x03	;End Of Text
0x0004	0x04	;End Of Transmission
0x0005	0x05	;Enquiry
0x0006	0x06	;Acknowledge
0x0007	0x07	;Bell
0x0008	0x08	;Backspace
0x0009	0x09	;Horizontal Tabulation
0x000a	0x0a	;Line Feed
0x000b	0x0b	;Vertical Tabulation
0x000c	0x0c	;Form Feed
0x000d	0x0d	;Carriage Return
0x000e	0x0e	;Shift Out
0x000f	0x0f	;Shift In
0x0010	0x10	;Data Link Escape
0x0011	0x11	;Device Control One
0x0012	0x12	;Device Control Two
0x0013	0x13	;Device Control Three
0x0014	0x14	;Device Control Four
0x0015	0x15	;Negative Acknowledge
0x0016	0x16	;Synchronous Idle
0x0017	0x17	;End Of Transmission Block
0x0018	0x18	;Cancel
0x0019	0x19	;End Of Medium
0x001a	0x1a	;Substitute
0x001b	0x1b	;Escape
0x001c	0x1c	;File Separator
0x001d	0x1d	;Group Separator
0x001e	0x1e	;Record Separator
0x001f	0x1f	;Unit Separator
0x0020	0x20	;Space
0x0021	0x21	;Exclamation Mark
0x0022	0x22	;Quotation Mark
0x0023	0x23	;Number Sign
0x0024	0x24	;Dollar Sign
0x0025	0x25	;Percent Sign
0x0026	0x26	;Ampersand
0x0027	0x27	;Apostrophe
0x0028	0x28	;Left Parenthesis
0x0029	0x29	;Right Parenthesis
0x002a	0x2a	;Asterisk
0x002b	0x2b	;Plus Sign
0x002c	0x2c	;Comma
0x002d	0x2d	;Hyphen-Minus
0x002e	0x2e	;Full Stop
0x002f	0x2f	;Solidus
0x0030	0x30	;Digit Zero
0x0031	0x31	;Digit One
0x0032	0x32	;Digit Two
0x0033	0x33	;Digit Three
0x0034	0x34	;Digit Four
0x0035	0x35	;Digit Five
0x0036	0x36	;Digit Six
0x0037	0x37	;Digit Seven
0x0038	0x38	;Digit Eight
0x0039	0x39	;Digit Nine
0x003a	0x3a	;Colon
0x003b	0x3b	;Semicolon
0x003c	0x3c	;Less-Than Sign
0x003d	0x3d	;Equals Sign
0x003e	0x3e	;Greater-Than Sign
0x003f	0x3f	;Question Mark
0x0040	0x40	;Commercial At
0x0041	0x41	;Latin Capital Letter A
0x0042	0x42	;Latin Capital Letter B
0x0043	0x43	;Latin Capital Letter C
0x0044	0x44	;Latin Capital Letter D
0x0045	0x45	;Latin Capital Letter E
0x0046	0x46	;Latin Capital Letter F
0x0047	0x47	;Latin Capital Letter G
0x0048	0x48	;Latin Capital Letter H
0x0049	0x49	;Latin Capital Letter I
0x004a	0x4a	;Latin Capital Letter J
0x004b	0x4b	;Latin Capital Letter K
0x004c	0x4c	;Latin Capital Letter L
0x004d	0x4d	;Latin Capital Letter M
0x004e	0x4e	;Latin Capital Letter N
0x004f	0x4f	;Latin Capital Letter O
0x0050	0x50	;Latin Capital Letter P
0x0051	0x51	;Latin Capital Letter Q
0x0052	0x52	;Latin Capital Letter R
0x0053	0x53	;Latin Capital Letter S
0x0054	0x54	;Latin Capital Letter T
0x0055	0x55	;Latin Capital Letter U
0x0056	0x56	;Latin Capital Letter V
0x0057	0x57	;Latin Capital Letter W
0x0058	0x58	;Latin Capital Letter X
0x0059	0x59	;Latin Capital Letter Y
0x005a	0x5a	;Latin Capital Letter Z
0x005b	0x5b	;Left Square Bracket
0x005c	0x5c	;Reverse Solidus
0x005d	0x5d	;Right Square Bracket
0x005e	0x5e	;Circumflex Accent
0x005f	0x5f	;Low Line
0x0060	0x60	;Grave Accent
0x0061	0x61	;Latin Small Letter A
0x0062	0x62	;Latin Small Letter B
0x0063	0x63	;Latin Small Letter C
0x0064	0x64	;Latin Small Letter D
0x0065	0x65	;Latin Small Letter E
0x0066	0x66	;Latin Small Letter F
0x0067	0x67	;Latin Small Letter G
0x0068	0x68	;Latin Small Letter H
0x0069	0x69	;Latin Small Letter I
0x006a	0x6a	;Latin Small Letter J
0x006b	0x6b	;Latin Small Letter K
0x006c	0x6c	;Latin Small Letter L
0x006d	0x6d	;Latin Small Letter M
0x006e	0x6e	;Latin Small Letter N
0x006f	0x6f	;Latin Small Letter O
0x0070	0x70	;Latin Small Letter P
0x0071	0x71	;Latin Small Letter Q
0x0072	0x72	;Latin Small Letter R
0x0073	0x73	;Latin Small Letter S
0x0074	0x74	;Latin Small Letter T
0x0075	0x75	;Latin Small Letter U
0x0076	0x76	;Latin Small Letter V
0x0077	0x77	;Latin Small Letter W
0x0078	0x78	;Latin Small Letter X
0x0079	0x79	;Latin Small Letter Y
0x007a	0x7a	;Latin Small Letter Z
0x007b	0x7b	;Left Curly Bracket
0x007c	0x7c	;Vertical Line
0x007d	0x7d	;Right Curly Bracket
0x007e	0x7e	;Tilde
0x007f	0x7f	;Delete
0x00a0	0xff	;No-Break Space
0x00a4	0xfd	;Currency Sign
0x00a6	0xb3	;Broken Bar
0x00a7	0x15	;Section Sign
0x00a9	0x63	;Copyright Sign
0x00ab	0x3c	;Left-Pointing Double Angle Quotation Mark
0x00ac	0xbf	;Not Sign
0x00ad	0x2d	;Soft Hyphen
0x00ae	0x52	;Registered Sign
0x00b0	0xf8	;Degree Sign
0x00b1	0x2b	;Plus-Minus Sign
0x00b5	0xe7	;Micro Sign
0x00b6	0x14	;Pilcrow Sign
0x00b7	0xfa	;Middle Dot
0x00bb	0x3e	;Right-Pointing Double Angle Quotation Mark
0x00c0	0x41	;Latin Capital Letter A With Grave
0x00c1	0x41	;Latin Capital Letter A With Acute
0x00c2	0x41	;Latin Capital Letter A With Circumflex
0x00c3	0x41	;Latin Capital Letter A With Tilde
0x00c4	0x41	;Latin Capital Letter A With Diaeresis
0x00c5	0x41	;Latin Capital Letter A With Ring Above
0x00c7	0x43	;Latin Capital Letter C With Cedilla
0x00c8	0x45	;Latin Capital Letter E With Grave
0x00c9	0x45	;Latin Capital Letter E With Acute
0x00ca	0x45	;Latin Capital Letter E With Circumflex
0x00cb	0x45	;Latin Capital Letter E With Diaeresis
0x00cc	0x49	;Latin Capital Letter I With Grave
0x00cd	0x49	;Latin Capital Letter I With Acute
0x00ce	0x49	;Latin Capital Letter I With Circumflex
0x00cf	0x49	;Latin Capital Letter I With Diaeresis
0x00d1	0x4e	;Latin Capital Letter N With Tilde
0x00d2	0x4f	;Latin Capital Letter O With Grave
0x00d3	0x4f	;Latin Capital Letter O With Acute
0x00d4	0x4f	;Latin Capital Letter O With Circumflex
0x00d5	0x4f	;Latin Capital Letter O With Tilde
0x00d6	0x4f	;Latin Capital Letter O With Diaeresis
0x00d8	0x4f	;Latin Capital Letter O With Stroke
0x00d9	0x55	;Latin Capital Letter U With Grave
0x00da	0x55	;Latin Capital Letter U With Acute
0x00db	0x55	;Latin Capital Letter U With Circumflex
0x00dc	0x55	;Latin Capital Letter U With Diaeresis
0x00dd	0x59	;Latin Capital Letter Y With Acute
0x00e0	0x61	;Latin Small Letter A With Grave
0x00e1	0x61	;Latin Small Letter A With Acute
0x00e2	0x61	;Latin Small Letter A With Circumflex
0x00e3	0x61	;Latin Small Letter A With Tilde
0x00e4	0x61	;Latin Small Letter A With Diaeresis
0x00e5	0x61	;Latin Small Letter A With Ring Above
0x00e7	0x63	;Latin Small Letter C With Cedilla
0x00e8	0x65	;Latin Small Letter E With Grave
0x00e9	0x65	;Latin Small Letter E With Acute
0x00ea	0x65	;Latin Small Letter E With Circumflex
0x00eb	0x65	;Latin Small Letter E With Diaeresis
0x00ec	0x69	;Latin Small Letter I With Grave
0x00ed	0x69	;Latin Small Letter I With Acute
0x00ee	0x69	;Latin Small Letter I With Circumflex
0x00ef	0x69	;Latin Small Letter I With Diaeresis
0x00f1	0x6e	;Latin Small Letter N With Tilde
0x00f2	0x6f	;Latin Small Letter O With Grave
0x00f3	0x6f	;Latin Small Letter O With Acute
0x00f4	0x6f	;Latin Small Letter O With Circumflex
0x00f5	0x6f	;Latin Small Letter O With Tilde
0x00f6	0x6f	;Latin Small Letter O With Diaeresis
0x00f8	0x6f	;Latin Small Letter O With Stroke
0x00f9	0x75	;Latin Small Letter U With Grave
0x00fa	0x75	;Latin Small Letter U With Acute
0x00fb	0x75	;Latin Small Letter U With Circumflex
0x00fc	0x75	;Latin Small Letter U With Diaeresis
0x00fd	0x79	;Latin Small Letter Y With Acute
0x00ff	0x79	;Latin Small Letter Y With Diaeresis
0x0100	0x41	;Latin Capital Letter A With Macron
0x0101	0x61	;Latin Small Letter A With Macron
0x0102	0x41	;Latin Capital Letter A With Breve
0x0103	0x61	;Latin Small Letter A With Breve
0x0104	0x41	;Latin Capital Letter A With Ogonek
0x0105	0x61	;Latin Small Letter A With Ogonek
0x0106	0x43	;Latin Capital Letter C With Acute
0x0107	0x63	;Latin Small Letter C With Acute
0x0108	0x43	;Latin Capital Letter C With Circumflex
0x0109	0x63	;Latin Small Letter C With Circumflex
0x010a	0x43	;Latin Capital Letter C With Dot Above
0x010b	0x63	;Latin Small Letter C With Dot Above
0x010c	0x43	;Latin Capital Letter C With Caron
0x010d	0x63	;Latin Small Letter C With Caron
0x010e	0x44	;Latin Capital Letter D With Caron
0x010f	0x64	;Latin Small Letter D With Caron
0x0110	0x44	;Latin Capital Letter D With Stroke
0x0111	0x64	;Latin Small Letter D With Stroke
0x0112	0x45	;Latin Capital Letter E With Macron
0x0113	0x65	;Latin Small Letter E With Macron
0x0114	0x45	;Latin Capital Letter E With Breve
0x0115	0x65	;Latin Small Letter E With Breve
0x0116	0x45	;Latin Capital Letter E With Dot Above
0x0117	0x65	;Latin Small Letter E With Dot Above
0x0118	0x45	;Latin Capital Letter E With Ogonek
0x0119	0x65	;Latin Small Letter E With Ogonek
0x011a	0x45	;Latin Capital Letter E With Caron
0x011b	0x65	;Latin Small Letter E With Caron
0x011c	0x47	;Latin Capital Letter G With Circumflex
0x011d	0x67	;Latin Small Letter G With Circumflex
0x011e	0x47	;Latin Capital Letter G With Breve
0x011f	0x67	;Latin Small Letter G With Breve
0x0120	0x47	;Latin Capital Letter G With Dot Above
0x0121	0x67	;Latin Small Letter G With Dot Above
0x0122	0x47	;Latin Capital Letter G With Cedilla
0x0123	0x67	;Latin Small Letter G With Cedilla
0x0124	0x48	;Latin Capital Letter H With Circumflex
0x0125	0x68	;Latin Small Letter H With Circumflex
0x0126	0x48	;Latin Capital Letter H With Stroke
0x0127	0x68	;Latin Small Letter H With Stroke
0x0128	0x49	;Latin Capital Letter I With Tilde
0x0129	0x69	;Latin Small Letter I With Tilde
0x012a	0x49	;Latin Capital Letter I With Macron
0x012b	0x69	;Latin Small Letter I With Macron
0x012c	0x49	;Latin Capital Letter I With Breve
0x012d	0x69	;Latin Small Letter I With Breve
0x012e	0x49	;Latin Capital Letter I With Ogonek
0x012f	0x69	;Latin Small Letter I With Ogonek
0x0130	0x49	;Latin Capital Letter I With Dot Above
0x0134	0x4a	;Latin Capital Letter J With Circumflex
0x0135	0x6a	;Latin Small Letter J With Circumflex
0x0136	0x4b	;Latin Capital Letter K With Cedilla
0x0137	0x6b	;Latin Small Letter K With Cedilla
0x0139	0x4c	;Latin Capital Letter L With Acute
0x013a	0x6c	;Latin Small Letter L With Acute
0x013b	0x4c	;Latin Capital Letter L With Cedilla
0x013c	0x6c	;Latin Small Letter L With Cedilla
0x013d	0x4c	;Latin Capital Letter L With Caron
0x013e	0x6c	;Latin Small Letter L With Caron
0x0141	0x4c	;Latin Capital Letter L With Stroke
0x0142	0x6c	;Latin Small Letter L With Stroke
0x0143	0x4e	;Latin Capital Letter N With Acute
0x0144	0x6e	;Latin Small Letter N With Acute
0x0145	0x4e	;Latin Capital Letter N With Cedilla
0x0146	0x6e	;Latin Small Letter N With Cedilla
0x0147	0x4e	;Latin Capital Letter N With Caron
0x0148	0x6e	;Latin Small Letter N With Caron
0x014c	0x4f	;Latin Capital Letter O With Macron
0x014d	0x6f	;Latin Small Letter O With Macron
0x014e	0x4f	;Latin Capital Letter O With Breve
0x014f	0x6f	;Latin Small Letter O With Breve
0x0150	0x4f	;Latin Capital Letter O With Double Acute
0x0151	0x6f	;Latin Small Letter O With Double Acute
0x0154	0x52	;Latin Capital Letter R With Acute
0x0155	0x72	;Latin Small Letter R With Acute
0x0156	0x52	;Latin Capital Letter R With Cedilla
0x0157	0x72	;Latin Small Letter R With Cedilla
0x0158	0x52	;Latin Capital Letter R With Caron
0x0159	0x72	;Latin Small Letter R With Caron
0x015a	0x53	;Latin Capital Letter S With Acute
0x015b	0x73	;Latin Small Letter S With Acute
0x015c	0x53	;Latin Capital Letter S With Circumflex
0x015d	0x73	;Latin Small Letter S With Circumflex
0x015e	0x53	;Latin Capital Letter S With Cedilla
0x015f	0x73	;Latin Small Letter S With Cedilla
0x0160	0x53	;Latin Capital Letter S With Caron
0x0161	0x73	;Latin Small Letter S With Caron
0x0162	0x54	;Latin Capital Letter T With Cedilla
0x0163	0x74	;Latin Small Letter T With Cedilla
0x0164	0x54	;Latin Capital Letter T With Caron
0x0165	0x74	;Latin Small Letter T With Caron
0x0166	0x54	;Latin Capital Letter T With Stroke
0x0167	0x74	;Latin Small Letter T With Stroke
0x0168	0x55	;Latin Capital Letter U With Tilde
0x0169	0x75	;Latin Small Letter U With Tilde
0x016a	0x55	;Latin Capital Letter U With Macron
0x016b	0x75	;Latin Small Letter U With Macron
0x016c	0x55	;Latin Capital Letter U With Breve
0x016d	0x75	;Latin Small Letter U With Breve
0x016e	0x55	;Latin Capital Letter U With Ring Above
0x016f	0x75	;Latin Small Letter U With Ring Above
0x0170	0x55	;Latin Capital Letter U With Double Acute
0x0171	0x75	;Latin Small Letter U With Double Acute
0x0172	0x55	;Latin Capital Letter U With Ogonek
0x0173	0x75	;Latin Small Letter U With Ogonek
0x0174	0x57	;Latin Capital Letter W With Circumflex
0x0175	0x77	;Latin Small Letter W With Circumflex
0x0176	0x59	;Latin Capital Letter Y With Circumflex
0x0177	0x79	;Latin Small Letter Y With Circumflex
0x0178	0x59	;Latin Capital Letter Y With Diaeresis
0x0179	0x5a	;Latin Capital Letter Z With Acute
0x017a	0x7a	;Latin Small Letter Z With Acute
0x017b	0x5a	;Latin Capital Letter Z With Dot Above
0x017c	0x7a	;Latin Small Letter Z With Dot Above
0x017d	0x5a	;Latin Capital Letter Z With Caron
0x017e	0x7a	;Latin Small Letter Z With Caron
0x0180	0x62	;Latin Small Letter B With Stroke
0x0197	0x49	;Latin Capital Letter I With Stroke
0x019a	0x6c	;Latin Small Letter L With Bar
0x019f	0x4f	;Latin Capital Letter O With Middle Tilde
0x01a0	0x4f	;Latin Capital Letter O With Horn
0x01a1	0x6f	;Latin Small Letter O With Horn
0x01ab	0x74	;Latin Small Letter T With Palatal Hook
0x01ae	0x54	;Latin Capital Letter T With Retroflex Hook
0x01af	0x55	;Latin Capital Letter U With Horn
0x01b0	0x75	;Latin Small Letter U With Horn
0x01cd	0x41	;Latin Capital Letter A With Caron
0x01ce	0x61	;Latin Small Letter A With Caron
0x01cf	0x49	;Latin Capital Letter I With Caron
0x01d0	0x69	;Latin Small Letter I With Caron
0x01d1	0x4f	;Latin Capital Letter O With Caron
