CODEPAGE 932            ; Japanese - ANSI, OEM
0x4f	0xe477
0x50	0xe478
0x51	0xe479
0x52	0xe47a
0x53	0xe47b
0x54	0xe47c
0x55	0xe47d
0x56	0xe47e
0x57	0xe47f
0x58	0xe480
0x59	0xe481
0x5a	0xe482
0x5b	0xe483
0x5c	0xe484
0x5d	0xe485
0x5e	0xe486
0x5f	0xe487
0x60	0xe488
0x61	0xe489
0x62	0xe48a
0x63	0xe48b
0x64	0xe48c
0x65	0xe48d
0x66	0xe48e
0x67	0xe48f
0x68	0xe490
0x69	0xe491
0x6a	0xe492
0x6b	0xe493
0x6c	0xe494
0x6d	0xe495
0x6e	0xe496
0x6f	0xe497
0x70	0xe498
0x71	0xe499
0x72	0xe49a
0x73	0xe49b
0x74	0xe49c
0x75	0xe49d
0x76	0xe49e
0x77	0xe49f
0x78	0xe4a0
0x79	0xe4a1
0x7a	0xe4a2
0x7b	0xe4a3
0x7c	0xe4a4
0x7d	0xe4a5
0x7e	0xe4a6
0x80	0xe4a7
0x81	0xe4a8
0x82	0xe4a9
0x83	0xe4aa
0x84	0xe4ab
0x85	0xe4ac
0x86	0xe4ad
0x87	0xe4ae
0x88	0xe4af
0x89	0xe4b0
0x8a	0xe4b1
0x8b	0xe4b2
0x8c	0xe4b3
0x8d	0xe4b4
0x8e	0xe4b5
0x8f	0xe4b6
0x90	0xe4b7
0x91	0xe4b8
0x92	0xe4b9
0x93	0xe4ba
0x94	0xe4bb
0x95	0xe4bc
0x96	0xe4bd
0x97	0xe4be
0x98	0xe4bf
0x99	0xe4c0
0x9a	0xe4c1
0x9b	0xe4c2
0x9c	0xe4c3
0x9d	0xe4c4
0x9e	0xe4c5
0x9f	0xe4c6
0xa0	0xe4c7
0xa1	0xe4c8
0xa2	0xe4c9
0xa3	0xe4ca
0xa4	0xe4cb
0xa5	0xe4cc
0xa6	0xe4cd
0xa7	0xe4ce
0xa8	0xe4cf
0xa9	0xe4d0
0xaa	0xe4d1
0xab	0xe4d2
0xac	0xe4d3
0xad	0xe4d4
0xae	0xe4d5
0xaf	0xe4d6
0xb0	0xe4d7
0xb1	0xe4d8
0xb2	0xe4d9
0xb3	0xe4da
0xb4	0xe4db
0xb5	0xe4dc
0xb6	0xe4dd
0xb7	0xe4de
0xb8	0xe4df
0xb9	0xe4e0
0xba	0xe4e1
0xbb	0xe4e2
0xbc	0xe4e3
0xbd	0xe4e4
0xbe	0xe4e5
0xbf	0xe4e6
0xc0	0xe4e7
0xc1	0xe4e8
0xc2	0xe4e9
0xc3	0xe4ea
0xc4	0xe4eb
0xc5	0xe4ec
0xc6	0xe4ed
0xc7	0xe4ee
0xc8	0xe4ef
0xc9	0xe4f0
0xca	0xe4f1
0xcb	0xe4f2
0xcc	0xe4f3
0xcd	0xe4f4
0xce	0xe4f5
0xcf	0xe4f6
0xd0	0xe4f7
0xd1	0xe4f8
0xd2	0xe4f9
0xd3	0xe4fa
0xd4	0xe4fb
0xd5	0xe4fc
0xd6	0xe4fd
0xd7	0xe4fe
0xd8	0xe4ff
0xd9	0xe500
0xda	0xe501
0xdb	0xe502
0xdc	0xe503
0xdd	0xe504
0xde	0xe505
0xdf	0xe506
0xe0	0xe507
0xe1	0xe508
0xe2	0xe509
0xe3	0xe50a
0xe4	0xe50b
0xe5	0xe50c
0xe6	0xe50d
0xe7	0xe50e
0xe8	0xe50f
0xe9	0xe510
0xea	0xe511
0xeb	0xe512
0xec	0xe513
0xed	0xe514
0xee	0xe515
0xef	0xe516
0xf0	0xe517
0xf1	0xe518
0xf2	0xe519
0xf3	0xe51a
0xf4	0xe51b
0xf5	0xe51c
0xf6	0xe51d
0xf7	0xe51e
0xf8	0xe51f
0xf9	0xe520
0xfa	0xe521
0xfb	0xe522
0xfc	0xe523

DBCSTABLE 188           ;LeadByte = 0xf7

0x40	0xe524	;EUDC
0x41	0xe525
0x42	0xe526
0x43	0xe527
0x44	0xe528
0x45	0xe529
0x46	0xe52a
0x47	0xe52b
0x48	0xe52c
0x49	0xe52d
0x4a	0xe52e
0x4b	0xe52f
0x4c	0xe530
0x4d	0xe531
0x4e	0xe532
0x4f	0xe533
0x50	0xe534
0x51	0xe535
0x52	0xe536
0x53	0xe537
0x54	0xe538
0x55	0xe539
0x56	0xe53a
0x57	0xe53b
0x58	0xe53c
0x59	0xe53d
0x5a	0xe53e
0x5b	0xe53f
0x5c	0xe540
0x5d	0xe541
0x5e	0xe542
0x5f	0xe543
0x60	0xe544
0x61	0xe545
0x62	0xe546
0x63	0xe547
0x64	0xe548
0x65	0xe549
0x66	0xe54a
0x67	0xe54b
0x68	0xe54c
0x69	0xe54d
0x6a	0xe54e
0x6b	0xe54f
0x6c	0xe550
0x6d	0xe551
0x6e	0xe552
0x6f	0xe553
0x70	0xe554
0x71	0xe555
0x72	0xe556
0x73	0xe557
0x74	0xe558
0x75	0xe559
0x76	0xe55a
0x77	0xe55b
0x78	0xe55c
0x79	0xe55d
0x7a	0xe55e
0x7b	0xe55f
0x7c	0xe560
0x7d	0xe561
0x7e	0xe562
0x80	0xe563
0x81	0xe564
0x82	0xe565
0x83	0xe566
0x84	0xe567
0x85	0xe568
0x86	0xe569
0x87	0xe56a
0x88	0xe56b
0x89	0xe56c
0x8a	0xe56d
0x8b	0xe56e
0x8c	0xe56f
0x8d	0xe570
0x8e	0xe571
0x8f	0xe572
0x90	0xe573
0x91	0xe574
0x92	0xe575
0x93	0xe576
0x94	0xe577
0x95	0xe578
0x96	0xe579
0x97	0xe57a
0x98	0xe57b
0x99	0xe57c
0x9a	0xe57d
0x9b	0xe57e
0x9c	0xe57f
0x9d	0xe580
0x9e	0xe581
0x9f	0xe582
0xa0	0xe583
0xa1	0xe584
0xa2	0xe585
0xa3	0xe586
0xa4	0xe587
0xa5	0xe588
0xa6	0xe589
0xa7	0xe58a
0xa8	0xe58b
0xa9	0xe58c
0xaa	0xe58d
0xab	0xe58e
0xac	0xe58f
0xad	0xe590
0xae	0xe591
0xaf	0xe592
0xb0	0xe593
0xb1	0xe594
0xb2	0xe595
0xb3	0xe596
0xb4	0xe597
0xb5	0xe598
0xb6	0xe599
0xb7	0xe59a
0xb8	0xe59b
0xb9	0xe59c
0xba	0xe59d
0xbb	0xe59e
0xbc	0xe59f
0xbd	0xe5a0
0xbe	0xe5a1
0xbf	0xe5a2
0xc0	0xe5a3
0xc1	0xe5a4
0xc2	0xe5a5
0xc3	0xe5a6
0xc4	0xe5a7
0xc5	0xe5a8
0xc6	0xe5a9
0xc7	0xe5aa
0xc8	0xe5ab
0xc9	0xe5ac
0xca	0xe5ad
0xcb	0xe5ae
0xcc	0xe5af
0xcd	0xe5b0
0xce	0xe5b1
0xcf	0xe5b2
0xd0	0xe5b3
0xd1	0xe5b4
0xd2	0xe5b5
0xd3	0xe5b6
0xd4	0xe5b7
0xd5	0xe5b8
0xd6	0xe5b9
0xd7	0xe5ba
0xd8	0xe5bb
0xd9	0xe5bc
0xda	0xe5bd
0xdb	0xe5be
0xdc	0xe5bf
0xdd	0xe5c0
0xde	0xe5c1
0xdf	0xe5c2
0xe0	0xe5c3
0xe1	0xe5c4
0xe2	0xe5c5
0xe3	0xe5c6
0xe4	0xe5c7
0xe5	0xe5c8
0xe6	0xe5c9
0xe7	0xe5ca
0xe8	0xe5cb
0xe9	0xe5cc
0xea	0xe5cd
0xeb	0xe5ce
0xec	0xe5cf
0xed	0xe5d0
0xee	0xe5d1
0xef	0xe5d2
0xf0	0xe5d3
0xf1	0xe5d4
0xf2	0xe5d5
0xf3	0xe5d6
0xf4	0xe5d7
0xf5	0xe5d8
0xf6	0xe5d9
0xf7	0xe5da
0xf8	0xe5db
0xf9	0xe5dc
0xfa	0xe5dd
0xfb	0xe5de
0xfc	0xe5df

DBCSTABLE 188           ;LeadByte = 0xf8

0x40	0xe5e0	;EUDC
0x41	0xe5e1
0x42	0xe5e2
0x43	0xe5e3
0x44	0xe5e4
0x45	0xe5e5
0x46	0xe5e6
0x47	0xe5e7
0x48	0xe5e8
0x49	0xe5e9
0x4a	0xe5ea
0x4b	0xe5eb
0x4c	0xe5ec
0x4d	0xe5ed
0x4e	0xe5ee
0x4f	0xe5ef
0x50	0xe5f0
0x51	0xe5f1
0x52	0xe5f2
0x53	0xe5f3
0x54	0xe5f4
0x55	0xe5f5
0x56	0xe5f6
0x57	0xe5f7
0x58	0xe5f8
0x59	0xe5f9
0x5a	0xe5fa
0x5b	0xe5fb
0x5c	0xe5fc
0x5d	0xe5fd
0x5e	0xe5fe
0x5f	0xe5ff
0x60	0xe600
0x61	0xe601
0x62	0xe602
0x63	0xe603
0x64	0xe604
0x65	0xe605
0x66	0xe606
0x67	0xe607
0x68	0xe608
0x69	0xe609
0x6a	0xe60a
0x6b	0xe60b
0x6c	0xe60c
0x6d	0xe60d
0x6e	0xe60e
0x6f	0xe60f
0x70	0xe610
0x71	0xe611
0x72	0xe612
0x73	0xe613
0x74	0xe614
0x75	0xe615
0x76	0xe616
0x77	0xe617
0x78	0xe618
0x79	0xe619
0x7a	0xe61a
0x7b	0xe61b
0x7c	0xe61c
0x7d	0xe61d
0x7e	0xe61e
0x80	0xe61f
0x81	0xe620
0x82	0xe621
0x83	0xe622
0x84	0xe623
0x85	0xe624
0x86	0xe625
0x87	0xe626
0x88	0xe627
0x89	0xe628
0x8a	0xe629
0x8b	0xe62a
0x8c	0xe62b
0x8d	0xe62c
0x8e	0xe62d
0x8f	0xe62e
0x90	0xe62f
0x91	0xe630
0x92	0xe631
0x93	0xe632
0x94	0xe633
0x95	0xe634
0x96	0xe635
0x97	0xe636
0x98	0xe637
0x99	0xe638
0x9a	0xe639
0x9b	0xe63a
0x9c	0xe63b
0x9d	0xe63c
0x9e	0xe63d
0x9f	0xe63e
0xa0	0xe63f
0xa1	0xe640
0xa2	0xe641
0xa3	0xe642
0xa4	0xe643
0xa5	0xe644
0xa6	0xe645
0xa7	0xe646
0xa8	0xe647
0xa9	0xe648
0xaa	0xe649
0xab	0xe64a
0xac	0xe64b
0xad	0xe64c
0xae	0xe64d
0xaf	0xe64e
0xb0	0xe64f
0xb1	0xe650
0xb2	0xe651
0xb3	0xe652
0xb4	0xe653
0xb5	0xe654
0xb6	0xe655
0xb7	0xe656
0xb8	0xe657
0xb9	0xe658
0xba	0xe659
0xbb	0xe65a
0xbc	0xe65b
0xbd	0xe65c
0xbe	0xe65d
0xbf	0xe65e
0xc0	0xe65f
0xc1	0xe660
0xc2	0xe661
0xc3	0xe662
0xc4	0xe663
0xc5	0xe664
0xc6	0xe665
0xc7	0xe666
0xc8	0xe667
0xc9	0xe668
0xca	0xe669
0xcb	0xe66a
0xcc	0xe66b
0xcd	0xe66c
0xce	0xe66d
0xcf	0xe66e
0xd0	0xe66f
0xd1	0xe670
0xd2	0xe671
0xd3	0xe672
0xd4	0xe673
0xd5	0xe674
0xd6	0xe675
0xd7	0xe676
0xd8	0xe677
0xd9	0xe678
0xda	0xe679
0xdb	0xe67a
0xdc	0xe67b
0xdd	0xe67c
0xde	0xe67d
0xdf	0xe67e
0xe0	0xe67f
0xe1	0xe680
0xe2	0xe681
0xe3	0xe682
0xe4	0xe683
0xe5	0xe684
0xe6	0xe685
0xe7	0xe686
0xe8	0xe687
0xe9	0xe688
0xea	0xe689
0xeb	0xe68a
0xec	0xe68b
0xed	0xe68c
0xee	0xe68d
0xef	0xe68e
0xf0	0xe68f
0xf1	0xe690
0xf2	0xe691
0xf3	0xe692
0xf4	0xe693
0xf5	0xe694
0xf6	0xe695
0xf7	0xe696
0xf8	0xe697
0xf9	0xe698
0xfa	0xe699
0xfb	0xe69a
0xfc	0xe69b

DBCSTABLE 188           ;LeadByte = 0xf9

0x40	0xe69c	;EUDC
0x41	0xe69d
0x42	0xe69e
0x43	0xe69f
0x44	0xe6a0
0x45	0xe6a1
0x46	0xe6a2
0x47	0xe6a3
0x48	0xe6a4
0x49	0xe6a5
0x4a	0xe6a6
0x4b	0xe6a7
0x4c	0xe6a8
0x4d	0xe6a9
0x4e	0xe6aa
0x4f	0xe6ab
0x50	0xe6ac
0x51	0xe6ad
0x52	0xe6ae
0x53	0xe6af
0x54	0xe6b0
0x55	0xe6b1
0x56	0xe6b2
0x57	0xe6b3
0x58	0xe6b4
0x59	0xe6b5
0x5a	0xe6b6
0x5b	0xe6b7
0x5c	0xe6b8
0x5d	0xe6b9
0x5e	0xe6ba
0x5f	0xe6bb
0x60	0xe6bc
0x61	0xe6bd
0x62	0xe6be
0x63	0xe6bf
0x64	0xe6c0
0x65	0xe6c1
0x66	0xe6c2
0x67	0xe6c3
0x68	0xe6c4
0x69	0xe6c5
0x6a	0xe6c6
0x6b	0xe6c7
0x6c	0xe6c8
0x6d	0xe6c9
0x6e	0xe6ca
0x6f	0xe6cb
0x70	0xe6cc
0x71	0xe6cd
0x72	0xe6ce
0x73	0xe6cf
0x74	0xe6d0
0x75	0xe6d1
0x76	0xe6d2
0x77	0xe6d3
0x78	0xe6d4
0x79	0xe6d5
0x7a	0xe6d6
0x7b	0xe6d7
0x7c	0xe6d8
0x7d	0xe6d9
0x7e	0xe6da
0x80	0xe6db
0x81	0xe6dc
0x82	0xe6dd
0x83	0xe6de
0x84	0xe6df
0x85	0xe6e0
0x86	0xe6e1
0x87	0xe6e2
0x88	0xe6e3
0x89	0xe6e4
0x8a	0xe6e5
0x8b	0xe6e6
0x8c	0xe6e7
0x8d	0xe6e8
0x8e	0xe6e9
0x8f	0xe6ea
0x90	0xe6eb
0x91	0xe6ec
0x92	0xe6ed
0x93	0xe6ee
0x94	0xe6ef
0x95	0xe6f0
0x96	0xe6f1
0x97	0xe6f2
0x98	0xe6f3
0x99	0xe6f4
0x9a	0xe6f5
0x9b	0xe6f6
0x9c	0xe6f7
0x9d	0xe6f8
0x9e	0xe6f9
0x9f	0xe6fa
0xa0	0xe6fb
0xa1	0xe6fc
0xa2	0xe6fd
0xa3	0xe6fe
0xa4	0xe6ff
0xa5	0xe700
0xa6	0xe701
0xa7	0xe702
0xa8	0xe703
0xa9	0xe704
0xaa	0xe705
0xab	0xe706
0xac	0xe707
0xad	0xe708
0xae	0xe709
0xaf	0xe70a
0xb0	0xe70b
0xb1	0xe70c
0xb2	0xe70d
0xb3	0xe70e
0xb4	0xe70f
0xb5	0xe710
0xb6	0xe711
0xb7	0xe712
0xb8	0xe713
0xb9	0xe714
0xba	0xe715
0xbb	0xe716
0xbc	0xe717
0xbd	0xe718
0xbe	0xe719
0xbf	0xe71a
0xc0	0xe71b
0xc1	0xe71c
0xc2	0xe71d
0xc3	0xe71e
0xc4	0xe71f
0xc5	0xe720
0xc6	0xe721
0xc7	0xe722
0xc8	0xe723
0xc9	0xe724
0xca	0xe725
0xcb	0xe726
0xcc	0xe727
0xcd	0xe728
0xce	0xe729
0xcf	0xe72a
0xd0	0xe72b
0xd1	0xe72c
0xd2	0xe72d
0xd3	0xe72e
0xd4	0xe72f
0xd5	0xe730
0xd6	0xe731
0xd7	0xe732
0xd8	0xe733
0xd9	0xe734
0xda	0xe735
0xdb	0xe736
0xdc	0xe737
0xdd	0xe738
0xde	0xe739
0xdf	0xe73a
0xe0	0xe73b
0xe1	0xe73c
0xe2	0xe73d
0xe3	0xe73e
0xe4	0xe73f
0xe5	0xe740
0xe6	0xe741
0xe7	0xe742
0xe8	0xe743
0xe9	0xe744
0xea	0xe745
0xeb	0xe746
0xec	0xe747
0xed	0xe748
0xee	0xe749
0xef	0xe74a
0xf0	0xe74b
0xf1	0xe74c
0xf2	0xe74d
0xf3	0xe74e
0xf4	0xe74f
0xf5	0xe750
0xf6	0xe751
0xf7	0xe752
0xf8	0xe753
0xf9	0xe754
0xfa	0xe755
0xfb	0xe756
0xfc	0xe757

DBCSTABLE 188           ;LeadByte = 0xfa

0x40	0x2170	;ú@ Small Roman Numeral 1
0x41	0x2171	;úA Small Roman Numeral 2
0x42	0x2172	;úB Small Roman Numeral 3
0x43	0x2173	;úC Small Roman Numeral 4
0x44	0x2174	;úD Small Roman Numeral 5
0x45	0x2175	;úE Small Roman Numeral 6
0x46	0x2176	;úF Small Roman Numeral 7
0x47	0x2177	;úG Small Roman Numeral 8
0x48	0x2178	;úH Small Roman Numeral 9
0x49	0x2179	;úI Small Roman Numeral 10
0x4a	0x2160	;úJ Roman Numeral 1
0x4b	0x2161	;úK Roman Numeral 2
0x4c	0x2162	;úL Roman Numeral 3
0x4d	0x2163	;úM Roman Numeral 4
0x4e	0x2164	;úN Roman Numeral 5
0x4f	0x2165	;úO Roman Numeral 6
0x50	0x2166	;úP Roman Numeral 7
0x51	0x2167	;úQ Roman Numeral 8
0x52	0x2168	;úR Roman Numeral 9
0x53	0x2169	;úS Roman Numeral 10
0x54	0xffe2	;úT Fullwidth Not Sign
0x55	0xffe4	;úU Fullwidth Broken Vertical Bar
0x56	0xff07	;úV Fullwidth '
0x57	0xff02	;úW Fullwidth "
0x58	0x3231	;úX Parenthesized Ideograph Stock
0x59	0x2116	;úY Numero
0x5a	0x2121	;úZ T E L Symbol
0x5b	0x2235	;ú[ Because
0x5c	0x7e8a	;ú\
0x5d	0x891c	;ú]
0x5e	0x9348	;ú^
0x5f	0x9288	;ú_
0x60	0x84dc	;ú`
0x61	0x4fc9	;úa
0x62	0x70bb	;úb
0x63	0x6631	;úc
0x64	0x68c8	;úd
0x65	0x92f9	;úe
0x66	0x66fb	;úf
0x67	0x5f45	;úg
0x68	0x4e28	;úh
0x69	0x4ee1	;úi
0x6a	0x4efc	;új
0x6b	0x4f00	;úk
0x6c	0x4f03	;úl
0x6d	0x4f39	;úm
0x6e	0x4f56	;ún
0x6f	0x4f92	;úo
0x70	0x4f8a	;úp
0x71	0x4f9a	;úq
0x72	0x4f94	;úr
0x73	0x4fcd	;ús
0x74	0x5040	;út
0x75	0x5022	;úu
0x76	0x4fff	;úv
0x77	0x501e	;úw
0x78	0x5046	;úx
0x79	0x5070	;úy
0x7a	0x5042	;úz
0x7b	0x5094	;ú{
0x7c	0x50f4	;ú|
0x7d	0x50d8	;ú}
0x7e	0x514a	;ú~
0x80	0x5164	;ú€
0x81	0x519d	;ú
0x82	0x51be	;ú‚
0x83	0x51ec	;úƒ
0x84	0x5215	;ú„
0x85	0x529c	;ú…
0x86	0x52a6	;ú†
0x87	0x52c0	;ú‡
0x88	0x52db	;úˆ
0x89	0x5300	;ú‰
0x8a	0x5307	;úŠ
0x8b	0x5324	;ú‹
0x8c	0x5372	;úŒ
0x8d	0x5393	;ú
0x8e	0x53b2	;ú
0x8f	0x53dd	;ú
0x90	0xfa0e	;ú
0x91	0x549c	;ú‘
0x92	0x548a	;ú’
0x93	0x54a9	;ú“
0x94	0x54ff	;ú”
0x95	0x5586	;ú•
0x96	0x5759	;ú–
0x97	0x5765	;ú—
0x98	0x57ac	;ú˜
0x99	0x57c8	;ú™
0x9a	0x57c7	;úš
0x9b	0xfa0f	;ú›
0x9c	0xfa10	;úœ
0x9d	0x589e	;ú
0x9e	0x58b2	;ú
0x9f	0x590b	;úŸ
0xa0	0x5953	;ú 
0xa1	0x595b	;ú¡
0xa2	0x595d	;ú¢
0xa3	0x5963	;ú£
0xa4	0x59a4	;ú¤
0xa5	0x59ba	;ú¥
0xa6	0x5b56	;ú¦
0xa7	0x5bc0	;ú§
0xa8	0x752f	;ú¨
0xa9	0x5bd8	;ú©
0xaa	0x5bec	;úª
0xab	0x5c1e	;ú«
0xac	0x5ca6	;ú¬
0xad	0x5cba	;ú­
0xae	0x5cf5	;ú®
0xaf	0x5d27	;ú¯
0xb0	0x5d53	;ú°
0xb1	0xfa11	;ú±
0xb2	0x5d42	;ú²
0xb3	0x5d6d	;ú³
0xb4	0x5db8	;ú´
0xb5	0x5db9	;úµ
0xb6	0x5dd0	;ú¶
0xb7	0x5f21	;ú·
0xb8	0x5f34	;ú¸
0xb9	0x5f67	;ú¹
0xba	0x5fb7	;úº
0xbb	0x5fde	;ú»
0xbc	0x605d	;ú¼
0xbd	0x6085	;ú½
0xbe	0x608a	;ú¾
0xbf	0x60de	;ú¿
0xc0	0x60d5	;úÀ
0xc1	0x6120	;úÁ
0xc2	0x60f2	;úÂ
0xc3	0x6111	;úÃ
0xc4	0x6137	;úÄ
0xc5	0x6130	;úÅ
0xc6	0x6198	;úÆ
0xc7	0x6213	;úÇ
0xc8	0x62a6	;úÈ
0xc9	0x63f5	;úÉ
0xca	0x6460	;úÊ
0xcb	0x649d	;úË
0xcc	0x64ce	;úÌ
0xcd	0x654e	;úÍ
0xce	0x6600	;úÎ
0xcf	0x6615	;úÏ
0xd0	0x663b	;úĞ
0xd1	0x6609	;úÑ
0xd2	0x662e	;úÒ
0xd3	0x661e	;úÓ
0xd4	0x6624	;úÔ
0xd5	0x6665	;úÕ
0xd6	0x6657	;úÖ
0xd7	0x6659	;ú×
0xd8	0xfa12	;úØ
0xd9	0x6673	;úÙ
0xda	0x6699	;úÚ
0xdb	0x66a0	;úÛ
0xdc	0x66b2	;úÜ
0xdd	0x66bf	;úİ
0xde	0x66fa	;úŞ
0xdf	0x670e	;úß
0xe0	0xf929	;úà
0xe1	0x6766	;úá
0xe2	0x67bb	;úâ
0xe3	0x6852	;úã
0xe4	0x67c0	;úä
0xe5	0x6801	;úå
0xe6	0x6844	;úæ
0xe7	0x68cf	;úç
0xe8	0xfa13	;úè
0xe9	0x6968	;úé
0xea	0xfa14	;úê
0xeb	0x6998	;úë
0xec	0x69e2	;úì
0xed	0x6a30	;úí
0xee	0x6a6b	;úî
0xef	0x6a46	;úï
0xf0	0x6a73	;úğ
0xf1	0x6a7e	;úñ
0xf2	0x6ae2	;úò
0xf3	0x6ae4	;úó
0xf4	0x6bd6	;úô
0xf5	0x6c3f	;úõ
0xf6	0x6c5c	;úö
0xf7	0x6c86	;ú÷
0xf8	0x6c6f	;úø
0xf9	0x6cda	;úù
0xfa	0x6d04	;úú
0xfb	0x6d87	;úû
0xfc	0x6d6f	;úü

DBCSTABLE 188           ;LeadByte = 0xfb

0x40	0x6d96	;û@
0x41	0x6dac	;ûA
0x42	0x6dcf	;ûB
0x43	0x6df8	;ûC
0x44	0x6df2	;ûD
0x45	0x6dfc	;ûE
0x46	0x6e39	;ûF
0x47	0x6e5c	;ûG
0x48	0x6e27	;ûH
0x49	0x6e3c	;ûI
0x4a	0x6ebf	;ûJ
0x4b	0x6f88	;ûK
0x4c	0x6fb5	;ûL
0x4d	0x6ff5	;ûM
0x4e	0x7005	;ûN
0x4f	0x7007	;ûO
0x50	0x7028	;ûP
0x51	0x7085	;ûQ
0x52	0x70ab	;ûR
0x53	0x710f	;ûS
0x54	0x7104	;ûT
0x55	0x715c	;ûU
0x56	0x7146	;ûV
0x57	0x7147	;ûW
0x58	0xfa15	;ûX
0x59	0x71c1	;ûY
0x5a	0x71fe	;ûZ
0x5b	0x72b1	;û[
0x5c	0x72be	;û\
0x5d	0x7324	;û]
0x5e	0xfa16	;û^
0x5f	0x7377	;û_
0x60	0x73bd	;û`
0x61	0x73c9	;ûa
0x62	0x73d6	;ûb
0x63	0x73e3	;ûc
0x64	0x73d2	;ûd
0x65	0x7407	;ûe
0x66	0x73f5	;ûf
0x67	0x7426	;ûg
0x68	0x742a	;ûh
0x69	0x7429	;ûi
0x6a	0x742e	;ûj
0x6b	0x7462	;ûk
0x6c	0x7489	;ûl
0x6d	0x749f	;ûm
0x6e	0x7501	;ûn
0x6f	0x756f	;ûo
0x70	0x7682	;ûp
0x71	0x769c	;ûq
0x72	0x769e	;ûr
0x73	0x769b	;ûs
0x74	0x76a6	;ût
0x75	0xfa17	;ûu
0x76	0x7746	;ûv
0x77	0x52af	;ûw
0x78	0x7821	;ûx
0x79	0x784e	;ûy
0x7a	0x7864	;ûz
0x7b	0x787a	;û{
0x7c	0x7930	;û|
0x7d	0xfa18	;û}
0x7e	0xfa19	;û~
0x80	0xfa1a	;û€
0x81	0x7994	;û
0x82	0xfa1b	;û‚
0x83	0x799b	;ûƒ
0x84	0x7ad1	;û„
0x85	0x7ae7	;û…
0x86	0xfa1c	;û†
0x87	0x7aeb	;û‡
0x88	0x7b9e	;ûˆ
0x89	0xfa1d	;û‰
0x8a	0x7d48	;ûŠ
0x8b	0x7d5c	;û‹
0x8c	0x7db7	;ûŒ
0x8d	0x7da0	;û
0x8e	0x7dd6	;û
0x8f	0x7e52	;û
0x90	0x7f47	;û
0x91	0x7fa1	;û‘
0x92	0xfa1e	;û’
0x93	0x8301	;û“
0x94	0x8362	;û”
0x95	0x837f	;û•
0x96	0x83c7	;û–
0x97	0x83f6	;û—
0x98	0x8448	;û˜
0x99	0x84b4	;û™
0x9a	0x8553	;ûš
0x9b	0x8559	;û›
0x9c	0x856b	;ûœ
0x9d	0xfa1f	;û
0x9e	0x85b0	;û
0x9f	0xfa20	;ûŸ
0xa0	0xfa21	;û 
0xa1	0x8807	;û¡
0xa2	0x88f5	;û¢
0xa3	0x8a12	;û£
0xa4	0x8a37	;û¤
0xa5	0x8a79	;û¥
0xa6	0x8aa7	;û¦
0xa7	0x8abe	;û§
0xa8	0x8adf	;û¨
0xa9	0xfa22	;û©
0xaa	0x8af6	;ûª
0xab	0x8b53	;û«
0xac	0x8b7f	;û¬
0xad	0x8cf0	;û­
0xae	0x8cf4	;û®
0xaf	0x8d12	;û¯
0xb0	0x8d76	;û°
0xb1	0xfa23	;û±
0xb2	0x8ecf	;û²
0xb3	0xfa24	;û³
0xb4	0xfa25	;û´
0xb5	0x9067	;ûµ
0xb6	0x90de	;û¶
0xb7	0xfa26	;û·
0xb8	0x9115	;û¸
0xb9	0x9127	;û¹
0xba	0x91da	;ûº
0xbb	0x91d7	;û»
0xbc	0x91de	;û¼
0xbd	0x91ed	;û½
0xbe	0x91ee	;û¾
0xbf	0x91e4	;û¿
0xc0	0x91e5	;ûÀ
0xc1	0x9206	;ûÁ
0xc2	0x9210	;ûÂ
0xc3	0x920a	;ûÃ
0xc4	0x923a	;ûÄ
0xc5	0x9240	;ûÅ
0xc6	0x923c	;ûÆ
0xc7	0x924e	;ûÇ
0xc8	0x9259	;ûÈ
0xc9	0x9251	;ûÉ
0xca	0x9239	;ûÊ
0xcb	0x9267	;ûË
0xcc	0x92a7	;ûÌ
0xcd	0x9277	;ûÍ
0xce	0x9278	;ûÎ
0xcf	0x92e7	;ûÏ
0xd0	0x92d7	;ûĞ
0xd1	0x92d9	;ûÑ
0xd2	0x92d0	;ûÒ
0xd3	0xfa27	;ûÓ
0xd4	0x92d5	;ûÔ
0xd5	0x92e0	;ûÕ
0xd6	0x92d3	;ûÖ
0xd7	0x9325	;û×
0xd8	0x9321	;ûØ
0xd9	0x92fb	;ûÙ
0xda	0xfa28	;ûÚ
0xdb	0x931e	;ûÛ
0xdc	0x92ff	;ûÜ
0xdd	0x931d	;ûİ
0xde	0x9302	;ûŞ
0xdf	0x9370	;ûß
0xe0	0x9357	;ûà
0xe1	0x93a4	;ûá
0xe2	0x93c6	;ûâ
0xe3	0x93de	;ûã
0xe4	0x93f8	;ûä
0xe5	0x9431	;ûå
0xe6	0x9445	;ûæ
0xe7	0x9448	;ûç
0xe8	0x9592	;ûè
0xe9	0xf9dc	;ûé
0xea	0xfa29	;ûê
0xeb	0x969d	;ûë
0xec	0x96af	;ûì
0xed	0x9733	;ûí
0xee	0x973b	;ûî
0xef	0x9743	;ûï
0xf0	0x974d	;ûğ
0xf1	0x974f	;ûñ
0xf2	0x9751	;ûò
0xf3	0x9755	;ûó
0xf4	0x9857	;ûô
0xf5	0x9865	;ûõ
0xf6	0xfa2a	;ûö
0xf7	0xfa2b	;û÷
0xf8	0x9927	;ûø
0xf9	0xfa2c	;ûù
0xfa	0x999e	;ûú
0xfb	0x9a4e	;ûû
0xfc	0x9ad9	;ûü

