CODEPAGE 20001          ;TCA - Taiwan

CPINFO 2 0x3f 0x003f    ;DBCS CP;Default Char = Question Mark

MBTABLE	150

0x00	0x0000	;Null
0x79	0xfe44	;Presentation Form For Vertical Right White Corner Bracket
0x7a	0xfe59	;Small Left Parenthesis
0x80	0xfe5a	;Small Right Parenthesis
0x81	0xfe5b	;Small Left Curly Bracket
0x82	0xfe5c	;Small Right Curly Bracket
0x83	0xfe5d	;Small Left Tortoise Shell Bracket
0x84	0xfe5e	;Small Right Tortoise Shell Bracket
0x85	0x2018	;Left Single Quotation Mark
0x86	0x2019	;Right Single Quotation Mark
0x87	0x201c	;Left Double Quotation Mark
0x88	0x201d	;Right Double Quotation Mark
0x89	0x301d	;Reversed Double Prime Quotation Mark
0x8a	0x301e	;Double Prime Quotation Mark
0x8b	0x2032	;Prime
0x8c	0x2035	;Reversed Prime
0x8d	0xff03	;Fullwidth Number Sign
0x8e	0xff06	;Fullwidth Ampersand
0x8f	0xff0a	;Fullwidth Asterisk
0x90	0x203b	;Reference Mark
0x91	0x00a7	;Section Sign
0x92	0x3003	;Ditto Mark
0x93	0x25cb	;White Circle
0x94	0x25cf	;Black Circle
0x95	0x25b3	;White Up-pointing Triangle
0x96	0x25b2	;Black Up-pointing Triangle
0x97	0x25ce	;Bullseye
0x98	0x2606	;White Star
0x99	0x2605	;Black Star
0x9a	0x25c7	;White Diamond
0x9b	0x25c6	;Black Diamond
0x9c	0x25a1	;White Square
0x9d	0x25a0	;Black Square
0x9e	0x25bd	;White Down-pointing Triangle
0x9f	0x25bc	;Black Down-pointing Triangle
0xa0	0x32a3	;Circled Ideograph Correct
0xa1	0x2105	;Care Of
0xa2	0x203e	;Overline
0xa3	0xffe3	;Fullwidth Macron
0xa4	0xff3f	;Fullwidth Low Line
0xa5	0xff3f	;Fullwidth Low Line
0xa6	0xfe49	;Dashed Overline
0xa7	0xfe4a	;Centreline Overline
0xa8	0xfe4d	;Dashed Low Line
0xa9	0xfe4e	;Centreline Low Line
0xaa	0xfe4b	;Wavy Overline
0xab	0xfe4c	;Double Wavy Overline
0xac	0xfe5f	;Small Number Sign
0xad	0xfe60	;Small Ampersand
0xae	0xfe61	;Small Asterisk
0xaf	0xff0b	;Fullwidth Plus Sign
0xb0	0xff0d	;Fullwidth Hyphen-minus
0xb1	0x00d7	;Multiplication Sign
0xb2	0x00f7	;Division Sign
0xb3	0x00b1	;Plus-minus Sign
0xb4	0x221a	;Square Root
0xb5	0xff1c	;Fullwidth Less-than Sign
0xb6	0xff1e	;Fullwidth Greater-than Sign
0xb7	0xff1d	;Fullwidth Equals Sign
0xb8	0x2266	;Less-than Over Equal To
0xb9	0x2267	;Greater-than Over Equal To
0xba	0x2260	;Not Equal To
0xbb	0x221e	;Infinity
0xbc	0x2252	;Approximately Equal To Or The Image Of
0xbd	0x2261	;Identical To
0xbe	0xfe62	;Small Plus Sign
0xbf	0xfe63	;Small Hyphen-minus
0xc0	0xfe64	;Small Less-than Sign
0xc1	0xfe65	;Small Greater-than Sign
0xc2	0xfe66	;Small Equals Sign
0xc3	0x223c	;Tilde Operator
0xc4	0x2229	;Intersection
0xc5	0x222a	;Union
0xc6	0x22a5	;Up Tack
0xc7	0x2220	;Angle
0xc8	0x221f	;Right Angle
0xc9	0x22bf	;Right Triangle
0xca	0x33d2	;Square Log
0xcb	0x33d1	;Square Ln
0xcc	0x222b	;Integral
0xcd	0x222e	;Contour Integral
0xce	0x2235	;Because
0xcf	0x2234	;Therefore
0xd0	0x2640	;Female Sign
0xd1	0x2642	;Male Sign
0xd2	0x2295	;Circled Plus
0xd3	0x2299	;Circled Dot Operator
0xd4	0x2191	;Upwards Arrow
0xd5	0x2193	;Downwards Arrow
0xd6	0x2192	;Rightwards Arrow
0xd7	0x2190	;Leftwards Arrow
0xd8	0x2196	;North West Arrow
0xd9	0x2197	;North East Arrow
0xda	0x2199	;South West Arrow
0xdb	0x2198	;South East Arrow
0xdc	0x2225	;Parallel To
0xdd	0x2223	;Divides
0xde	0xff0f	;Fullwidth Solidus
0xdf	0xff3c	;Fullwidth Reverse Solidus
0xe0	0xff0f	;Fullwidth Solidus
0xe1	0xfe68	;Small Reverse Solidus
0xe2	0xff04	;Fullwidth Dollar Sign
0xe3	0xffe5	;Fullwidth Yen Sign
0xe4	0x3012	;Postal Mark
0xe5	0xffe0	;Fullwidth Cent Sign
0xe6	0xffe1	;Fullwidth Pound Sign
0xe7	0xff05	;Fullwidth Percent Sign
0xe8	0xff20	;Fullwidth Commercial At
0xe9	0x2103	;Degree Celsius
0xea	0x2109	;Degree Fahrenheit
0xeb	0xfe69	;Small Dollar Sign
0xec	0xfe6a	;Small Percent Sign
0xed	0xfe6b	;Small Commercial At
0xee	0x33d5	;Square Mil
0xef	0x339c	;Square Mm
0xf0	0x339d	;Square Cm
0xf1	0x339e	;Square Km
0xf2	0x33ce	;Square Km Capital
0xf3	0x33a1	;Square M Squared
0xf4	0x338e	;Square Mg
0xf5	0x338f	;Square Kg
0xf6	0x33c4	;Square Cc
0xf7	0x309c	;Katakana-hiragana Semi-voiced Sound Mark
0xf8	0x5159	;¢Y
0xf9	0x515b	;¢Z
0xfa	0x515e	;¢[
0xfb	0x515d	;¢\
0xfc	0x5161	;¢]
0xfd	0x5163	;¢^

DBCSTABLE 188           ;LeadByte = 0x82

0x30	0x55e7	;¢_
0x31	0x74e9	;¢`
0x32	0x7cce	;¢a
0x33	0x2581	;Lower One Eighth Block
0x34	0x2582	;Lower One Quarter Block
0x35	0x2583	;Lower Three Eighths Block
0x36	0x2584	;Lower Half Block
0x37	0x2585	;Lower Five Eighths Block
0x38	0x2586	;Lower Three Quarters Block
0x39	0x2587	;Lower Seven Eighths Block
0x41	0x2588	;Full Block
0x42	0x258f	;Left One Eighth Block
0x43	0x258e	;Left One Quarter Block
0x44	0x258d	;Left Three Eighths Block
0x45	0x258c	;Left Half Block
0x46	0x258b	;Left Five Eighths Block
0x47	0x258a	;Left Three Quarters Block
0x48	0x2589	;Left Seven Eighths Block
0x49	0x253c	;Box Drawings Light Vertical And Horizontal
0x4a	0x2534	;Box Drawings Light Up And Horizontal
0x4b	0x252c	;Box Drawings Light Down And Horizontal
0x4c	0x2524	;Box Drawings Light Vertical And Left
0x4d	0x251c	;Box Drawings Light Vertical And Right
0x4e	0x2594	;Upper One Eighth Block
0x4f	0x2500	;Box Drawings Light Horizontal
0x50	0x2502	;Box Drawings Light Vertical
0x51	0x2595	;Right One Eighth Block
0x52	0x250c	;Box Drawings Light Down And Right
0x53	0x2510	;Box Drawings Light Down And Left
0x54	0x2514	;Box Drawings Light Up And Right
0x55	0x2518	;Box Drawings Light Up And Left
0x56	0x256d	;Box Drawings Light Arc Down And Right
0x57	0x256e	;Box Drawings Light Arc Down And Left
0x58	0x2570	;Box Drawings Light Arc Up And Right
0x59	0x256f	;Box Drawings Light Arc Up And Left
0x5a	0x2550	;Box Drawings Double Horizontal
0x61	0x255e	;Box Drawings Vertical Single And Right Double
0x62	0x256a	;Box Drawings Vertical Single And Horizontal Double
0x63	0x2561	;Box Drawings Vertical Single And Left Double
0x64	0x25e2	;Black Lower Right Triangle
0x65	0x25e3	;Black Lower Left Triangle
0x66	0x25e5	;Black Upper Right Triangle
0x67	0x25e4	;Black Upper Left Triangle
0x68	0x2571	;Box Drawings Light Diagonal Upper Right To Lower Left
0x69	0x2572	;Box Drawings Light Diagonal Upper Left To Lower Right
0x6a	0x2573	;Box Drawings Light Diagonal Cross
0x6b	0x00a8	;Diaeresis
0x6c	0x02c4	;Modifier Letter Up Arrowhead
0x6d	0x30fd	;Katakana Iteration Mark
0x6e	0x30fe	;Katakana Voiced Iteration Mark
0x6f	0x309d	;Hiragana Iteration Mark
0x70	0x309e	;Hiragana Voiced Iteration Mark
0x71	0x3003	;Ditto Mark
0x72	0x3004	;Japanese Industrial Standard Symbol
0x73	0x3005	;Ideographic Iteration Mark
0x74	0x3006	;Ideographic Closing Mark
0x75	0x3007	;Ideographic Number Zero
0x76	0x30fc	;Katakana-hiragana Prolonged Sound Mark
0x77	0xff3b	;Fullwidth Left Square Bracket
0x78	0xff3d	;Fullwidth Right Square Bracket
0x79	0x273d	;Heavy Teardrop-spoked Asterisk
0x7a	0x3041	;Hiragana Letter Small A
0x80	0x3042	;Hiragana Letter A
0x81	0x3043	;Hiragana Letter Small I
0x82	0x3044	;Hiragana Letter I
0x83	0x3045	;Hiragana Letter Small U
0x84	0x3046	;Hiragana Letter U
0x85	0x3047	;Hiragana Letter Small E
0x86	0x3048	;Hiragana Letter E
0x87	0x3049	;Hiragana Letter Small O
0x88	0x304a	;Hiragana Letter O
0x89	0x304b	;Hiragana Letter Ka
0x8a	0x304c	;Hiragana Letter Ga
0x8b	0x304d	;Hiragana Letter Ki
0x8c	0x304e	;Hiragana Letter Gi
0x8d	0x304f	;Hiragana Letter Ku
0x8e	0x3050	;Hiragana Letter Gu
0x8f	0x3051	;Hiragana Letter Ke
0x90	0x3052	;Hiragana Letter Ge
0x91	0x3053	;Hiragana Letter Ko
0x92	0x3054	;Hiragana Letter Go
0x93	0x3055	;Hiragana Letter Sa
0x94	0x3056	;Hiragana Letter Za
0x95	0x3057	;Hiragana Letter Si
0x96	0x3058	;Hiragana Letter Zi
0x97	0x3059	;Hiragana Letter Su
0x98	0x305a	;Hiragana Letter Zu
0x99	0x305b	;Hiragana Letter Se
0x9a	0x305c	;Hiragana Letter Ze
0x9b	0x305d	;Hiragana Letter So
0x9c	0x305e	;Hiragana Letter Zo
0x9d	0x305f	;Hiragana Letter Ta
0x9e	0x3060	;Hiragana Letter Da
0x9f	0x3061	;Hiragana Letter Ti
0xa0	0xff10	;Fullwidth Digit Zero
0xa1	0xff11	;Fullwidth Digit One
0xa2	0xff12	;Fullwidth Digit Two
0xa3	0xff13	;Fullwidth Digit Three
0xa4	0xff14	;Fullwidth Digit Four
0xa5	0xff15	;Fullwidth Digit Five
0xa6	0xff16	;Fullwidth Digit Six
0xa7	0xff17	;Fullwidth Digit Seven
0xa8	0xff18	;Fullwidth Digit Eight
0xa9	0xff19	;Fullwidth Digit Nine
0xaa	0x2160	;Roman Numeral One
0xab	0x2161	;Roman Numeral Two
0xac	0x2162	;Roman Numeral Three
0xad	0x2163	;Roman Numeral Four
0xae	0x2164	;Roman Numeral Five
0xaf	0x2165	;Roman Numeral Six
0xb0	0x2166	;Roman Numeral Seven
0xb1	0x2167	;Roman Numeral Eight
0xb2	0x2168	;Roman Numeral Nine
0xb3	0x2169	;Roman Numeral Ten
0xb4	0x3021	;Hangzhou Numeral One
0xb5	0x3022	;Hangzhou Numeral Two
0xb6	0x3023	;Hangzhou Numeral Three
0xb7	0x3024	;Hangzhou Numeral Four
0xb8	0x3025	;Hangzhou Numeral Five
0xb9	0x3026	;Hangzhou Numeral Six
0xba	0x3027	;Hangzhou Numeral Seven
0xbb	0x3028	;Hangzhou Numeral Eight
0xbc	0x3029	;Hangzhou Numeral Nine
0xbd	0x5341	;¤Q
0xbe	0x5344	;¢Í
0xbf	0x5345	;¤Ê
0xc0	0xff21	;Fullwidth Latin Capital Letter A
0xc1	0xff22	;Fullwidth Latin Capital Letter B
0xc2	0xff23	;Fullwidth Latin Capital Letter C
0xc3	0xff24	;Fullwidth Latin Capital Letter D
0xc4	0xff25	;Fullwidth Latin Capital Letter E
0xc5	0xff26	;Fullwidth Latin Capital Letter F
0xc6	0xff27	;Fullwidth Latin Capital Letter G
0xc7	0xff28	;Fullwidth Latin Capital Letter H
0xc8	0xff29	;Fullwidth Latin Capital Letter I
0xc9	0xff2a	;Fullwidth Latin Capital Letter J
0xca	0xff2b	;Fullwidth Latin Capital Letter K
0xcb	0xff2c	;Fullwidth Latin Capital Letter L
0xcc	0xff2d	;Fullwidth Latin Capital Letter M
0xcd	0xff2e	;Fullwidth Latin Capital Letter N
0xce	0xff2f	;Fullwidth Latin Capital Letter O
0xcf	0xff30	;Fullwidth Latin Capital Letter P
0xd0	0xff31	;Fullwidth Latin Capital Letter Q
0xd1	0xff32	;Fullwidth Latin Capital Letter R
0xd2	0xff33	;Fullwidth Latin Capital Letter S
0xd3	0xff34	;Fullwidth Latin Capital Letter T
0xd4	0xff35	;Fullwidth Latin Capital Letter U
0xd5	0xff36	;Fullwidth Latin Capital Letter V
0xd6	0xff37	;Fullwidth Latin Capital Letter W
0xd7	0xff38	;Fullwidth Latin Capital Letter X
0xd8	0xff39	;Fullwidth Latin Capital Letter Y
0xd9	0xff3a	;Fullwidth Latin Capital Letter Z
0xda	0xff41	;Fullwidth Latin Small Letter A
0xdb	0xff42	;Fullwidth Latin Small Letter B
0xdc	0xff43	;Fullwidth Latin Small Letter C
0xdd	0xff44	;Fullwidth Latin Small Letter D
0xde	0xff45	;Fullwidth Latin Small Letter E
0xdf	0xff46	;Fullwidth Latin Small Letter F
0xe0	0xff47	;Fullwidth Latin Small Letter G
0xe1	0xff48	;Fullwidth Latin Small Letter H
0xe2	0xff49	;Fullwidth Latin Small Letter I
0xe3	0xff4a	;Fullwidth Latin Small Letter J
0xe4	0xff4b	;Fullwidth Latin Small Letter K
0xe5	0xff4c	;Fullwidth Latin Small Letter L
0xe6	0xff4d	;Fullwidth Latin Small Letter M
0xe7	0xff4e	;Fullwidth Latin Small Letter N
0xe8	0xff4f	;Fullwidth Latin Small Letter O
0xe9	0xff50	;Fullwidth Latin Small Letter P
0xea	0xff51	;Fullwidth Latin Small Letter Q
0xeb	0xff52	;Fullwidth Latin Small Letter R
0xec	0xff53	;Fullwidth Latin Small Letter S
0xed	0xff54	;Fullwidth Latin Small Letter T
0xee	0xff55	;Fullwidth Latin Small Letter U
0xef	0xff56	;Fullwidth Latin Small Letter V
0xf0	0xff57	;Fullwidth Latin Small Letter W
0xf1	0xff58	;Fullwidth Latin Small Letter X
0xf2	0xff59	;Fullwidth Latin Small Letter Y
0xf3	0xff5a	;Fullwidth Latin Small Letter Z
0xf4	0x0391	;Greek Capital Letter Alpha
0xf5	0x0392	;Greek Capital Letter Beta
0xf6	0x0393	;Greek Capital Letter Gamma
0xf7	0x0394	;Greek Capital Letter Delta
0xf8	0x0395	;Greek Capital Letter Epsilon
0xf9	0x0396	;Greek Capital Letter Zeta
0xfa	0x0397	;Greek Capital Letter Eta
0xfb	0x0398	;Greek Capital Letter Theta
0xfc	0x0399	;Greek Capital Letter Iota
0xfd	0x039a	;Greek Capital Letter Kappa

DBCSTABLE 188           ;LeadByte = 0x83

0x30	0x039b	;Greek Capital Letter Lamda
0x31	0x039c	;Greek Capital Letter Mu
0x32	0x039d	;Greek Capital Letter Nu
0x33	0x039e	;Greek Capital Letter Xi
0x34	0x039f	;Greek Capital Letter Omicron
0x35	0x03a0	;Greek Capital Letter Pi
0x36	0x03a1	;Greek Capital Letter Rho
0x37	0x03a3	;Greek Capital Letter Sigma
0x38	0x03a4	;Greek Capital Letter Tau
0x39	0x03a5	;Greek Capital Letter Upsilon
0x41	0x03a6	;Greek Capital Letter Phi
0x42	0x03a7	;Greek Capital Letter Chi
0x43	0x03a8	;Greek Capital Letter Psi
0x44	0x03a9	;Greek Capital Letter Omega
0x45	0x03b1	;Greek Small Letter Alpha
0x46	0x03b2	;Greek Small Letter Beta
0x47	0x03b3	;Greek Small Letter Gamma
0x48	0x03b4	;Greek Small Letter Delta
0x49	0x03b5	;Greek Small Letter Epsilon
0x4a	0x03b6	;Greek Small Letter Zeta
0x4b	0x03b7	;Greek Small Letter Eta
0x4c	0x03b8	;Greek Small Letter Theta
0x4d	0x03b9	;Greek Small Letter Iota
0x4e	0x03ba	;Greek Small Letter Kappa
0x4f	0x03bb	;Greek Small Letter Lamda
0x50	0x03bc	;Greek Small Letter Mu
0x51	0x03bd	;Greek Small Letter Nu
0x52	0x03be	;Greek Small Letter Xi
0x53	0x03bf	;Greek Small Letter Omicron
0x54	0x03c0	;Greek Small Letter Pi
0x55	0x03c1	;Greek Small Letter Rho
0x56	0x03c3	;Greek Small Letter Sigma
0x57	0x03c4	;Greek Small Letter Tau
0x58	0x03c5	;Greek Small Letter Upsilon
0x59	0x03c6	;Greek Small Letter Phi
0x5a	0x03c7	;Greek Small Letter Chi
0x61	0x03c8	;Greek Small Letter Psi
0x62	0x03c9	;Greek Small Letter Omega
0x63	0x3105	;Bopomofo Letter B
0x64	0x3106	;Bopomofo Letter P
0x65	0x3107	;Bopomofo Letter M
0x66	0x3108	;Bopomofo Letter F
0x67	0x3109	;Bopomofo Letter D
0x68	0x310a	;Bopomofo Letter T
0x69	0x310b	;Bopomofo Letter N
0x6a	0x310c	;Bopomofo Letter L
0x6b	0x310d	;Bopomofo Letter G
0x6c	0x310e	;Bopomofo Letter K
0x6d	0x310f	;Bopomofo Letter H
0x6e	0x3110	;Bopomofo Letter J
0x6f	0x3111	;Bopomofo Letter Q
0x70	0x3112	;Bopomofo Letter X
0x71	0x3113	;Bopomofo Letter Zh
0x72	0x3114	;Bopomofo Letter Ch
0x73	0x3115	;Bopomofo Letter Sh
0x74	0x3116	;Bopomofo Letter R
0x75	0x3117	;Bopomofo Letter Z
0x76	0x3118	;Bopomofo Letter C
0x77	0x3119	;Bopomofo Letter S
0x78	0x311a	;Bopomofo Letter A
0x79	0x311b	;Bopomofo Letter O
0x7a	0x311c	;Bopomofo Letter E
0x80	0x311d	;Bopomofo Letter Eh
0x81	0x311e	;Bopomofo Letter Ai
0x82	0x311f	;Bopomofo Letter Ei
0x83	0x3120	;Bopomofo Letter Au
0x84	0x3121	;Bopomofo Letter Ou
0x85	0x3122	;Bopomofo Letter An
0x86	0x3123	;Bopomofo Letter En
0x87	0x3124	;Bopomofo Letter Ang
0x88	0x3125	;Bopomofo Letter Eng
0x89	0x3126	;Bopomofo Letter Er
0x8a	0x3127	;Bopomofo Letter I
0x8b	0x3128	;Bopomofo Letter U
0x8c	0x3129	;Bopomofo Letter Iu
0x8d	0x02d9	;Dot Above
0x8e	0x02df	;Undefined
0x8f	0x02ca	;Modifier Letter Acute Accent
0x90	0x02c7	;Caron
0x91	0x02cb	;Modifier Letter Grave Accent
0x92	0x3062	;Hiragana Letter Di
0x93	0x3063	;Hiragana Letter Small Tu
0x94	0x3064	;Hiragana Letter Tu
0x95	0x3065	;Hiragana Letter Du
0x96	0x3066	;Hiragana Letter Te
0x97	0x3067	;Hiragana Letter De
0x98	0x3068	;Hiragana Letter To
0x99	0x3069	;Hiragana Letter Do
0x9a	0x306a	;Hiragana Letter Na
0x9b	0x306b	;Hiragana Letter Ni
0x9c	0x306c	;Hiragana Letter Nu
0x9d	0x306d	;Hiragana Letter Ne
0x9e	0x306e	;Hiragana Letter No
0x9f	0x306f	;Hiragana Letter Ha
0xa0	0x2460	;Circled Digit One
0xa1	0x2461	;Circled Digit Two
0xa2	0x2462	;Circled Digit Three
0xa3	0x2463	;Circled Digit Four
0xa4	0x2464	;Circled Digit Five
0xa5	0x2465	;Circled Digit Six
0xa6	0x2466	;Circled Digit Seven
0xa7	0x2467	;Circled Digit Eight
0xa8	0x2468	;Circled Digit Nine
0xa9	0x2469	;Circled Number Ten
