CODEPAGE 20000          ;CNS - Taiwan

CPINFO 2 0x3f 0x003f    ;DBCS CP;Default Char = Question Mark

MBTABLE	162

0x00	0x0000	;Null
0x79	0x4ef4	;Éº
0x7a	0x4f12	;É»
0x7b	0x51b1	;É¼
0x7c	0x5213	;É½
0x7d	0x5210	;É¿
0x7e	0x52a6	;ÉÀ
0xa1	0x3000	;Ideographic Space
0xa2	0xff0c	;Fullwidth Comma
0xa3	0x3001	;Ideographic Comma
0xa4	0x3002	;Ideographic Full Stop
0xa5	0x2024	;One Dot Leader
0xa6	0x2022	;Bullet
0xa7	0xff1b	;Fullwidth Semicolon
0xa8	0xff1a	;Fullwidth Colon
0xa9	0xff1f	;Fullwidth Question Mark
0xaa	0xff01	;Fullwidth Exclamation Mark
0xab	0xfe30	;Presentation Form For Vertical Two Dot Leader
0xac	0x2026	;Horizontal Ellipsis
0xad	0x2025	;Two Dot Leader
0xae	0xfe50	;Small Comma
0xaf	0xfe51	;Small Ideographic Comma
0xb0	0x2027	;Hyphenation Point
0xb1	0xfe52	;Small Full Stop
0xb2	0xfe54	;Small Semicolon
0xb3	0xfe55	;Small Colon
0xb4	0xfe56	;Small Question Mark
0xb5	0xfe57	;Small Exclamation Mark
0xb6	0xfe31	;Presentation Form For Vertical Em Dash
0xb7	0x2013	;En Dash
0xb8	0xfe32	;Presentation Form For Vertical En Dash
0xb9	0x2014	;Em Dash
0xba	0xfe33	;Presentation Form For Vertical Low Line
0xbb	0xff3f	;Fullwidth Low Line
0xbc	0xfe34	;Presentation Form For Vertical Wavy Low Line
0xbd	0xfe4f	;Wavy Low Line
0xbe	0xff08	;Fullwidth Left Parenthesis
0xbf	0xff09	;Fullwidth Right Parenthesis
0xc0	0xfe35	;Presentation Form For Vertical Left Parenthesis
0xc1	0xfe36	;Presentation Form For Vertical Right Parenthesis
0xc2	0xff5b	;Fullwidth Left Curly Bracket
0xc3	0xff5d	;Fullwidth Right Curly Bracket
0xc4	0xfe37	;Presentation Form For Vertical Left Curly Bracket
0xc5	0xfe38	;Presentation Form For Vertical Right Curly Bracket
0xc6	0x3014	;Left Tortoise Shell Bracket
0xc7	0x3015	;Right Tortoise Shell Bracket
0xc8	0xfe39	;Presentation Form For Vertical Left Tortoise Shell Bracket
0xc9	0xfe3a	;Presentation Form For Vertical Right Tortoise Shell Bracket
0xca	0x3010	;Left Black Lenticular Bracket
0xcb	0x3011	;Right Black Lenticular Bracket
0xcc	0xfe3b	;Presentation Form For Vertical Left Black Lenticular Bracket
0xcd	0xfe3c	;Presentation Form For Vertical Right Black Lenticular Bracket
0xce	0x300a	;Left Double Angle Bracket
0xcf	0x300b	;Right Double Angle Bracket
0xd0	0xfe3d	;Presentation Form For Vertical Left Double Angle Bracket
0xd1	0xfe3e	;Presentation Form For Vertical Right Double Angle Bracket
0xd2	0x3008	;Left Angle Bracket
0xd3	0x3009	;Right Angle Bracket
0xd4	0xfe3f	;Presentation Form For Vertical Left Angle Bracket
0xd5	0xfe40	;Presentation Form For Vertical Right Angle Bracket
0xd6	0x300c	;Left Corner Bracket
0xd7	0x300d	;Right Corner Bracket
0xd8	0xfe41	;Presentation Form For Vertical Left Corner Bracket
0xd9	0xfe42	;Presentation Form For Vertical Right Corner Bracket
0xda	0x300e	;Left White Corner Bracket
0xdb	0x300f	;Right White Corner Bracket
0xdc	0xfe43	;Presentation Form For Vertical Left White Corner Bracket
0xdd	0xfe44	;Presentation Form For Vertical Right White Corner Bracket
0xde	0xfe59	;Small Left Parenthesis
0xdf	0xfe5a	;Small Right Parenthesis
0xe0	0xfe5b	;Small Left Curly Bracket
0xe1	0xfe5c	;Small Right Curly Bracket
0xe2	0xfe5d	;Small Left Tortoise Shell Bracket
0xe3	0xfe5e	;Small Right Tortoise Shell Bracket
0xe4	0x2018	;Left Single Quotation Mark
0xe5	0x2019	;Right Single Quotation Mark
0xe6	0x201c	;Left Double Quotation Mark
0xe7	0x201d	;Right Double Quotation Mark
0xe8	0x301d	;Reversed Double Prime Quotation Mark
0xe9	0x301e	;Double Prime Quotation Mark
0xea	0x2032	;Prime
0xeb	0x2035	;Reversed Prime
0xec	0xff03	;Fullwidth Number Sign
0xed	0xff06	;Fullwidth Ampersand
0xee	0xff0a	;Fullwidth Asterisk
0xef	0x203b	;Reference Mark
0xf0	0x00a7	;Section Sign
0xf1	0x3003	;Ditto Mark
0xf2	0x25cb	;White Circle
0xf3	0x25cf	;Black Circle
0xf4	0x25b3	;White Up-pointing Triangle
0xf5	0x25b2	;Black Up-pointing Triangle
0xf6	0x25ce	;Bullseye
0xf7	0x2606	;White Star
0xf8	0x2605	;Black Star
0xf9	0x25c7	;White Diamond
0xfa	0x25c6	;Black Diamond
0xfb	0x25a1	;White Square
0xfc	0x25a0	;Black Square
0xfd	0x25bd	;White Down-pointing Triangle
0xfe	0x25bc	;Black Down-pointing Triangle

DBCSTABLE 188           ;LeadByte = 0xa2

0x21	0x5322	;ÉÁ
0x22	0x531f	;ÉÂ
0x23	0x534d	;ÉÃ
0x24	0x538a	;ÉÄ
0x25	0x5407	;ÉÅ
0x26	0x56e1	;ÉÆ
0x27	0x56df	;ÉÇ
0x28	0x572e	;ÉÈ
0x29	0x572a	;ÉÉ
0x2a	0x5734	;ÉÊ
0x2b	0x593c	;ÉË
0x2c	0x5980	;ÉÌ
0x2d	0x597c	;ÉÍ
0x2e	0x5985	;ÉÎ
0x2f	0x597b	;ÉÏ
0x30	0x597e	;ÉÐ
0x31	0x5977	;ÉÑ
0x32	0x597f	;ÉÒ
0x33	0x5b56	;ÉÓ
0x34	0x5c15	;ÉÔ
0x35	0x5c25	;ÉÕ
0x36	0x5c7c	;ÉÖ
0x37	0x5c7a	;É×
0x38	0x5c7b	;ÉØ
0x39	0x5c7e	;ÉÙ
0x3a	0x5ddf	;ÉÚ
0x3b	0x5e75	;ÉÛ
0x3c	0x5e84	;ÉÜ
0x3d	0x5f02	;ÉÝ
0x3e	0x5f1a	;ÉÞ
0x3f	0x5f74	;Éß
0x40	0x5fd5	;Éà
0x41	0x5fd4	;Éá
0x42	0x5fcf	;Éâ
0x43	0x625c	;Éã
0x44	0x625e	;Éä
0x45	0x6264	;Éå
0x46	0x6261	;Éæ
0x47	0x6266	;Éç
0x48	0x6262	;Éè
0x49	0x6259	;Éé
0x4a	0x6260	;Éê
0x4b	0x625a	;Éë
0x4c	0x6265	;Éì
0x4d	0x6537	;Ê÷
0x4e	0x65ef	;Éí
0x4f	0x65ee	;Éî
0x50	0x673e	;Éï
0x51	0x6739	;Éð
0x52	0x6738	;Éñ
0x53	0x673b	;Éò
0x54	0x673a	;Éó
0x55	0x673f	;Éô
0x56	0x673c	;Éõ
0x57	0x6733	;Éö
0x58	0x6c18	;É÷
0x59	0x6c46	;Éø
0x5a	0x6c52	;Éù
0x5b	0x6c5c	;Éú
0x5c	0x6c4f	;Éû
0x5d	0x6c4a	;Éü
0x5e	0x6c54	;Éý
0x5f	0x6c4b	;Éþ
0x60	0x6c4c	;Ê@
0x61	0x7071	;ÊA
0x62	0x725e	;ÊB
0x63	0x72b4	;ÊC
0x64	0x72b5	;ÊD
0x65	0x738e	;ÊE
0x66	0x752a	;ÊF
0x67	0x767f	;ÊG
0x68	0x7a75	;ÊH
0x69	0x7f51	;ÊI
0x6a	0x8278	;ÊJ
0x6b	0x827c	;ÊK
0x6c	0x8280	;ÊL
0x6d	0x827d	;ÊM
0x6e	0x827f	;ÊN
0x6f	0x864d	;ÊO
0x70	0x897e	;ÊP
0x71	0x9099	;ÊQ
0x72	0x9097	;ÊR
0x73	0x9098	;ÊS
0x74	0x909b	;ÊT
0x75	0x9094	;ÊU
0x76	0x9622	;ÊV
0x77	0x9624	;ÊW
0x78	0x9620	;ÊX
0x79	0x9623	;ÊY
0x7a	0x4f56	;ÊZ
0x7b	0x4f3b	;Ê[
0x7c	0x4f62	;Ê\
0x7d	0x4f49	;Ê]
0x7e	0x4f53	;Ê^
0xa1	0x32a3	;Circled Ideograph Correct
0xa2	0x2105	;Care Of
0xa3	0x203e	;Overline
0xa4	0xffe3	;Fullwidth Macron
0xa5	0xff3f	;Fullwidth Low Line
0xa6	0xff3f	;Fullwidth Low Line
0xa7	0xfe49	;Dashed Overline
0xa8	0xfe4a	;Centreline Overline
0xa9	0xfe4d	;Dashed Low Line
0xaa	0xfe4e	;Centreline Low Line
0xab	0xfe4b	;Wavy Overline
0xac	0xfe4c	;Double Wavy Overline
0xad	0xfe5f	;Small Number Sign
0xae	0xfe60	;Small Ampersand
0xaf	0xfe61	;Small Asterisk
0xb0	0xff0b	;Fullwidth Plus Sign
0xb1	0xff0d	;Fullwidth Hyphen-minus
0xb2	0x00d7	;Multiplication Sign
0xb3	0x00f7	;Division Sign
0xb4	0x00b1	;Plus-minus Sign
0xb5	0x221a	;Square Root
0xb6	0xff1c	;Fullwidth Less-than Sign
0xb7	0xff1e	;Fullwidth Greater-than Sign
0xb8	0xff1d	;Fullwidth Equals Sign
0xb9	0x2266	;Less-than Over Equal To
0xba	0x2267	;Greater-than Over Equal To
0xbb	0x2260	;Not Equal To
0xbc	0x221e	;Infinity
0xbd	0x2252	;Approximately Equal To Or The Image Of
0xbe	0x2261	;Identical To
0xbf	0xfe62	;Small Plus Sign
0xc0	0xfe63	;Small Hyphen-minus
0xc1	0xfe64	;Small Less-than Sign
0xc2	0xfe65	;Small Greater-than Sign
0xc3	0xfe66	;Small Equals Sign
0xc4	0x223c	;Tilde Operator
0xc5	0x2229	;Intersection
0xc6	0x222a	;Union
0xc7	0x22a5	;Up Tack
0xc8	0x2220	;Angle
0xc9	0x221f	;Right Angle
0xca	0x22bf	;Right Triangle
0xcb	0x33d2	;Square Log
0xcc	0x33d1	;Square Ln
0xcd	0x222b	;Integral
0xce	0x222e	;Contour Integral
0xcf	0x2235	;Because
0xd0	0x2234	;Therefore
0xd1	0x2640	;Female Sign
0xd2	0x2642	;Male Sign
0xd3	0x2295	;Circled Plus
0xd4	0x2299	;Circled Dot Operator
0xd5	0x2191	;Upwards Arrow
0xd6	0x2193	;Downwards Arrow
0xd7	0x2192	;Rightwards Arrow
0xd8	0x2190	;Leftwards Arrow
0xd9	0x2196	;North West Arrow
0xda	0x2197	;North East Arrow
0xdb	0x2199	;South West Arrow
0xdc	0x2198	;South East Arrow
0xdd	0x2225	;Parallel To
0xde	0x2223	;Divides
0xdf	0xff0f	;Fullwidth Solidus
0xe0	0xff3c	;Fullwidth Reverse Solidus
0xe1	0xff0f	;Fullwidth Solidus
0xe2	0xfe68	;Small Reverse Solidus
0xe3	0xff04	;Fullwidth Dollar Sign
0xe4	0xffe5	;Fullwidth Yen Sign
0xe5	0x3012	;Postal Mark
0xe6	0xffe0	;Fullwidth Cent Sign
0xe7	0xffe1	;Fullwidth Pound Sign
0xe8	0xff05	;Fullwidth Percent Sign
0xe9	0xff20	;Fullwidth Commercial At
0xea	0x2103	;Degree Celsius
0xeb	0x2109	;Degree Fahrenheit
0xec	0xfe69	;Small Dollar Sign
0xed	0xfe6a	;Small Percent Sign
0xee	0xfe6b	;Small Commercial At
0xef	0x33d5	;Square Mil
0xf0	0x339c	;Square Mm
0xf1	0x339d	;Square Cm
0xf2	0x339e	;Square Km
0xf3	0x33ce	;Square Km Capital
0xf4	0x33a1	;Square M Squared
0xf5	0x338e	;Square Mg
0xf6	0x338f	;Square Kg
0xf7	0x33c4	;Square Cc
0xf8	0x309c	;Katakana-hiragana Semi-voiced Sound Mark
0xf9	0x5159	;¢Y
0xfa	0x515b	;¢Z
0xfb	0x515e	;¢[
0xfc	0x515d	;¢\
0xfd	0x5161	;¢]
0xfe	0x5163	;¢^

DBCSTABLE 188           ;LeadByte = 0xa3

0x21	0x4f64	;Ê_
0x22	0x4f3e	;Ê`
0x23	0x4f67	;Êa
0x24	0x4f52	;Êb
0x25	0x4f5f	;Êc
0x26	0x4f41	;Êd
0x27	0x4f58	;Êe
0x28	0x4f2d	;Êf
0x29	0x4f33	;Êg
0x2a	0x4f3f	;Êh
0x2b	0x4f61	;Êi
0x2c	0x518f	;Êj
0x2d	0x51b9	;Êk
0x2e	0x521c	;Êl
0x2f	0x521e	;Êm
0x30	0x5221	;Ên
0x31	0x52ad	;Êo
0x32	0x52ae	;Êp
0x33	0x5309	;Êq
0x34	0x5363	;Êr
0x35	0x5372	;Ês
0x36	0x538e	;Êt
0x37	0x538f	;Êu
0x38	0x5430	;Êv
0x39	0x5437	;Êw
0x3a	0x542a	;Êx
0x3b	0x5454	;Êy
0x3c	0x5445	;Êz
0x3d	0x5419	;Ê{
0x3e	0x541c	;Ê|
0x3f	0x5425	;Ê}
0x40	0x5418	;Ê~
0x41	0x543d	;Ê¡
0x42	0x544f	;Ê¢
0x43	0x5441	;Ê£
0x44	0x5428	;Ê¤
0x45	0x5424	;Ê¥
0x46	0x5447	;Ê¦
0x47	0x56ee	;Ê§
0x48	0x56e7	;Ê¨
0x49	0x56e5	;Ê©
0x4a	0x5741	;Êª
0x4b	0x5745	;Ê«
0x4c	0x574c	;Ê¬
0x4d	0x5749	;Ê­
0x4e	0x574b	;Ê®
0x4f	0x5752	;Ê¯
0x50	0x5906	;Ê°
0x51	0x5940	;Ê±
0x52	0x59a6	;Ê²
0x53	0x5998	;Ê³
0x54	0x59a0	;Ê´
0x55	0x5997	;Êµ
0x56	0x598e	;Ê¶
0x57	0x59a2	;Ê·
0x58	0x5990	;Ê¸
0x59	0x598f	;Ê¹
0x5a	0x59a7	;Êº
0x5b	0x59a1	;Ê»
0x5c	0x5b8e	;Ê¼
0x5d	0x5b92	;Ê½
0x5e	0x5c28	;Ê¾
0x5f	0x5c2a	;Ê¿
0x60	0x5c8d	;ÊÀ
0x61	0x5c8f	;ÊÁ
0x62	0x5c88	;ÊÂ
0x63	0x5c8b	;ÊÃ
0x64	0x5c89	;ÊÄ
0x65	0x5c92	;ÊÅ
0x66	0x5c8a	;ÊÆ
0x67	0x5c86	;ÊÇ
0x68	0x5c93	;ÊÈ
0x69	0x5c95	;ÊÉ
0x6a	0x5de0	;ÊÊ
0x6b	0x5e0a	;ÊË
0x6c	0x5e0e	;ÊÌ
0x6d	0x5e8b	;ÊÍ
0x6e	0x5e89	;ÊÎ
0x6f	0x5e8c	;ÊÏ
0x70	0x5e88	;ÊÐ
0x71	0x5e8d	;ÊÑ
0x72	0x5f05	;ÊÒ
0x73	0x5f1d	;ÊÓ
0x74	0x5f78	;ÊÔ
0x75	0x5f76	;ÊÕ
0x76	0x5fd2	;ÊÖ
0x77	0x5fd1	;Ê×
0x78	0x5fd0	;ÊØ
0x79	0x5fed	;ÊÙ
0x7a	0x5fe8	;ÊÚ
0x7b	0x5fee	;ÊÛ
0x7c	0x5ff3	;ÊÜ
0x7d	0x5fe1	;ÊÝ
0x7e	0x5fe4	;ÊÞ
0xa1	0x55e7	;¢_
0xa2	0x74e9	;¢`
0xa3	0x7cce	;¢a
0xa4	0x2581	;Lower One Eighth Block
0xa5	0x2582	;Lower One Quarter Block
0xa6	0x2583	;Lower Three Eighths Block
0xa7	0x2584	;Lower Half Block
0xa8	0x2585	;Lower Five Eighths Block
0xa9	0x2586	;Lower Three Quarters Block
0xaa	0x2587	;Lower Seven Eighths Block
0xab	0x2588	;Full Block
0xac	0x258f	;Left One Eighth Block
0xad	0x258e	;Left One Quarter Block
0xae	0x258d	;Left Three Eighths Block
0xaf	0x258c	;Left Half Block
0xb0	0x258b	;Left Five Eighths Block
0xb1	0x258a	;Left Three Quarters Block
0xb2	0x2589	;Left Seven Eighths Block
0xb3	0x253c	;Box Drawings Light Vertical And Horizontal
0xb4	0x2534	;Box Drawings Light Up And Horizontal
0xb5	0x252c	;Box Drawings Light Down And Horizontal
0xb6	0x2524	;Box Drawings Light Vertical And Left
0xb7	0x251c	;Box Drawings Light Vertical And Right
0xb8	0x2594	;Upper One Eighth Block
0xb9	0x2500	;Box Drawings Light Horizontal
0xba	0x2502	;Box Drawings Light Vertical
0xbb	0x2595	;Right One Eighth Block
0xbc	0x250c	;Box Drawings Light Down And Right
0xbd	0x2510	;Box Drawings Light Down And Left
0xbe	0x2514	;Box Drawings Light Up And Right
0xbf	0x2518	;Box Drawings Light Up And Left
0xc0	0x256d	;Box Drawings Light Arc Down And Right
0xc1	0x256e	;Box Drawings Light Arc Down And Left
0xc2	0x2570	;Box Drawings Light Arc Up And Right
0xc3	0x256f	;Box Drawings Light Arc Up And Left
0xc4	0x2550	;Box Drawings Double Horizontal
0xc5	0x255e	;Box Drawings Vertical Single And Right Double
0xc6	0x256a	;Box Drawings Vertical Single And Horizontal Double
0xc7	0x2561	;Box Drawings Vertical Single And Left Double
0xc8	0x25e2	;Black Lower Right Triangle
0xc9	0x25e3	;Black Lower Left Triangle
0xca	0x25e5	;Black Upper Right Triangle
0xcb	0x25e4	;Black Upper Left Triangle
0xcc	0x2571	;Box Drawings Light Diagonal Upper Right To Lower Left
0xcd	0x2572	;Box Drawings Light Diagonal Upper Left To Lower Right
0xce	0x2573	;Box Drawings Light Diagonal Cross
0xcf	0x00a8	;Diaeresis
0xd0	0x02c4	;Modifier Letter Up Arrowhead
0xd1	0x30fd	;Katakana Iteration Mark
0xd2	0x30fe	;Katakana Voiced Iteration Mark
0xd3	0x309d	;Hiragana Iteration Mark
0xd4	0x309e	;Hiragana Voiced Iteration Mark
0xd5	0x3003	;Ditto Mark
0xd6	0x3004	;Japanese Industrial Standard Symbol
0xd7	0x3005	;Ideographic Iteration Mark
0xd8	0x3006	;Ideographic Closing Mark
0xd9	0x3007	;Ideographic Number Zero
0xda	0x30fc	;Katakana-hiragana Prolonged Sound Mark
0xdb	0xff3b	;Fullwidth Left Square Bracket
0xdc	0xff3d	;Fullwidth Right Square Bracket
0xdd	0x273d	;Heavy Teardrop-spoked Asterisk
0xde	0x3041	;Hiragana Letter Small A
0xdf	0x3042	;Hiragana Letter A
0xe0	0x3043	;Hiragana Letter Small I
0xe1	0x3044	;Hiragana Letter I
0xe2	0x3045	;Hiragana Letter Small U
0xe3	0x3046	;Hiragana Letter U
0xe4	0x3047	;Hiragana Letter Small E
0xe5	0x3048	;Hiragana Letter E
0xe6	0x3049	;Hiragana Letter Small O
0xe7	0x304a	;Hiragana Letter O
0xe8	0x304b	;Hiragana Letter Ka
0xe9	0x304c	;Hiragana Letter Ga
0xea	0x304d	;Hiragana Letter Ki
0xeb	0x304e	;Hiragana Letter Gi
0xec	0x304f	;Hiragana Letter Ku
0xed	0x3050	;Hiragana Letter Gu
0xee	0x3051	;Hiragana Letter Ke
0xef	0x3052	;Hiragana Letter Ge
0xf0	0x3053	;Hiragana Letter Ko
0xf1	0x3054	;Hiragana Letter Go
0xf2	0x3055	;Hiragana Letter Sa
0xf3	0x3056	;Hiragana Letter Za
0xf4	0x3057	;Hiragana Letter Si
0xf5	0x3058	;Hiragana Letter Zi
0xf6	0x3059	;Hiragana Letter Su
0xf7	0x305a	;Hiragana Letter Zu
0xf8	0x305b	;Hiragana Letter Se
0xf9	0x305c	;Hiragana Letter Ze
0xfa	0x305d	;Hiragana Letter So
