CODEPAGE 28603          ;ISO/IEC 8859-13:1998 (Lithuanian)
0x34	0x0034	 ;DIGIT FOUR
0x35	0x0035	 ;DIGIT FIVE
0x36	0x0036	 ;DIGIT SIX
0x37	0x0037	 ;DIGIT SEVEN
0x38	0x0038	 ;DIGIT EIGHT
0x39	0x0039	 ;DIGIT NINE
0x3a	0x003a	 ;COLON
0x3b	0x003b	 ;SEMICOLON
0x3c	0x003c	 ;LESS-THAN SIGN
0x3d	0x003d	 ;EQUALS SIGN
0x3e	0x003e	 ;GREATER-THAN SIGN
0x3f	0x003f	 ;QUESTION MARK
0x40	0x0040	 ;COMMERCIAL AT
0x41	0x0041	 ;LATIN CAPITAL LETTER A
0x42	0x0042	 ;LATIN CAPITAL LETTER B
0x43	0x0043	 ;LATIN CAPITAL LETTER C
0x44	0x0044	 ;LATIN CAPITAL LETTER D
0x45	0x0045	 ;LATIN CAPITAL LETTER E
0x46	0x0046	 ;LATIN CAPITAL LETTER F
0x47	0x0047	 ;LATIN CAPITAL LETTER G
0x48	0x0048	 ;LATIN CAPITAL LETTER H
0x49	0x0049	 ;LATIN CAPITAL LETTER I
0x4a	0x004a	 ;LATIN CAPITAL LETTER J
0x4b	0x004b	 ;LATIN CAPITAL LETTER K
0x4c	0x004c	 ;LATIN CAPITAL LETTER L
0x4d	0x004d	 ;LATIN CAPITAL LETTER M
0x4e	0x004e	 ;LATIN CAPITAL LETTER N
0x4f	0x004f	 ;LATIN CAPITAL LETTER O
0x50	0x0050	 ;LATIN CAPITAL LETTER P
0x51	0x0051	 ;LATIN CAPITAL LETTER Q
0x52	0x0052	 ;LATIN CAPITAL LETTER R
0x53	0x0053	 ;LATIN CAPITAL LETTER S
0x54	0x0054	 ;LATIN CAPITAL LETTER T
0x55	0x0055	 ;LATIN CAPITAL LETTER U
0x56	0x0056	 ;LATIN CAPITAL LETTER V
0x57	0x0057	 ;LATIN CAPITAL LETTER W
0x58	0x0058	 ;LATIN CAPITAL LETTER X
0x59	0x0059	 ;LATIN CAPITAL LETTER Y
0x5a	0x005a	 ;LATIN CAPITAL LETTER Z
0x5b	0x005b	 ;LEFT SQUARE BRACKET
0x5c	0x005c	 ;REVERSE SOLIDUS
0x5d	0x005d	 ;RIGHT SQUARE BRACKET
0x5e	0x005e	 ;CIRCUMFLEX ACCENT
0x5f	0x005f	 ;LOW LINE
0x60	0x0060	 ;GRAVE ACCENT
0x61	0x0061	 ;LATIN SMALL LETTER A
0x62	0x0062	 ;LATIN SMALL LETTER B
0x63	0x0063	 ;LATIN SMALL LETTER C
0x64	0x0064	 ;LATIN SMALL LETTER D
0x65	0x0065	 ;LATIN SMALL LETTER E
0x66	0x0066	 ;LATIN SMALL LETTER F
0x67	0x0067	 ;LATIN SMALL LETTER G
0x68	0x0068	 ;LATIN SMALL LETTER H
0x69	0x0069	 ;LATIN SMALL LETTER I
0x6a	0x006a	 ;LATIN SMALL LETTER J
0x6b	0x006b	 ;LATIN SMALL LETTER K
0x6c	0x006c	 ;LATIN SMALL LETTER L
0x6d	0x006d	 ;LATIN SMALL LETTER M
0x6e	0x006e	 ;LATIN SMALL LETTER N
0x6f	0x006f	 ;LATIN SMALL LETTER O
0x70	0x0070	 ;LATIN SMALL LETTER P
0x71	0x0071	 ;LATIN SMALL LETTER Q
0x72	0x0072	 ;LATIN SMALL LETTER R
0x73	0x0073	 ;LATIN SMALL LETTER S
0x74	0x0074	 ;LATIN SMALL LETTER T
0x75	0x0075	 ;LATIN SMALL LETTER U
0x76	0x0076	 ;LATIN SMALL LETTER V
0x77	0x0077	 ;LATIN SMALL LETTER W
0x78	0x0078	 ;LATIN SMALL LETTER X
0x79	0x0079	 ;LATIN SMALL LETTER Y
0x7a	0x007a	 ;LATIN SMALL LETTER Z
0x7b	0x007b	 ;LEFT CURLY BRACKET
0x7c	0x007c	 ;VERTICAL LINE
0x7d	0x007d	 ;RIGHT CURLY BRACKET
0x7e	0x007e	 ;TILDE
0x7f	0x007f	 ;<control>
0x80	0x0080	 ;<control>
0x81	0x0081	 ;<control>
0x82	0x0082	 ;<control>
0x83	0x0083	 ;<control>
0x84	0x0084	 ;<control>
0x85	0x0085	 ;<control>
0x86	0x0086	 ;<control>
0x87	0x0087	 ;<control>
0x88	0x0088	 ;<control>
0x89	0x0089	 ;<control>
0x8a	0x008a	 ;<control>
0x8b	0x008b	 ;<control>
0x8c	0x008c	 ;<control>
0x8d	0x008d	 ;<control>
0x8e	0x008e	 ;<control>
0x8f	0x008f	 ;<control>
0x90	0x0090	 ;<control>
0x91	0x0091	 ;<control>
0x92	0x0092	 ;<control>
0x93	0x0093	 ;<control>
0x94	0x0094	 ;<control>
0x95	0x0095	 ;<control>
0x96	0x0096	 ;<control>
0x97	0x0097	 ;<control>
0x98	0x0098	 ;<control>
0x99	0x0099	 ;<control>
0x9a	0x009a	 ;<control>
0x9b	0x009b	 ;<control>
0x9c	0x009c	 ;<control>
0x9d	0x009d	 ;<control>
0x9e	0x009e	 ;<control>
0x9f	0x009f	 ;<control>
0xa0	0x00a0	 ;NO-BREAK SPACE
0xa1	0x201d	 ;RIGHT DOUBLE QUOTATION MARK
0xa2	0x00a2	 ;CENT SIGN
0xa3	0x00a3	 ;POUND SIGN
0xa4	0x00a4	 ;CURRENCY SIGN
0xa5	0x201e	 ;DOUBLE LOW-9 QUOTATION MARK
0xa6	0x00a6	 ;BROKEN BAR
0xa7	0x00a7	 ;SECTION SIGN
0xa8	0x00d8	 ;LATIN CAPITAL LETTER O WITH STROKE
0xa9	0x00a9	 ;COPYRIGHT SIGN
0xaa	0x0156	 ;LATIN CAPITAL LETTER R WITH CEDILLA
0xab	0x00ab	 ;LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0xac	0x00ac	 ;NOT SIGN
0xad	0x00ad	 ;SOFT HYPHEN
0xae	0x00ae	 ;REGISTERED SIGN
0xaf	0x00c6	 ;LATIN CAPITAL LETTER AE
0xb0	0x00b0	 ;DEGREE SIGN
0xb1	0x00b1	 ;PLUS-MINUS SIGN
0xb2	0x00b2	 ;SUPERSCRIPT TWO
0xb3	0x00b3	 ;SUPERSCRIPT THREE
0xb4	0x201c	 ;LEFT DOUBLE QUOTATION MARK
0xb5	0x00b5	 ;MICRO SIGN
0xb6	0x00b6	 ;PILCROW SIGN
0xb7	0x00b7	 ;MIDDLE DOT
0xb8	0x00f8	 ;LATIN SMALL LETTER O WITH STROKE
0xb9	0x00b9	 ;SUPERSCRIPT ONE
0xba	0x0157	 ;LATIN SMALL LETTER R WITH CEDILLA
0xbb	0x00bb	 ;RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0xbc	0x00bc	 ;VULGAR FRACTION ONE QUARTER
0xbd	0x00bd	 ;VULGAR FRACTION ONE HALF
0xbe	0x00be	 ;VULGAR FRACTION THREE QUARTERS
0xbf	0x00e6	 ;LATIN SMALL LETTER AE
0xc0	0x0104	 ;LATIN CAPITAL LETTER A WITH OGONEK
0xc1	0x012e	 ;LATIN CAPITAL LETTER I WITH OGONEK
0xc2	0x0100	 ;LATIN CAPITAL LETTER A WITH MACRON
0xc3	0x0106	 ;LATIN CAPITAL LETTER C WITH ACUTE
0xc4	0x00c4	 ;LATIN CAPITAL LETTER A WITH DIAERESIS
0xc5	0x00c5	 ;LATIN CAPITAL LETTER A WITH RING ABOVE
0xc6	0x0118	 ;LATIN CAPITAL LETTER E WITH OGONEK
0xc7	0x0112	 ;LATIN CAPITAL LETTER E WITH MACRON
0xc8	0x010c	 ;LATIN CAPITAL LETTER C WITH CARON
0xc9	0x00c9	 ;LATIN CAPITAL LETTER E WITH ACUTE
0xca	0x0179	 ;LATIN CAPITAL LETTER Z WITH ACUTE
0xcb	0x0116	 ;LATIN CAPITAL LETTER E WITH DOT ABOVE
0xcc	0x0122	 ;LATIN CAPITAL LETTER G WITH CEDILLA
0xcd	0x0136	 ;LATIN CAPITAL LETTER K WITH CEDILLA
0xce	0x012a	 ;LATIN CAPITAL LETTER I WITH MACRON
0xcf	0x013b	 ;LATIN CAPITAL LETTER L WITH CEDILLA
0xd0	0x0160	 ;LATIN CAPITAL LETTER S WITH CARON
0xd1	0x0143	 ;LATIN CAPITAL LETTER N WITH ACUTE
0xd2	0x0145	 ;LATIN CAPITAL LETTER N WITH CEDILLA
0xd3	0x00d3	 ;LATIN CAPITAL LETTER O WITH ACUTE
0xd4	0x014c	 ;LATIN CAPITAL LETTER O WITH MACRON
0xd5	0x00d5	 ;LATIN CAPITAL LETTER O WITH TILDE
0xd6	0x00d6	 ;LATIN CAPITAL LETTER O WITH DIAERESIS
0xd7	0x00d7	 ;MULTIPLICATION SIGN
0xd8	0x0172	 ;LATIN CAPITAL LETTER U WITH OGONEK
0xd9	0x0141	 ;LATIN CAPITAL LETTER L WITH STROKE
0xda	0x015a	 ;LATIN CAPITAL LETTER S WITH ACUTE
0xdb	0x016a	 ;LATIN CAPITAL LETTER U WITH MACRON
0xdc	0x00dc	 ;LATIN CAPITAL LETTER U WITH DIAERESIS
0xdd	0x017b	 ;LATIN CAPITAL LETTER Z WITH DOT ABOVE
0xde	0x017d	 ;LATIN CAPITAL LETTER Z WITH CARON
0xdf	0x00df	 ;LATIN SMALL LETTER SHARP S
0xe0	0x0105	 ;LATIN SMALL LETTER A WITH OGONEK
0xe1	0x012f	 ;LATIN SMALL LETTER I WITH OGONEK
0xe2	0x0101	 ;LATIN SMALL LETTER A WITH MACRON
0xe3	0x0107	 ;LATIN SMALL LETTER C WITH ACUTE
0xe4	0x00e4	 ;LATIN SMALL LETTER A WITH DIAERESIS
0xe5	0x00e5	 ;LATIN SMALL LETTER A WITH RING ABOVE
0xe6	0x0119	 ;LATIN SMALL LETTER E WITH OGONEK
0xe7	0x0113	 ;LATIN SMALL LETTER E WITH MACRON
0xe8	0x010d	 ;LATIN SMALL LETTER C WITH CARON
0xe9	0x00e9	 ;LATIN SMALL LETTER E WITH ACUTE
0xea	0x017a	 ;LATIN SMALL LETTER Z WITH ACUTE
0xeb	0x0117	 ;LATIN SMALL LETTER E WITH DOT ABOVE
0xec	0x0123	 ;LATIN SMALL LETTER G WITH CEDILLA
0xed	0x0137	 ;LATIN SMALL LETTER K WITH CEDILLA
0xee	0x012b	 ;LATIN SMALL LETTER I WITH MACRON
0xef	0x013c	 ;LATIN SMALL LETTER L WITH CEDILLA
0xf0	0x0161	 ;LATIN SMALL LETTER S WITH CARON
0xf1	0x0144	 ;LATIN SMALL LETTER N WITH ACUTE
0xf2	0x0146	 ;LATIN SMALL LETTER N WITH CEDILLA
0xf3	0x00f3	 ;LATIN SMALL LETTER O WITH ACUTE
0xf4	0x014d	 ;LATIN SMALL LETTER O WITH MACRON
0xf5	0x00f5	 ;LATIN SMALL LETTER O WITH TILDE
0xf6	0x00f6	 ;LATIN SMALL LETTER O WITH DIAERESIS
0xf7	0x00f7	 ;DIVISION SIGN
0xf8	0x0173	 ;LATIN SMALL LETTER U WITH OGONEK
0xf9	0x0142	 ;LATIN SMALL LETTER L WITH STROKE
0xfa	0x015b	 ;LATIN SMALL LETTER S WITH ACUTE
0xfb	0x016b	 ;LATIN SMALL LETTER U WITH MACRON
0xfc	0x00fc	 ;LATIN SMALL LETTER U WITH DIAERESIS
0xfd	0x017c	 ;LATIN SMALL LETTER Z WITH DOT ABOVE
0xfe	0x017e	 ;LATIN SMALL LETTER Z WITH CARON
0xff	0x2019	 ;RIGHT SINGLE QUOTATION MARK

WCTABLE 989

0x0000	0x00	 ;<control>
0x0001	0x01	 ;<control>
0x0002	0x02	 ;<control>
0x0003	0x03	 ;<control>
0x0004	0x04	 ;<control>
0x0005	0x05	 ;<control>
0x0006	0x06	 ;<control>
0x0007	0x07	 ;<control>
0x0008	0x08	 ;<control>
0x0009	0x09	 ;<control>
0x000a	0x0a	 ;<control>
0x000b	0x0b	 ;<control>
0x000c	0x0c	 ;<control>
0x000d	0x0d	 ;<control>
0x000e	0x0e	 ;<control>
0x000f	0x0f	 ;<control>
0x0010	0x10	 ;<control>
0x0011	0x11	 ;<control>
0x0012	0x12	 ;<control>
0x0013	0x13	 ;<control>
0x0014	0x14	 ;<control>
0x0015	0x15	 ;<control>
0x0016	0x16	 ;<control>
0x0017	0x17	 ;<control>
0x0018	0x18	 ;<control>
0x0019	0x19	 ;<control>
0x001a	0x1a	 ;<control>
0x001b	0x1b	 ;<control>
0x001c	0x1c	 ;<control>
0x001d	0x1d	 ;<control>
0x001e	0x1e	 ;<control>
0x001f	0x1f	 ;<control>
0x0020	0x20	 ;SPACE
0x0021	0x21	 ;EXCLAMATION MARK
0x0022	0x22	 ;QUOTATION MARK
0x0023	0x23	 ;NUMBER SIGN
0x0024	0x24	 ;DOLLAR SIGN
0x0025	0x25	 ;PERCENT SIGN
0x0026	0x26	 ;AMPERSAND
0x0027	0x27	 ;APOSTROPHE
0x0028	0x28	 ;LEFT PARENTHESIS
0x0029	0x29	 ;RIGHT PARENTHESIS
0x002a	0x2a	 ;ASTERISK
0x002b	0x2b	 ;PLUS SIGN
0x002c	0x2c	 ;COMMA
0x002d	0x2d	 ;HYPHEN-MINUS
0x002e	0x2e	 ;FULL STOP
0x002f	0x2f	 ;SOLIDUS
0x0030	0x30	 ;DIGIT ZERO
0x0031	0x31	 ;DIGIT ONE
0x0032	0x32	 ;DIGIT TWO
0x0033	0x33	 ;DIGIT THREE
0x0034	0x34	 ;DIGIT FOUR
0x0035	0x35	 ;DIGIT FIVE
0x0036	0x36	 ;DIGIT SIX
0x0037	0x37	 ;DIGIT SEVEN
0x0038	0x38	 ;DIGIT EIGHT
0x0039	0x39	 ;DIGIT NINE
0x003a	0x3a	 ;COLON
0x003b	0x3b	 ;SEMICOLON
0x003c	0x3c	 ;LESS-THAN SIGN
0x003d	0x3d	 ;EQUALS SIGN
0x003e	0x3e	 ;GREATER-THAN SIGN
0x003f	0x3f	 ;QUESTION MARK
0x0040	0x40	 ;COMMERCIAL AT
0x0041	0x41	 ;LATIN CAPITAL LETTER A
0x0042	0x42	 ;LATIN CAPITAL LETTER B
0x0043	0x43	 ;LATIN CAPITAL LETTER C
0x0044	0x44	 ;LATIN CAPITAL LETTER D
0x0045	0x45	 ;LATIN CAPITAL LETTER E
0x0046	0x46	 ;LATIN CAPITAL LETTER F
0x0047	0x47	 ;LATIN CAPITAL LETTER G
0x0048	0x48	 ;LATIN CAPITAL LETTER H
0x0049	0x49	 ;LATIN CAPITAL LETTER I
0x004a	0x4a	 ;LATIN CAPITAL LETTER J
0x004b	0x4b	 ;LATIN CAPITAL LETTER K
0x004c	0x4c	 ;LATIN CAPITAL LETTER L
0x004d	0x4d	 ;LATIN CAPITAL LETTER M
0x004e	0x4e	 ;LATIN CAPITAL LETTER N
0x004f	0x4f	 ;LATIN CAPITAL LETTER O
0x0050	0x50	 ;LATIN CAPITAL LETTER P
0x0051	0x51	 ;LATIN CAPITAL LETTER Q
0x0052	0x52	 ;LATIN CAPITAL LETTER R
0x0053	0x53	 ;LATIN CAPITAL LETTER S
0x0054	0x54	 ;LATIN CAPITAL LETTER T
0x0055	0x55	 ;LATIN CAPITAL LETTER U
0x0056	0x56	 ;LATIN CAPITAL LETTER V
0x0057	0x57	 ;LATIN CAPITAL LETTER W
0x0058	0x58	 ;LATIN CAPITAL LETTER X
0x0059	0x59	 ;LATIN CAPITAL LETTER Y
0x005a	0x5a	 ;LATIN CAPITAL LETTER Z
0x005b	0x5b	 ;LEFT SQUARE BRACKET
0x005c	0x5c	 ;REVERSE SOLIDUS
0x005d	0x5d	 ;RIGHT SQUARE BRACKET
0x005e	0x5e	 ;CIRCUMFLEX ACCENT
0x005f	0x5f	 ;LOW LINE
0x0060	0x60	 ;GRAVE ACCENT
0x0061	0x61	 ;LATIN SMALL LETTER A
0x0062	0x62	 ;LATIN SMALL LETTER B
0x0063	0x63	 ;LATIN SMALL LETTER C
0x0064	0x64	 ;LATIN SMALL LETTER D
0x0065	0x65	 ;LATIN SMALL LETTER E
0x0066	0x66	 ;LATIN SMALL LETTER F
0x0067	0x67	 ;LATIN SMALL LETTER G
0x0068	0x68	 ;LATIN SMALL LETTER H
0x0069	0x69	 ;LATIN SMALL LETTER I
0x006a	0x6a	 ;LATIN SMALL LETTER J
0x006b	0x6b	 ;LATIN SMALL LETTER K
0x006c	0x6c	 ;LATIN SMALL LETTER L
0x006d	0x6d	 ;LATIN SMALL LETTER M
0x006e	0x6e	 ;LATIN SMALL LETTER N
0x006f	0x6f	 ;LATIN SMALL LETTER O
0x0070	0x70	 ;LATIN SMALL LETTER P
0x0071	0x71	 ;LATIN SMALL LETTER Q
0x0072	0x72	 ;LATIN SMALL LETTER R
0x0073	0x73	 ;LATIN SMALL LETTER S
0x0074	0x74	 ;LATIN SMALL LETTER T
0x0075	0x75	 ;LATIN SMALL LETTER U
0x0076	0x76	 ;LATIN SMALL LETTER V
0x0077	0x77	 ;LATIN SMALL LETTER W
0x0078	0x78	 ;LATIN SMALL LETTER X
0x0079	0x79	 ;LATIN SMALL LETTER Y
0x007a	0x7a	 ;LATIN SMALL LETTER Z
0x007b	0x7b	 ;LEFT CURLY BRACKET
0x007c	0x7c	 ;VERTICAL LINE
0x007d	0x7d	 ;RIGHT CURLY BRACKET
0x007e	0x7e	 ;TILDE
0x007f	0x7f	 ;<control>
0x0080	0x80	 ;<control>
0x0081	0x81	 ;<control>
0x0082	0x82	 ;<control>
0x0083	0x83	 ;<control>
0x0084	0x84	 ;<control>
0x0085	0x85	 ;<control>
0x0086	0x86	 ;<control>
0x0087	0x87	 ;<control>
0x0088	0x88	 ;<control>
0x0089	0x89	 ;<control>
0x008a	0x8a	 ;<control>
0x008b	0x8b	 ;<control>
0x008c	0x8c	 ;<control>
0x008d	0x8d	 ;<control>
0x008e	0x8e	 ;<control>
0x008f	0x8f	 ;<control>
0x0090	0x90	 ;<control>
0x0091	0x91	 ;<control>
0x0092	0x92	 ;<control>
0x0093	0x93	 ;<control>
0x0094	0x94	 ;<control>
0x0095	0x95	 ;<control>
0x0096	0x96	 ;<control>
0x0097	0x97	 ;<control>
0x0098	0x98	 ;<control>
0x0099	0x99	 ;<control>
0x009a	0x9a	 ;<control>
0x009b	0x9b	 ;<control>
0x009c	0x9c	 ;<control>
0x009d	0x9d	 ;<control>
0x009e	0x9e	 ;<control>
0x009f	0x9f	 ;<control>
0x00a0	0xa0	 ;NO-BREAK SPACE
0x00a2	0xa2	 ;CENT SIGN
0x00a3	0xa3	 ;POUND SIGN
0x00a4	0xa4	 ;CURRENCY SIGN
0x00a6	0xa6	 ;BROKEN BAR
0x00a7	0xa7	 ;SECTION SIGN
0x00a9	0xa9	 ;COPYRIGHT SIGN
0x00aa	0x61	 ;FEMININE ORDINAL INDICATOR
0x00ab	0xab	 ;LEFT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00ac	0xac	 ;NOT SIGN
0x00ad	0xad	 ;SOFT HYPHEN
0x00ae	0xae	 ;REGISTERED SIGN
0x00b0	0xb0	 ;DEGREE SIGN
0x00b1	0xb1	 ;PLUS-MINUS SIGN
0x00b2	0xb2	 ;SUPERSCRIPT TWO
0x00b3	0xb3	 ;SUPERSCRIPT THREE
0x00b5	0xb5	 ;MICRO SIGN
0x00b6	0xb6	 ;PILCROW SIGN
0x00b7	0xb7	 ;MIDDLE DOT
0x00b9	0xb9	 ;SUPERSCRIPT ONE
0x00ba	0x6f	 ;MASCULINE ORDINAL INDICATOR
0x00bb	0xbb	 ;RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK
0x00bc	0xbc	 ;VULGAR FRACTION ONE QUARTER
0x00bd	0xbd	 ;VULGAR FRACTION ONE HALF
0x00be	0xbe	 ;VULGAR FRACTION THREE QUARTERS
0x00c0	0x41	 ;LATIN CAPITAL LETTER A WITH GRAVE
0x00c1	0x41	 ;LATIN CAPITAL LETTER A WITH ACUTE
0x00c2	0x41	 ;LATIN CAPITAL LETTER A WITH CIRCUMFLEX
0x00c3	0x41	 ;LATIN CAPITAL LETTER A WITH TILDE
0x00c4	0xc4	 ;LATIN CAPITAL LETTER A WITH DIAERESIS
0x00c5	0xc5	 ;LATIN CAPITAL LETTER A WITH RING ABOVE
0x00c6	0xaf	 ;LATIN CAPITAL LETTER AE
0x00c7	0x43	 ;LATIN CAPITAL LETTER C WITH CEDILLA
0x00c8	0x45	 ;LATIN CAPITAL LETTER E WITH GRAVE
0x00c9	0xc9	 ;LATIN CAPITAL LETTER E WITH ACUTE
0x00ca	0x45	 ;LATIN CAPITAL LETTER E WITH CIRCUMFLEX
0x00cb	0x45	 ;LATIN CAPITAL LETTER E WITH DIAERESIS
0x00cc	0x49	 ;LATIN CAPITAL LETTER I WITH GRAVE
0x00cd	0x49	 ;LATIN CAPITAL LETTER I WITH ACUTE
0x00ce	0x49	 ;LATIN CAPITAL LETTER I WITH CIRCUMFLEX
0x00cf	0x49	 ;LATIN CAPITAL LETTER I WITH DIAERESIS
0x00d1	0x4e	 ;LATIN CAPITAL LETTER N WITH TILDE
0x00d2	0x4f	 ;LATIN CAPITAL LETTER O WITH GRAVE
0x00d3	0xd3	 ;LATIN CAPITAL LETTER O WITH ACUTE
0x00d4	0x4f	 ;LATIN CAPITAL LETTER O WITH CIRCUMFLEX
0x00d5	0xd5	 ;LATIN CAPITAL LETTER O WITH TILDE
0x00d6	0xd6	 ;LATIN CAPITAL LETTER O WITH DIAERESIS
0x00d7	0xd7	 ;MULTIPLICATION SIGN
0x00d8	0xa8	 ;LATIN CAPITAL LETTER O WITH STROKE
0x00d9	0x55	 ;LATIN CAPITAL LETTER U WITH GRAVE
0x00da	0x55	 ;LATIN CAPITAL LETTER U WITH ACUTE
0x00db	0x55	 ;LATIN CAPITAL LETTER U WITH CIRCUMFLEX
0x00dc	0xdc	 ;LATIN CAPITAL LETTER U WITH DIAERESIS
0x00dd	0x59	 ;LATIN CAPITAL LETTER Y WITH ACUTE
0x00df	0xdf	 ;LATIN SMALL LETTER SHARP S
0x00e0	0x61	 ;LATIN SMALL LETTER A WITH GRAVE
0x00e1	0x61	 ;LATIN SMALL LETTER A WITH ACUTE
0x00e2	0x61	 ;LATIN SMALL LETTER A WITH CIRCUMFLEX
0x00e3	0x61	 ;LATIN SMALL LETTER A WITH TILDE
0x00e4	0xe4	 ;LATIN SMALL LETTER A WITH DIAERESIS
0x00e5	0xe5	 ;LATIN SMALL LETTER A WITH RING ABOVE
0x00e6	0xbf	 ;LATIN SMALL LETTER AE
0x00e7	0x63	 ;LATIN SMALL LETTER C WITH CEDILLA
0x00e8	0x65	 ;LATIN SMALL LETTER E WITH GRAVE
0x00e9	0xe9	 ;LATIN SMALL LETTER E WITH ACUTE
0x00ea	0x65	 ;LATIN SMALL LETTER E WITH CIRCUMFLEX
0x00eb	0x65	 ;LATIN SMALL LETTER E WITH DIAERESIS
0x00ec	0x69	 ;LATIN SMALL LETTER I WITH GRAVE
0x00ed	0x69	 ;LATIN SMALL LETTER I WITH ACUTE
0x00ee	0x69	 ;LATIN SMALL LETTER I WITH CIRCUMFLEX
0x00ef	0x69	 ;LATIN SMALL LETTER I WITH DIAERESIS
0x00f1	0x6e	 ;LATIN SMALL LETTER N WITH TILDE
0x00f2	0x6f	 ;LATIN SMALL LETTER O WITH GRAVE
0x00f3	0xf3	 ;LATIN SMALL LETTER O WITH ACUTE
0x00f4	0x6f	 ;LATIN SMALL LETTER O WITH CIRCUMFLEX
0x00f5	0xf5	 ;LATIN SMALL LETTER O WITH TILDE
0x00f6	0xf6	 ;LATIN SMALL LETTER O WITH DIAERESIS
0x00f7	0xf7	 ;DIVISION SIGN
0x00f8	0xb8	 ;LATIN SMALL LETTER O WITH STROKE
0x00f9	0x75	 ;LATIN SMALL LETTER U WITH GRAVE
0x00fa	0x75	 ;LATIN SMALL LETTER U WITH ACUTE
0x00fb	0x75	 ;LATIN SMALL LETTER U WITH CIRCUMFLEX
0x00fc	0xfc	 ;LATIN SMALL LETTER U WITH DIAERESIS
0x00fd	0x79	 ;LATIN SMALL LETTER Y WITH ACUTE
0x00ff	0x79	 ;LATIN SMALL LETTER Y WITH DIAERESIS
0x0100	0xc2	 ;LATIN CAPITAL LETTER A WITH MACRON
0x0101	0xe2	 ;LATIN SMALL LETTER A WITH MACRON
0x0102	0x41	 ;LATIN CAPITAL LETTER A WITH BREVE
0x0103	0x61	 ;LATIN SMALL LETTER A WITH BREVE
0x0104	0xc0	 ;LATIN CAPITAL LETTER A WITH OGONEK
0x0105	0xe0	 ;LATIN SMALL LETTER A WITH OGONEK
0x0106	0xc3	 ;LATIN CAPITAL LETTER C WITH ACUTE
0x0107	0xe3	 ;LATIN SMALL LETTER C WITH ACUTE
0x0108	0x43	 ;LATIN CAPITAL LETTER C WITH CIRCUMFLEX
0x0109	0x63	 ;LATIN SMALL LETTER C WITH CIRCUMFLEX
0x010a	0x43	 ;LATIN CAPITAL LETTER C WITH DOT ABOVE
0x010b	0x63	 ;LATIN SMALL LETTER C WITH DOT ABOVE
0x010c	0xc8	 ;LATIN CAPITAL LETTER C WITH CARON
0x010d	0xe8	 ;LATIN SMALL LETTER C WITH CARON
0x010e	0x44	 ;LATIN CAPITAL LETTER D WITH CARON
0x010f	0x64	 ;LATIN SMALL LETTER D WITH CARON
0x0112	0xc7	 ;LATIN CAPITAL LETTER E WITH MACRON
0x0113	0xe7	 ;LATIN SMALL LETTER E WITH MACRON
0x0114	0x45	 ;LATIN CAPITAL LETTER E WITH BREVE
0x0115	0x65	 ;LATIN SMALL LETTER E WITH BREVE
0x0116	0xcb	 ;LATIN CAPITAL LETTER E WITH DOT ABOVE
0x0117	0xeb	 ;LATIN SMALL LETTER E WITH DOT ABOVE
