CODEPAGE 20261          ;T.61		
0x0028	0x0028	;Opening Parenthesis
0x0029	0x0029	;Closing Parenthesis
0x002a	0x002a	;Asterisk
0x002b	0x002b	;Plus Sign
0x002c	0x002c	;Comma
0x002d	0x002d	;Hyphen-Minus
0x002e	0x002e	;Period
0x002f	0x002f	;Slash
0x0030	0x0030	;Digit 0
0x0031	0x0031	;Digit 1
0x0032	0x0032	;Digit 2
0x0033	0x0033	;Digit 3
0x0034	0x0034	;Digit 4
0x0035	0x0035	;Digit 5
0x0036	0x0036	;Digit 6
0x0037	0x0037	;Digit 7
0x0038	0x0038	;Digit 8
0x0039	0x0039	;Digit 9
0x003a	0x003a	;Colon
0x003b	0x003b	;Semicolon
0x003c	0x003c	;Less-Than Sign
0x003d	0x003d	;Equals Sign
0x003e	0x003e	;Greater-Than Sign
0x003f	0x003f	;Question Mark
0x0040	0x0040	;Commercial At
0x0041	0x0041	;A
0x0042	0x0042	;B
0x0043	0x0043	;C
0x0044	0x0044	;D
0x0045	0x0045	;E
0x0046	0x0046	;F
0x0047	0x0047	;G
0x0048	0x0048	;H
0x0049	0x0049	;I
0x004a	0x004a	;J
0x004b	0x004b	;K
0x004c	0x004c	;L
0x004d	0x004d	;M
0x004e	0x004e	;N
0x004f	0x004f	;O
0x0050	0x0050	;P
0x0051	0x0051	;Q
0x0052	0x0052	;R
0x0053	0x0053	;S
0x0054	0x0054	;T
0x0055	0x0055	;U
0x0056	0x0056	;V
0x0057	0x0057	;W
0x0058	0x0058	;X
0x0059	0x0059	;Y
0x005a	0x005a	;Z
0x005b	0x005b	;Opening Square Bracket
0x005d	0x005d	;Closing Square Bracket
0x005e	0xc320	;Spacing Circumflex
0x005f	0x005f	;Spacing Underscore
0x0060	0xc120	;Spacing Grave
0x0061	0x0061	;a
0x0062	0x0062	;b
0x0063	0x0063	;c
0x0064	0x0064	;d
0x0065	0x0065	;e
0x0066	0x0066	;f
0x0067	0x0067	;g
0x0068	0x0068	;h
0x0069	0x0069	;i
0x006a	0x006a	;j
0x006b	0x006b	;k
0x006c	0x006c	;l
0x006d	0x006d	;m
0x006e	0x006e	;n
0x006f	0x006f	;o
0x0070	0x0070	;p
0x0071	0x0071	;q
0x0072	0x0072	;r
0x0073	0x0073	;s
0x0074	0x0074	;t
0x0075	0x0075	;u
0x0076	0x0076	;v
0x0077	0x0077	;w
0x0078	0x0078	;x
0x0079	0x0079	;y
0x007a	0x007a	;z
0x007c	0x007c	;Vertical Bar
0x007e	0xc420	;Spacing Tilde
0x0080	0x0080	;Control -> Undefined
0x0081	0x0081	;Control -> Undefined
0x0082	0x0082	;Control -> Undefined
0x0083	0x0083	;Control -> Undefined
0x0084	0x0084	;Control -> Undefined
0x0085	0x0085	;Control -> Undefined
0x0086	0x0086	;Control -> Undefined
0x0087	0x0087	;Control -> Undefined
0x0088	0x0088	;Control -> Undefined
0x0089	0x0089	;Control -> Undefined
0x008a	0x008a	;Control -> Undefined
0x008b	0x008b	;Control -> Undefined
0x008c	0x008c	;Control -> Undefined
0x008d	0x008d	;Control -> Undefined
0x008e	0x008e	;Control -> Undefined
0x008f	0x008f	;Control -> Undefined
0x0090	0x0090	;Control -> Undefined
0x0091	0x0091	;Control -> Undefined
0x0092	0x0092	;Control -> Undefined
0x0093	0x0093	;Control -> Undefined
0x0094	0x0094	;Control -> Undefined
0x0095	0x0095	;Control -> Undefined
0x0096	0x0096	;Control -> Undefined
0x0097	0x0097	;Control -> Undefined
0x0098	0x0098	;Control -> Undefined
0x0099	0x0099	;Control -> Undefined
0x009a	0x009a	;Control -> Undefined
0x009b	0x009b	;Control -> Undefined
0x009c	0x009c	;Control -> Undefined
0x009d	0x009d	;Control -> Undefined
0x009e	0x009e	;Control -> Undefined
0x009f	0x009f	;Control -> Undefined
0x00a1	0x00a1	;Inverted Exclamation Mark
0x00a2	0x00a2	;Cent Sign
0x00a3	0x00a3	;Pound Sign
0x00a4	0x00a8	;Currency Sign
0x00a5	0x00a5	;Yen Sign
0x00a7	0x00a7	;Section Sign
0x00a8	0xc820	;Spacing Diaeresis
0x00aa	0x00e3	;Feminine Ordinal Indicator
0x00ab	0x00ab	;Left Pointing Guillemet
0x00af	0xc520	;Spacing Macron
0x00b0	0x00b0	;Degree Sign
0x00b1	0x00b1	;Plus-Or-Minus Sign
0x00b2	0x00b2	;Superscript Digit 2
0x00b3	0x00b3	;Superscript Digit 3
0x00b4	0xc220	;Spacing Acute
0x00b5	0x00b5	;Micro Sign
0x00b6	0x00b6	;Paragraph Sign
0x00b7	0x00b7	;Middle Dot
0x00b8	0xcb20	;Spacing Cedilla
0x00ba	0x00eb	;Masculine Ordinal Indicator
0x00bb	0x00bb	;Right Pointing Guillemet
0x00bc	0x00bc	;Fraction One Quarter
0x00bd	0x00bd	;Fraction One Half
0x00be	0x00be	;Fraction Three Quarters
0x00bf	0x00bf	;Inverted Question Mark
0x00c0	0xc141	;A + Grave
0x00c1	0xc241	;A + Acute
0x00c2	0xc341	;A + Circumflex
0x00c3	0xc441	;A + Tilde
0x00c4	0xc841	;A + Diaeresis
0x00c5	0xca41	;A + Ring
0x00c6	0x00e1	;AE
0x00c7	0xcb43	;C + Cedilla
0x00c8	0xc145	;E + Grave
0x00c9	0xc245	;E + Acute
0x00ca	0xc345	;E + Circumflex
0x00cb	0xc845	;E + Diaeresis
0x00cc	0xc149	;I + Grave
0x00cd	0xc249	;I + Acute
0x00ce	0xc349	;I + Circumflex
0x00cf	0xc849	;I + Diaeresis
0x00d0	0x00e2	;Capital Eth
0x00d1	0xc44e	;N + Tilde
0x00d2	0xc14f	;O + Grave
0x00d3	0xc24f	;O + Acute
0x00d4	0xc34f	;O + Circumflex
0x00d5	0xc44f	;O + Tilde
0x00d6	0xc84f	;O + Diaeresis
0x00d7	0x00b4	;Multiplication Sign
0x00d8	0x00e9	;O Slash
0x00d9	0xc155	;U + Grave
0x00da	0xc255	;U + Acute
0x00db	0xc355	;U + Circumflex
0x00dc	0xc855	;U + Diaeresis
0x00dd	0xc259	;Y + Acute
0x00de	0x00ec	;Capital Thorn
0x00df	0x00fb	;Sharp s
0x00e0	0xc161	;a + Grave
0x00e1	0xc261	;a + Acute
0x00e2	0xc361	;a + Circumflex
0x00e3	0xc461	;a + Tilde
0x00e4	0xc861	;a + Diaeresis
0x00e5	0xca61	;a + Ring
0x00e6	0x00f1	;ae
0x00e7	0xcb63	;c + Cedilla
0x00e8	0xc165	;e + Grave
0x00e9	0xc265	;e + Acute
0x00ea	0xc365	;e + Circumflex
0x00eb	0xc865	;e + Diaeresis
0x00ec	0xc169	;i + Grave
0x00ed	0xc269	;i + Acute
0x00ee	0xc369	;i + Circumflex
0x00ef	0xc869	;i + Diaeresis
0x00f0	0x00f3	;Small Eth
0x00f1	0xc46e	;n + Tilde
0x00f2	0xc16f	;o + Grave
0x00f3	0xc26f	;o + Acute
0x00f4	0xc36f	;o + Circumflex
0x00f5	0xc46f	;o + Tilde
0x00f6	0xc86f	;o + Diaeresis
0x00f7	0x00b8	;Division Sign
0x00f8	0x00f9	;o Slash
0x00f9	0xc175	;u + Grave
0x00fa	0xc275	;u + Acute
0x00fb	0xc375	;u + Circumflex
0x00fc	0xc875	;u + Diaeresis
0x00fd	0xc279	;y + Acute
0x00fe	0x00fc	;Small Thorn
0x00ff	0xc879	;y + Diaeresis
0x0100	0xc541	;A + Macron
0x0101	0xc561	;a + Macron
0x0102	0xc641	;A + Breve
0x0103	0xc661	;a + Breve
0x0104	0xce41	;A + Ogonek
0x0105	0xce61	;a + Ogonek
0x0106	0xc243	;C + Acute
0x0107	0xc263	;c + Acute
0x0108	0xc343	;C + Circumflex
