CODEPAGE 10006          ;Greek I - MAC
0x3a	0x003a	;Colon
0x3b	0x003b	;Semicolon
0x3c	0x003c	;Less-Than Sign
0x3d	0x003d	;Equals Sign
0x3e	0x003e	;Greater-Than Sign
0x3f	0x003f	;Question Mark
0x40	0x0040	;Commercial At
0x41	0x0041	;Latin Capital Letter A
0x42	0x0042	;Latin Capital Letter B
0x43	0x0043	;Latin Capital Letter C
0x44	0x0044	;Latin Capital Letter D
0x45	0x0045	;Latin Capital Letter E
0x46	0x0046	;Latin Capital Letter F
0x47	0x0047	;Latin Capital Letter G
0x48	0x0048	;Latin Capital Letter H
0x49	0x0049	;Latin Capital Letter I
0x4a	0x004a	;Latin Capital Letter J
0x4b	0x004b	;Latin Capital Letter K
0x4c	0x004c	;Latin Capital Letter L
0x4d	0x004d	;Latin Capital Letter M
0x4e	0x004e	;Latin Capital Letter N
0x4f	0x004f	;Latin Capital Letter O
0x50	0x0050	;Latin Capital Letter P
0x51	0x0051	;Latin Capital Letter Q
0x52	0x0052	;Latin Capital Letter R
0x53	0x0053	;Latin Capital Letter S
0x54	0x0054	;Latin Capital Letter T
0x55	0x0055	;Latin Capital Letter U
0x56	0x0056	;Latin Capital Letter V
0x57	0x0057	;Latin Capital Letter W
0x58	0x0058	;Latin Capital Letter X
0x59	0x0059	;Latin Capital Letter Y
0x5a	0x005a	;Latin Capital Letter Z
0x5b	0x005b	;Left Square Bracket
0x5c	0x005c	;Reverse Solidus
0x5d	0x005d	;Right Square Bracket
0x5e	0x005e	;Circumflex Accent
0x5f	0x005f	;Low Line
0x60	0x0060	;Grave Accent
0x61	0x0061	;Latin Small Letter A
0x62	0x0062	;Latin Small Letter B
0x63	0x0063	;Latin Small Letter C
0x64	0x0064	;Latin Small Letter D
0x65	0x0065	;Latin Small Letter E
0x66	0x0066	;Latin Small Letter F
0x67	0x0067	;Latin Small Letter G
0x68	0x0068	;Latin Small Letter H
0x69	0x0069	;Latin Small Letter I
0x6a	0x006a	;Latin Small Letter J
0x6b	0x006b	;Latin Small Letter K
0x6c	0x006c	;Latin Small Letter L
0x6d	0x006d	;Latin Small Letter M
0x6e	0x006e	;Latin Small Letter N
0x6f	0x006f	;Latin Small Letter O
0x70	0x0070	;Latin Small Letter P
0x71	0x0071	;Latin Small Letter Q
0x72	0x0072	;Latin Small Letter R
0x73	0x0073	;Latin Small Letter S
0x74	0x0074	;Latin Small Letter T
0x75	0x0075	;Latin Small Letter U
0x76	0x0076	;Latin Small Letter V
0x77	0x0077	;Latin Small Letter W
0x78	0x0078	;Latin Small Letter X
0x79	0x0079	;Latin Small Letter Y
0x7a	0x007a	;Latin Small Letter Z
0x7b	0x007b	;Left Curly Bracket
0x7c	0x007c	;Vertical Line
0x7d	0x007d	;Right Curly Bracket
0x7e	0x007e	;Tilde
0x7f	0x007f	;Delete
0x80	0x00c4	;Latin Capital Letter A With Diaeresis
0x81	0x00b9	;Superscript One
0x82	0x00b2	;Superscript Two
0x83	0x00c9	;Latin Capital Letter E With Acute
0x84	0x00b3	;Superscript Three
0x85	0x00d6	;Latin Capital Letter O With Diaeresis
0x86	0x00dc	;Latin Capital Letter U With Diaeresis
0x87	0x0385	;Greek Dialytika Tonos
0x88	0x00e0	;Latin Small Letter A With Grave
0x89	0x00e2	;Latin Small Letter A With Circumflex
0x8a	0x00e4	;Latin Small Letter A With Diaeresis
0x8b	0x0384	;Greek Tonos
0x8c	0x00a8	;Diaeresis
0x8d	0x00e7	;Latin Small Letter C With Cedilla
0x8e	0x00e9	;Latin Small Letter E With Acute
0x8f	0x00e8	;Latin Small Letter E With Grave
0x90	0x00ea	;Latin Small Letter E With Circumflex
0x91	0x00eb	;Latin Small Letter E With Diaeresis
0x92	0x00a3	;Pound Sign
0x93	0x2122	;Trade Mark Sign
0x94	0x00ee	;Latin Small Letter I With Circumflex
0x95	0x00ef	;Latin Small Letter I With Diaeresis
0x96	0x2022	;Bullet
0x97	0x00bd	;Vulgar Fraction One Half
0x98	0x2030	;Per Mille Sign
0x99	0x00f4	;Latin Small Letter O With Circumflex
0x9a	0x00f6	;Latin Small Letter O With Diaeresis
0x9b	0x00a6	;Broken Bar
0x9c	0x00ad	;Soft Hyphen
0x9d	0x00f9	;Latin Small Letter U With Grave
0x9e	0x00fb	;Latin Small Letter U With Circumflex
0x9f	0x00fc	;Latin Small Letter U With Diaeresis
0xa0	0x2020	;Dagger
0xa1	0x0393	;Greek Capital Letter Gamma
0xa2	0x0394	;Greek Capital Letter Delta
0xa3	0x0398	;Greek Capital Letter Theta
0xa4	0x039b	;Greek Capital Letter Lambda
0xa5	0x039e	;Greek Capital Letter Xi
0xa6	0x03a0	;Greek Capital Letter Pi
0xa7	0x00df	;Latin Small Letter Sharp S
0xa8	0x00ae	;Registered Sign
0xa9	0x00a9	;Copyright Sign
0xaa	0x03a3	;Greek Capital Letter Sigma
0xab	0x03aa	;Greek Capital Letter Iota With Dialytika
0xac	0x00a7	;Section Sign
0xad	0x2260	;Not Equal To
0xae	0x00b0	;Degree Sign
0xaf	0x0387	;Greek Ano Teleia
0xb0	0x0391	;Greek Capital Letter Alpha
0xb1	0x00b1	;Plus-Minus Sign
0xb2	0x2264	;Less-Than Or Equal To
0xb3	0x2265	;Greater-Than Or Equal To
0xb4	0x00a5	;Yen Sign
0xb5	0x0392	;Greek Capital Letter Beta
0xb6	0x0395	;Greek Capital Letter Epsilon
0xb7	0x0396	;Greek Capital Letter Zeta
0xb8	0x0397	;Greek Capital Letter Eta
0xb9	0x0399	;Greek Capital Letter Iota
0xba	0x039a	;Greek Capital Letter Kappa
0xbb	0x039c	;Greek Capital Letter Mu
0xbc	0x03a6	;Greek Capital Letter Phi
0xbd	0x03ab	;Greek Capital Letter Upsilon With Dialytika
0xbe	0x03a8	;Greek Capital Letter Psi
0xbf	0x03a9	;Greek Capital Letter Omega
0xc0	0x03ac	;Greek Small Letter Alpha With Tonos
0xc1	0x039d	;Greek Capital Letter Nu
0xc2	0x00ac	;Not Sign
0xc3	0x039f	;Greek Capital Letter Omicron
0xc4	0x03a1	;Greek Capital Letter Rho
0xc5	0x2248	;Almost Equal To
0xc6	0x03a4	;Greek Capital Letter Tau
0xc7	0x00ab	;Left-Pointing Double Angle Quotation Mark
0xc8	0x00bb	;Right-Pointing Double Angle Quotation Mark
0xc9	0x2026	;Horizontal Ellipsis
0xca	0x00a0	;No-Break Space
0xcb	0x03a5	;Greek Capital Letter Upsilon
0xcc	0x03a7	;Greek Capital Letter Chi
0xcd	0x0386	;Greek Capital Letter Alpha With Tonos
0xce	0x0388	;Greek Capital Letter Epsilon With Tonos
0xcf	0x0153	;Latin Small Ligature Oe
0xd0	0x2013	;En Dash
0xd1	0x2015	;Horizontal Bar
0xd2	0x201c	;Left Double Quotation Mark
0xd3	0x201d	;Right Double Quotation Mark
0xd4	0x2018	;Left Single Quotation Mark
0xd5	0x2019	;Right Single Quotation Mark
0xd6	0x00f7	;Division Sign
0xd7	0x0389	;Greek Capital Letter Eta With Tonos
0xd8	0x038a	;Greek Capital Letter Iota With Tonos
0xd9	0x038c	;Greek Capital Letter Omicron With Tonos
0xda	0x038e	;Greek Capital Letter Upsilon With Tonos
0xdb	0x03ad	;Greek Small Letter Epsilon With Tonos
0xdc	0x03ae	;Greek Small Letter Eta With Tonos
0xdd	0x03af	;Greek Small Letter Iota With Tonos
0xde	0x03cc	;Greek Small Letter Omicron With Tonos
0xdf	0x038f	;Greek Capital Letter Omega With Tonos
0xe0	0x03cd	;Greek Small Letter Upsilon With Tonos
0xe1	0x03b1	;Greek Small Letter Alpha
0xe2	0x03b2	;Greek Small Letter Beta
0xe3	0x03c8	;Greek Small Letter Psi
0xe4	0x03b4	;Greek Small Letter Delta
0xe5	0x03b5	;Greek Small Letter Epsilon
0xe6	0x03c6	;Greek Small Letter Phi
0xe7	0x03b3	;Greek Small Letter Gamma
0xe8	0x03b7	;Greek Small Letter Eta
0xe9	0x03b9	;Greek Small Letter Iota
0xea	0x03be	;Greek Small Letter Xi
0xeb	0x03ba	;Greek Small Letter Kappa
0xec	0x03bb	;Greek Small Letter Lambda
0xed	0x03bc	;Greek Small Letter Mu
0xee	0x03bd	;Greek Small Letter Nu
0xef	0x03bf	;Greek Small Letter Omicron
0xf0	0x03c0	;Greek Small Letter Pi
0xf1	0x03ce	;Greek Small Letter Omega With Tonos
0xf2	0x03c1	;Greek Small Letter Rho
0xf3	0x03c3	;Greek Small Letter Sigma
0xf4	0x03c4	;Greek Small Letter Tau
0xf5	0x03b8	;Greek Small Letter Theta
0xf6	0x03c9	;Greek Small Letter Omega
0xf7	0x03c2	;Greek Small Letter Final Sigma
0xf8	0x03c7	;Greek Small Letter Chi
0xf9	0x03c5	;Greek Small Letter Upsilon
0xfa	0x03b6	;Greek Small Letter Zeta
0xfb	0x03ca	;Greek Small Letter Iota With Dialytika
0xfc	0x03cb	;Greek Small Letter Upsilon With Dialytika
0xfd	0x0390	;Greek Small Letter Iota With Dialytika And Tonos
0xfe	0x03b0	;Greek Small Letter Upsilon With Dialytika And Tonos
0xff	0xf8a0	;Undefined -> EUDC


WCTABLE 256

0x0000	0x00	;Null
0x0001	0x01	;Start Of Heading
0x0002	0x02	;Start Of Text
0x0003	0x03	;End Of Text
0x0004	0x04	;End Of Transmission
0x0005	0x05	;Enquiry
0x0006	0x06	;Acknowledge
0x0007	0x07	;Bell
0x0008	0x08	;Backspace
0x0009	0x09	;Horizontal Tabulation
0x000a	0x0a	;Line Feed
0x000b	0x0b	;Vertical Tabulation
0x000c	0x0c	;Form Feed
0x000d	0x0d	;Carriage Return
0x000e	0x0e	;Shift Out
0x000f	0x0f	;Shift In
0x0010	0x10	;Data Link Escape
0x0011	0x11	;Device Control One
0x0012	0x12	;Device Control Two
0x0013	0x13	;Device Control Three
0x0014	0x14	;Device Control Four
0x0015	0x15	;Negative Acknowledge
0x0016	0x16	;Synchronous Idle
0x0017	0x17	;End Of Transmission Block
0x0018	0x18	;Cancel
0x0019	0x19	;End Of Medium
0x001a	0x1a	;Substitute
0x001b	0x1b	;Escape
0x001c	0x1c	;File Separator
0x001d	0x1d	;Group Separator
0x001e	0x1e	;Record Separator
0x001f	0x1f	;Unit Separator
0x0020	0x20	;Space
0x0021	0x21	;Exclamation Mark
0x0022	0x22	;Quotation Mark
0x0023	0x23	;Number Sign
0x0024	0x24	;Dollar Sign
0x0025	0x25	;Percent Sign
0x0026	0x26	;Ampersand
0x0027	0x27	;Apostrophe
0x0028	0x28	;Left Parenthesis
0x0029	0x29	;Right Parenthesis
0x002a	0x2a	;Asterisk
0x002b	0x2b	;Plus Sign
0x002c	0x2c	;Comma
0x002d	0x2d	;Hyphen-Minus
0x002e	0x2e	;Full Stop
0x002f	0x2f	;Solidus
0x0030	0x30	;Digit Zero
0x0031	0x31	;Digit One
0x0032	0x32	;Digit Two
0x0033	0x33	;Digit Three
0x0034	0x34	;Digit Four
0x0035	0x35	;Digit Five
0x0036	0x36	;Digit Six
0x0037	0x37	;Digit Seven
0x0038	0x38	;Digit Eight
0x0039	0x39	;Digit Nine
0x003a	0x3a	;Colon
0x003b	0x3b	;Semicolon
0x003c	0x3c	;Less-Than Sign
0x003d	0x3d	;Equals Sign
0x003e	0x3e	;Greater-Than Sign
0x003f	0x3f	;Question Mark
0x0040	0x40	;Commercial At
0x0041	0x41	;Latin Capital Letter A
0x0042	0x42	;Latin Capital Letter B
0x0043	0x43	;Latin Capital Letter C
0x0044	0x44	;Latin Capital Letter D
0x0045	0x45	;Latin Capital Letter E
0x0046	0x46	;Latin Capital Letter F
0x0047	0x47	;Latin Capital Letter G
0x0048	0x48	;Latin Capital Letter H
0x0049	0x49	;Latin Capital Letter I
0x004a	0x4a	;Latin Capital Letter J
0x004b	0x4b	;Latin Capital Letter K
0x004c	0x4c	;Latin Capital Letter L
0x004d	0x4d	;Latin Capital Letter M
0x004e	0x4e	;Latin Capital Letter N
0x004f	0x4f	;Latin Capital Letter O
0x0050	0x50	;Latin Capital Letter P
0x0051	0x51	;Latin Capital Letter Q
0x0052	0x52	;Latin Capital Letter R
0x0053	0x53	;Latin Capital Letter S
0x0054	0x54	;Latin Capital Letter T
0x0055	0x55	;Latin Capital Letter U
0x0056	0x56	;Latin Capital Letter V
0x0057	0x57	;Latin Capital Letter W
0x0058	0x58	;Latin Capital Letter X
0x0059	0x59	;Latin Capital Letter Y
0x005a	0x5a	;Latin Capital Letter Z
0x005b	0x5b	;Left Square Bracket
0x005c	0x5c	;Reverse Solidus
0x005d	0x5d	;Right Square Bracket
0x005e	0x5e	;Circumflex Accent
0x005f	0x5f	;Low Line
0x0060	0x60	;Grave Accent
0x0061	0x61	;Latin Small Letter A
0x0062	0x62	;Latin Small Letter B
0x0063	0x63	;Latin Small Letter C
0x0064	0x64	;Latin Small Letter D
0x0065	0x65	;Latin Small Letter E
0x0066	0x66	;Latin Small Letter F
0x0067	0x67	;Latin Small Letter G
0x0068	0x68	;Latin Small Letter H
0x0069	0x69	;Latin Small Letter I
0x006a	0x6a	;Latin Small Letter J
0x006b	0x6b	;Latin Small Letter K
0x006c	0x6c	;Latin Small Letter L
0x006d	0x6d	;Latin Small Letter M
0x006e	0x6e	;Latin Small Letter N
0x006f	0x6f	;Latin Small Letter O
0x0070	0x70	;Latin Small Letter P
0x0071	0x71	;Latin Small Letter Q
0x0072	0x72	;Latin Small Letter R
0x0073	0x73	;Latin Small Letter S
0x0074	0x74	;Latin Small Letter T
0x0075	0x75	;Latin Small Letter U
0x0076	0x76	;Latin Small Letter V
0x0077	0x77	;Latin Small Letter W
0x0078	0x78	;Latin Small Letter X
0x0079	0x79	;Latin Small Letter Y
0x007a	0x7a	;Latin Small Letter Z
0x007b	0x7b	;Left Curly Bracket
0x007c	0x7c	;Vertical Line
0x007d	0x7d	;Right Curly Bracket
0x007e	0x7e	;Tilde
0x007f	0x7f	;Delete
0x00a0	0xca	;No-Break Space
0x00a3	0x92	;Pound Sign
0x00a5	0xb4	;Yen Sign
0x00a6	0x9b	;Broken Bar
0x00a7	0xac	;Section Sign
0x00a8	0x8c	;Diaeresis
0x00a9	0xa9	;Copyright Sign
0x00ab	0xc7	;Left-Pointing Double Angle Quotation Mark
0x00ac	0xc2	;Not Sign
0x00ad	0x9c	;Soft Hyphen
0x00ae	0xa8	;Registered Sign
0x00b0	0xae	;Degree Sign
0x00b1	0xb1	;Plus-Minus Sign
0x00b2	0x82	;Superscript Two
0x00b3	0x84	;Superscript Three
0x00b9	0x81	;Superscript One
0x00bb	0xc8	;Right-Pointing Double Angle Quotation Mark
0x00bd	0x97	;Vulgar Fraction One Half
0x00c4	0x80	;Latin Capital Letter A With Diaeresis
0x00c9	0x83	;Latin Capital Letter E With Acute
0x00d6	0x85	;Latin Capital Letter O With Diaeresis
0x00dc	0x86	;Latin Capital Letter U With Diaeresis
0x00df	0xa7	;Latin Small Letter Sharp S
0x00e0	0x88	;Latin Small Letter A With Grave
0x00e2	0x89	;Latin Small Letter A With Circumflex
0x00e4	0x8a	;Latin Small Letter A With Diaeresis
0x00e7	0x8d	;Latin Small Letter C With Cedilla
0x00e8	0x8f	;Latin Small Letter E With Grave
0x00e9	0x8e	;Latin Small Letter E With Acute
0x00ea	0x90	;Latin Small Letter E With Circumflex
0x00eb	0x91	;Latin Small Letter E With Diaeresis
0x00ee	0x94	;Latin Small Letter I With Circumflex
0x00ef	0x95	;Latin Small Letter I With Diaeresis
0x00f4	0x99	;Latin Small Letter O With Circumflex
0x00f6	0x9a	;Latin Small Letter O With Diaeresis
0x00f7	0xd6	;Division Sign
0x00f9	0x9d	;Latin Small Letter U With Grave
0x00fb	0x9e	;Latin Small Letter U With Circumflex
0x00fc	0x9f	;Latin Small Letter U With Diaeresis
0x0153	0xcf	;Latin Small Ligature Oe
0x0384	0x8b	;Greek Tonos
0x0385	0x87	;Greek Dialytika Tonos
0x0386	0xcd	;Greek Capital Letter Alpha With Tonos
0x0387	0xaf	;Greek Ano Teleia
0x0388	0xce	;Greek Capital Letter Epsilon With Tonos
0x0389	0xd7	;Greek Capital Letter Eta With Tonos
0x038a	0xd8	;Greek Capital Letter Iota With Tonos
0x038c	0xd9	;Greek Capital Letter Omicron With Tonos
0x038e	0xda	;Greek Capital Letter Upsilon With Tonos
0x038f	0xdf	;Greek Capital Letter Omega With Tonos
0x0390	0xfd	;Greek Small Letter Iota With Dialytika And Tonos
0x0391	0xb0	;Greek Capital Letter Alpha
0x0392	0xb5	;Greek Capital Letter Beta
0x0393	0xa1	;Greek Capital Letter Gamma
0x0394	0xa2	;Greek Capital Letter Delta
0x0395	0xb6	;Greek Capital Letter Epsilon
0x0396	0xb7	;Greek Capital Letter Zeta
0x0397	0xb8	;Greek Capital Letter Eta
0x0398	0xa3	;Greek Capital Letter Theta
0x0399	0xb9	;Greek Capital Letter Iota
0x039a	0xba	;Greek Capital Letter Kappa
0x039b	0xa4	;Greek Capital Letter Lambda
0x039c	0xbb	;Greek Capital Letter Mu
0x039d	0xc1	;Greek Capital Letter Nu
0x039e	0xa5	;Greek Capital Letter Xi
0x039f	0xc3	;Greek Capital Letter Omicron
0x03a0	0xa6	;Greek Capital Letter Pi
0x03a1	0xc4	;Greek Capital Letter Rho
0x03a3	0xaa	;Greek Capital Letter Sigma
0x03a4	0xc6	;Greek Capital Letter Tau
0x03a5	0xcb	;Greek Capital Letter Upsilon
0x03a6	0xbc	;Greek Capital Letter Phi
0x03a7	0xcc	;Greek Capital Letter Chi
0x03a8	0xbe	;Greek Capital Letter Psi
0x03a9	0xbf	;Greek Capital Letter Omega
0x03aa	0xab	;Greek Capital Letter Iota With Dialytika
0x03ab	0xbd	;Greek Capital Letter Upsilon With Dialytika
0x03ac	0xc0	;Greek Small Letter Alpha With Tonos
0x03ad	0xdb	;Greek Small Letter Epsilon With Tonos
0x03ae	0xdc	;Greek Small Letter Eta With Tonos
0x03af	0xdd	;Greek Small Letter Iota With Tonos
0x03b0	0xfe	;Greek Small Letter Upsilon With Dialytika And Tonos
0x03b1	0xe1	;Greek Small Letter Alpha
0x03b2	0xe2	;Greek Small Letter Beta
0x03b3	0xe7	;Greek Small Letter Gamma
0x03b4	0xe4	;Greek Small Letter Delta
0x03b5	0xe5	;Greek Small Letter Epsilon
0x03b6	0xfa	;Greek Small Letter Zeta
0x03b7	0xe8	;Greek Small Letter Eta
0x03b8	0xf5	;Greek Small Letter Theta
0x03b9	0xe9	;Greek Small Letter Iota
0x03ba	0xeb	;Greek Small Letter Kappa
0x03bb	0xec	;Greek Small Letter Lambda
0x03bc	0xed	;Greek Small Letter Mu
0x03bd	0xee	;Greek Small Letter Nu
0x03be	0xea	;Greek Small Letter Xi
0x03bf	0xef	;Greek Small Letter Omicron
0x03c0	0xf0	;Greek Small Letter Pi
0x03c1	0xf2	;Greek Small Letter Rho
0x03c2	0xf7	;Greek Small Letter Final Sigma
0x03c3	0xf3	;Greek Small Letter Sigma
0x03c4	0xf4	;Greek Small Letter Tau
0x03c5	0xf9	;Greek Small Letter Upsilon
0x03c6	0xe6	;Greek Small Letter Phi
0x03c7	0xf8	;Greek Small Letter Chi
0x03c8	0xe3	;Greek Small Letter Psi
0x03c9	0xf6	;Greek Small Letter Omega
0x03ca	0xfb	;Greek Small Letter Iota With Dialytika
0x03cb	0xfc	;Greek Small Letter Upsilon With Dialytika
0x03cc	0xde	;Greek Small Letter Omicron With Tonos
0x03cd	0xe0	;Greek Small Letter Upsilon With Tonos
0x03ce	0xf1	;Greek Small Letter Omega With Tonos
0x2013	0xd0	;En Dash
0x2015	0xd1	;Horizontal Bar
0x2018	0xd4	;Left Single Quotation Mark
0x2019	0xd5	;Right Single Quotation Mark
0x201c	0xd2	;Left Double Quotation Mark
0x201d	0xd3	;Right Double Quotation Mark
0x2020	0xa0	;Dagger
0x2022	0x96	;Bullet
0x2026	0xc9	;Horizontal Ellipsis
0x2030	0x98	;Per Mille Sign
0x2122	0x93	;Trade Mark Sign
0x2248	0xc5	;Almost Equal To
0x2260	0xad	;Not Equal To
0x2264	0xb2	;Less-Than Or Equal To
0x2265	0xb3	;Greater-Than Or Equal To
0xf8a0	0xff	;Undefined -> EUDC

ENDCODEPAGE

