# DerivedNormalizationProps-5.0.0.txt
# Date: 2006-06-07, 17:42:44 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2006 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

# Derived Property: FC_NFKC_Closure
#  Generated from computing: b = NFKC(Fold(a)); c = NFKC(Fold(b));
#  Then if (c != b) add the mapping from a to c to the set of
#  mappings that constitute the FC_NFKC_Closure list
#  Uses the full case folding from CaseFolding.txt, without the T option.

037A  ; FC_NFKC; 0020 03B9
1D6B9 ; FC_NFKC; 03B8
1D6BA ; FC_NFKC; 03C3
1D6BB ; FC_NFKC; 03C4
1D6BC ; FC_NFKC; 03C5
1D6BD ; FC_NFKC; 03C6
1D6BE ; FC_NFKC; 03C7
1D6BF ; FC_NFKC; 03C8
1D6C0 ; FC_NFKC; 03C9
1D6D3 ; FC_NFKC; 03C3
1D6E2 ; FC_NFKC; 03B1
1D6E3 ; FC_NFKC; 03B2
1D6E4 ; FC_NFKC; 03B3
1D6E5 ; FC_NFKC; 03B4
1D6E6 ; FC_NFKC; 03B5
1D6E7 ; FC_NFKC; 03B6
1D6E8 ; FC_NFKC; 03B7
1D6E9 ; FC_NFKC; 03B8
1D6EA ; FC_NFKC; 03B9
1D6EB ; FC_NFKC; 03BA
1D6EC ; FC_NFKC; 03BB
1D6ED ; FC_NFKC; 03BC
1D6EE ; FC_NFKC; 03BD
1D6EF ; FC_NFKC; 03BE
1D6F0 ; FC_NFKC; 03BF
1D6F1 ; FC_NFKC; 03C0
1D6F2 ; FC_NFKC; 03C1
1D6F3 ; FC_NFKC; 03B8
1D6F4 ; FC_NFKC; 03C3
1D6F5 ; FC_NFKC; 03C4
1D6F6 ; FC_NFKC; 03C5
1D6F7 ; FC_NFKC; 03C6
1D6F8 ; FC_NFKC; 03C7
1D6F9 ; FC_NFKC; 03C8
1D6FA ; FC_NFKC; 03C9
1D70D ; FC_NFKC; 03C3
1D71C ; FC_NFKC; 03B1
1D71D ; FC_NFKC; 03B2
1D71E ; FC_NFKC; 03B3
1D71F ; FC_NFKC; 03B4
1D720 ; FC_NFKC; 03B5
1D721 ; FC_NFKC; 03B6
1D722 ; FC_NFKC; 03B7
1D723 ; FC_NFKC; 03B8
1D724 ; FC_NFKC; 03B9
1D725 ; FC_NFKC; 03BA
1D726 ; FC_NFKC; 03BB
1D727 ; FC_NFKC; 03BC
1D728 ; FC_NFKC; 03BD
1D729 ; FC_NFKC; 03BE
1D72A ; FC_NFKC; 03BF
1D72B ; FC_NFKC; 03C0
1D72C ; FC_NFKC; 03C1
1D72D ; FC_NFKC; 03B8
1D72E ; FC_NFKC; 03C3
1D72F ; FC_NFKC; 03C4
1D730 ; FC_NFKC; 03C5
1D731 ; FC_NFKC; 03C6
1D732 ; FC_NFKC; 03C7
1D733 ; FC_NFKC; 03C8
1D734 ; FC_NFKC; 03C9
1D747 ; FC_NFKC; 03C3
1D756 ; FC_NFKC; 03B1
1D757 ; FC_NFKC; 03B2
1D758 ; FC_NFKC; 03B3
1D759 ; FC_NFKC; 03B4
1D75A ; FC_NFKC; 03B5
1D75B ; FC_NFKC; 03B6
1D75C ; FC_NFKC; 03B7
1D75D ; FC_NFKC; 03B8
1D75E ; FC_NFKC; 03B9
1D75F ; FC_NFKC; 03BA
1D760 ; FC_NFKC; 03BB
1D761 ; FC_NFKC; 03BC
1D762 ; FC_NFKC; 03BD
1D763 ; FC_NFKC; 03BE
1D764 ; FC_NFKC; 03BF
1D765 ; FC_NFKC; 03C0
1D766 ; FC_NFKC; 03C1
1D767 ; FC_NFKC; 03B8
1D768 ; FC_NFKC; 03C3
1D769 ; FC_NFKC; 03C4
1D76A ; FC_NFKC; 03C5
1D76B ; FC_NFKC; 03C6
1D76C ; FC_NFKC; 03C7
1D76D ; FC_NFKC; 03C8
1D76E ; FC_NFKC; 03C9
1D781 ; FC_NFKC; 03C3
1D790 ; FC_NFKC; 03B1
1D791 ; FC_NFKC; 03B2
1D792 ; FC_NFKC; 03B3
1D793 ; FC_NFKC; 03B4
1D794 ; FC_NFKC; 03B5
1D795 ; FC_NFKC; 03B6
1D796 ; FC_NFKC; 03B7
1D797 ; FC_NFKC; 03B8
1D798 ; FC_NFKC; 03B9
1D799 ; FC_NFKC; 03BA
1D79A ; FC_NFKC; 03BB
1D79B ; FC_NFKC; 03BC
1D79C ; FC_NFKC; 03BD
1D79D ; FC_NFKC; 03BE
1D79E ; FC_NFKC; 03BF
1D79F ; FC_NFKC; 03C0
1D7A0 ; FC_NFKC; 03C1
1D7A1 ; FC_NFKC; 03B8
1D7A2 ; FC_NFKC; 03C3
1D7A3 ; FC_NFKC; 03C4
1D7A4 ; FC_NFKC; 03C5
1D7A5 ; FC_NFKC; 03C6
1D7A6 ; FC_NFKC; 03C7
1D7A7 ; FC_NFKC; 03C8
1D7A8 ; FC_NFKC; 03C9
1D7BB ; FC_NFKC; 03C3
1D7CA ; FC_NFKC; 03DD

# Total code points: 565

# ================================================

# Derived Property: Full_Composition_Exclusion
#  Generated from: Composition Exclusions + Singletons + Non-Starter Decompositions

0340..0341    ; Full_Composition_Exclusion
0343..0344    ; Full_Composition_Exclusion
0374          ; Full_Composition_Exclusion
037E          ; Full_Composition_Exclusion
0387          ; Full_Composition_Exclusion
0958..095F    ; Full_Composition_Exclusion
09DC..09DD    ; Full_Composition_Exclusion
09DF          ; Full_Composition_Exclusion
0A33          ; Full_Composition_Exclusion
0A36          ; Full_Composition_Exclusion
0A59..0A5B    ; Full_Composition_Exclusion
0A5E          ; Full_Composition_Exclusion
0B5C..0B5D    ; Full_Composition_Exclusion
0F43          ; Full_Composition_Exclusion
0F4D          ; Full_Composition_Exclusion
0F52          ; Full_Composition_Exclusion
0F57          ; Full_Composition_Exclusion
0F5C          ; Full_Composition_Exclusion
0F69          ; Full_Composition_Exclusion
0F73          ; Full_Composition_Exclusion
0F75..0F76    ; Full_Composition_Exclusion
0F78          ; Full_Composition_Exclusion
0F81          ; Full_Composition_Exclusion
0F93          ; Full_Composition_Exclusion
0F9D          ; Full_Composition_Exclusion
0FA2          ; Full_Composition_Exclusion
0FA7          ; Full_Composition_Exclusion
0FAC          ; Full_Composition_Exclusion
0FB9          ; Full_Composition_Exclusion
1F71          ; Full_Composition_Exclusion
1F73          ; Full_Composition_Exclusion
1F75          ; Full_Composition_Exclusion
1F77          ; Full_Composition_Exclusion
1F79          ; Full_Composition_Exclusion
1F7B          ; Full_Composition_Exclusion
1F7D          ; Full_Composition_Exclusion
1FBB          ; Full_Composition_Exclusion
1FBE          ; Full_Composition_Exclusion
1FC9          ; Full_Composition_Exclusion
1FCB          ; Full_Composition_Exclusion
1FD3          ; Full_Composition_Exclusion
1FDB          ; Full_Composition_Exclusion
1FE3          ; Full_Composition_Exclusion
1FEB          ; Full_Composition_Exclusion
1FEE..1FEF    ; Full_Composition_Exclusion
1FF9          ; Full_Composition_Exclusion
1FFB          ; Full_Composition_Exclusion
1FFD          ; Full_Composition_Exclusion
2000..2001    ; Full_Composition_Exclusion
2126          ; Full_Composition_Exclusion
212A..212B    ; Full_Composition_Exclusion
2329          ; Full_Composition_Exclusion
232A          ; Full_Composition_Exclusion
2ADC          ; Full_Composition_Exclusion
F900..FA0D    ; Full_Composition_Exclusion
FA10          ; Full_Composition_Exclusion
FA12          ; Full_Composition_Exclusion
FA15..FA1E    ; Full_Composition_Exclusion
FA20          ; Full_Composition_Exclusion
FA22          ; Full_Composition_Exclusion
FA25..FA26    ; Full_Composition_Exclusion
FA2A..FA2D    ; Full_Composition_Exclusion
FA30..FA6A    ; Full_Composition_Exclusion
FA70..FAD9    ; Full_Composition_Exclusion
FB1D          ; Full_Composition_Exclusion
FB1F          ; Full_Composition_Exclusion
FB2A..FB36    ; Full_Composition_Exclusion
FB38..FB3C    ; Full_Composition_Exclusion
FB3E          ; Full_Composition_Exclusion
FB40..FB41    ; Full_Composition_Exclusion
FB43..FB44    ; Full_Composition_Exclusion
FB46..FB4E    ; Full_Composition_Exclusion
1D15E..1D164  ; Full_Composition_Exclusion
1D1BB..1D1C0  ; Full_Composition_Exclusion
2F800..2FA1D  ; Full_Composition_Exclusion

# Total code points: 1115

# ================================================

# Property:	NFD_Quick_Check

#  All code points not explicitly listed for NFD_Quick_Check
#  have the value Yes (Y).

# @missing: 0000..10FFFF; NFD_QC; Yes

# ================================================

# NFD_Quick_Check=No

00C0..00C5    ; NFD_QC; N
00C7..00CF    ; NFD_QC; N
00D1..00D6    ; NFD_QC; N
00D9..00DD    ; NFD_QC; N
00E0..00E5    ; NFD_QC; N
00E7..00EF    ; NFD_QC; N
00F1..00F6    ; NFD_QC; N
00F9..00FD    ; NFD_QC; N
00FF..010F    ; NFD_QC; N
0112..0125    ; NFD_QC; N
0128..0130    ; NFD_QC; N
0134..0137    ; NFD_QC; N
0139..013E    ; NFD_QC; N
0143..0148    ; NFD_QC; N
014C..0151    ; NFD_QC; N
0154..0165    ; NFD_QC; N
0168..017E    ; NFD_QC; N
01A0..01A1    ; NFD_QC; N
01AF..01B0    ; NFD_QC; N
01CD..01DC    ; NFD_QC; N
01DE..01E3    ; NFD_QC; N
01E6..01F0    ; NFD_QC; N
01F4..01F5    ; NFD_QC; N
01F8..021B    ; NFD_QC; N
021E..021F    ; NFD_QC; N
0226..0233    ; NFD_QC; N
0340..0341    ; NFD_QC; N
0343..0344    ; NFD_QC; N
0374          ; NFD_QC; N
037E          ; NFD_QC; N
0385          ; NFD_QC; N
0386          ; NFD_QC; N
0387          ; NFD_QC; N
0388..038A    ; NFD_QC; N
038C          ; NFD_QC; N
038E..0390    ; NFD_QC; N
03AA..03B0    ; NFD_QC; N
03CA..03CE    ; NFD_QC; N
03D3..03D4    ; NFD_QC; N
0400..0401    ; NFD_QC; N
0403          ; NFD_QC; N
0407          ; NFD_QC; N
040C..040E    ; NFD_QC; N
0419          ; NFD_QC; N
0439          ; NFD_QC; N
0450..0451    ; NFD_QC; N
0453          ; NFD_QC; N
0457          ; NFD_QC; N
045C..045E    ; NFD_QC; N
0476..0477    ; NFD_QC; N
04C1..04C2    ; NFD_QC; N
04D0..04D3    ; NFD_QC; N
04D6..04D7    ; NFD_QC; N
