QueryEaFile,9
QueryEvent,5
QueryFullAttributesFile,2
QueryInformationFile,5
QueryInformationJobObject,5
QueryIoCompletion,5
QueryInformationPort,5
QueryInformationProcess,5
QueryInformationThread,5
QueryInformationToken,5
QueryInstallUILanguage,1
QueryIntervalProfile,2
QueryKey,5
QueryMultipleValueKey,6
QueryMutant,5
QueryObject,5
QueryOpenSubKeys,2
QueryPerformanceCounter,2
QueryQuotaInformationFile,9
QuerySection,5
QuerySecurityObject,5
QuerySemaphore,5
QuerySymbolicLinkObject,3
QuerySystemEnvironmentValue,4
QuerySystemInformation,4
QuerySystemTime,1
QueryTimer,5
QueryTimerResolution,3
QueryValueKey,6
QueryVirtualMemory,6
QueryVolumeInformationFile,5
QueueApcThread,5
RaiseException,3
RaiseHardError,6
ReadFile,9
ReadFileScatter,9
ReadRequestData,6
ReadVirtualMemory,5
RegisterThreadTerminatePort,1
ReleaseMutant,2
ReleaseSemaphore,3
RemoveIoCompletion,5
ReplaceKey,3
ReplyPort,2
ReplyWaitReceivePort,4
ReplyWaitReceivePortEx,5
ReplyWaitReplyPort,2
RequestDeviceWakeup,1
RequestPort,2
RequestWaitReplyPort,3
RequestWakeupLatency,1
ResetEvent,2
ResetWriteWatch,3
RestoreKey,3
ResumeThread,2
SaveKey,2
SaveMergedKeys,3
SecureConnectPort,9
SetIoCompletion,5
SetContextThread,2
SetDefaultHardErrorPort,1
SetDefaultLocale,2
SetDefaultUILanguage,1
SetEaFile,4
SetEvent,2
SetHighEventPair,1
SetHighWaitLowEventPair,1
SetInformationFile,5
SetInformationJobObject,4
SetInformationKey,4
SetInformationObject,4
SetInformationProcess,4
SetInformationThread,4
SetInformationToken,4
SetIntervalProfile,2
SetLdtEntries,6
SetLowEventPair,1
SetLowWaitHighEventPair,1
SetQuotaInformationFile,4
SetSecurityObject,3
SetSystemEnvironmentValue,2
SetSystemInformation,3
SetSystemPowerState,3
SetSystemTime,2
SetThreadExecutionState,2
SetTimer,7
SetTimerResolution,3
SetUuidSeed,1
SetValueKey,6
SetVolumeInformationFile,5
ShutdownSystem,1
SignalAndWaitForSingleObject,4
StartProfile,1
StopProfile,1
SuspendThread,2
SystemDebugControl,6
TerminateJobObject,2
TerminateProcess,2
TerminateThread,2
TestAlert,0
UnloadDriver,1
UnloadKey,1
UnlockFile,5
UnlockVirtualMemory,4
UnmapViewOfSection,2
VdmControl,2
WaitForMultipleObjects,5
WaitForSingleObject,3
WaitHighEventPair,1
WaitLowEventPair,1
WriteFile,9
WriteFileGather,9
WriteRequestData,6
WriteVirtualMemory,5
CreateChannel,2
ListenChannel,2
OpenChannel,2
ReplyWaitSendChannel,3
SendWaitReplyChannel,4
SetContextChannel,1
YieldExecution,0
