# WordBreakProperty-5.0.0.txt
# Date: 2006-06-07, 23:23:03 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2006 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

# Property:	Word_Break

#  All code points not explicitly listed for Word_Break
#  have the value Other (XX).

# @missing: 0000..10FFFF; Other

# ================================================

00AD          ; Format
1D770..1D788  ; ALetter
1D78A..1D7A8  ; ALetter
1D7AA..1D7C2  ; ALetter
1D7C4..1D7CB  ; ALetter

# Total code points: 21149

# ================================================

0027          ; MidLetter
003A          ; MidLetter
00B7          ; MidLetter
05F4          ; MidLetter
2019          ; MidLetter
2027          ; MidLetter

# Total code points: 6

# ================================================

002C          ; MidNum
002E          ; MidNum
003B          ; MidNum
037E          ; MidNum
0589          ; MidNum
060D          ; MidNum
07F8          ; MidNum
2044          ; MidNum
FE10          ; MidNum
FE13..FE14    ; MidNum

# Total code points: 11

# ================================================

0030..0039    ; Numeric
0660..0669    ; Numeric
066B..066C    ; Numeric
06F0..06F9    ; Numeric
07C0..07C9    ; Numeric
0966..096F    ; Numeric
09E6..09EF    ; Numeric
0A66..0A6F    ; Numeric
0AE6..0AEF    ; Numeric
0B66..0B6F    ; Numeric
0BE6..0BEF    ; Numeric
0C66..0C6F    ; Numeric
0CE6..0CEF    ; Numeric
0D66..0D6F    ; Numeric
0E50..0E59    ; Numeric
0ED0..0ED9    ; Numeric
0F20..0F29    ; Numeric
1040..1049    ; Numeric
17E0..17E9    ; Numeric
1810..1819    ; Numeric
1946..194F    ; Numeric
19D0..19D9    ; Numeric
1B50..1B59    ; Numeric
104A0..104A9  ; Numeric
1D7CE..1D7FF  ; Numeric

# Total code points: 282

# ================================================

005F          ; ExtendNumLet
203F..2040    ; ExtendNumLet
2054          ; ExtendNumLet
FE33..FE34    ; ExtendNumLet
FE4D..FE4F    ; ExtendNumLet
FF3F          ; ExtendNumLet

# Total code points: 10

# EOF
