# PropList-5.0.0.txt
# Date: 2006-06-07, 23:22:52 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2006 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

0009..000D    ; White_Space
FA70..FAD9    ; Ideographic
20000..2A6D6  ; Ideographic
2F800..2FA1D  ; Ideographic

# Total code points: 71181

# ================================================

005E          ; Diacritic
0060          ; Diacritic
00A8          ; Diacritic
00AF          ; Diacritic
00B4          ; Diacritic
00B7          ; Diacritic
00B8          ; Diacritic
02B0..02C1    ; Diacritic
02C2..02C5    ; Diacritic
02C6..02D1    ; Diacritic
02D2..02DF    ; Diacritic
02E0..02E4    ; Diacritic
02E5..02ED    ; Diacritic
02EE          ; Diacritic
02EF..02FF    ; Diacritic
0300..034E    ; Diacritic
0350..0357    ; Diacritic
035D..0362    ; Diacritic
0374..0375    ; Diacritic
037A          ; Diacritic
0384..0385    ; Diacritic
0483..0486    ; Diacritic
0559          ; Diacritic
0591..05A1    ; Diacritic
05A3..05BD    ; Diacritic
05BF          ; Diacritic
05C1..05C2    ; Diacritic
05C4          ; Diacritic
064B..0652    ; Diacritic
0657..0658    ; Diacritic
06DF..06E0    ; Diacritic
06E5..06E6    ; Diacritic
06EA..06EC    ; Diacritic
0730..074A    ; Diacritic
07A6..07B0    ; Diacritic
07EB..07F3    ; Diacritic
07F4..07F5    ; Diacritic
093C          ; Diacritic
094D          ; Diacritic
0951..0954    ; Diacritic
09BC          ; Diacritic
09CD          ; Diacritic
0A3C          ; Diacritic
0A4D          ; Diacritic
0ABC          ; Diacritic
0ACD          ; Diacritic
0B3C          ; Diacritic
0B4D          ; Diacritic
0BCD          ; Diacritic
0C4D          ; Diacritic
0CBC          ; Diacritic
0CCD          ; Diacritic
0D4D          ; Diacritic
0DCA          ; Diacritic
0E47..0E4C    ; Diacritic
0E4E          ; Diacritic
0EC8..0ECC    ; Diacritic
0F18..0F19    ; Diacritic
0F35          ; Diacritic
0F37          ; Diacritic
0F39          ; Diacritic
0F3E..0F3F    ; Diacritic
0F82..0F84    ; Diacritic
0F86..0F87    ; Diacritic
0FC6          ; Diacritic
1037          ; Diacritic
1039          ; Diacritic
17C9..17D3    ; Diacritic
17DD          ; Diacritic
1939..193B    ; Diacritic
1B34          ; Diacritic
1B44          ; Diacritic
1B6B..1B73    ; Diacritic
1D2C..1D61    ; Diacritic
1D62..1D6A    ; Diacritic
1DC4..1DCA    ; Diacritic
1DFE..1DFF    ; Diacritic
1FBD          ; Diacritic
1FBF..1FC1    ; Diacritic
1FCD..1FCF    ; Diacritic
1FDD..1FDF    ; Diacritic
1FED..1FEF    ; Diacritic
1FFD..1FFE    ; Diacritic
302A..302F    ; Diacritic
3099..309A    ; Diacritic
309B..309C    ; Diacritic
30FC          ; Diacritic
A717..A71A    ; Diacritic
A720..A721    ; Diacritic
FB1E          ; Diacritic
FE20..FE23    ; Diacritic
FF3E          ; Diacritic
FF40          ; Diacritic
FF70          ; Diacritic
FF9E..FF9F    ; Diacritic
FFE3          ; Diacritic
1D167..1D169  ; Diacritic
1D16D..1D172  ; Diacritic
1D17B..1D182  ; Diacritic
1D185..1D18B  ; Diacritic
1D1AA..1D1AD  ; Diacritic

# Total code points: 520

# ================================================

00B7          ; Extender
02D0..02D1    ; Extender
0640          ; Extender
07FA          ; Extender
0E46          ; Extender
0EC6          ; Extender
1843          ; Extender
3005          ; Extender
3031..3035    ; Extender
309D..309E    ; Extender
30FC..30FE    ; Extender
A015          ; Extender
FF70          ; Extender

# Total code points: 21

# ================================================

02B0..02B8    ; Other_Lowercase
02C0..02C1    ; Other_Lowercase
02E0..02E4    ; Other_Lowercase
0345          ; Other_Lowercase
037A          ; Other_Lowercase
1D2C..1D61    ; Other_Lowercase
1D78          ; Other_Lowercase
1D9B..1DBF    ; Other_Lowercase
2090..2094    ; Other_Lowercase
2170..217F    ; Other_Lowercase
24D0..24E9    ; Other_Lowercase

# Total code points: 157

# ================================================

2160..216F    ; Other_Uppercase
24B6..24CF    ; Other_Uppercase

# Total code points: 42

# ================================================

FDD0..FDEF    ; Noncharacter_Code_Point
FFFE..FFFF    ; Noncharacter_Code_Point
1FFFE..1FFFF  ; Noncharacter_Code_Point
2FFFE..2FFFF  ; Noncharacter_Code_Point
3FFFE..3FFFF  ; Noncharacter_Code_Point
4FFFE..4FFFF  ; Noncharacter_Code_Point
5FFFE..5FFFF  ; Noncharacter_Code_Point
6FFFE..6FFFF  ; Noncharacter_Code_Point
7FFFE..7FFFF  ; Noncharacter_Code_Point
8FFFE..8FFFF  ; Noncharacter_Code_Point
9FFFE..9FFFF  ; Noncharacter_Code_Point
AFFFE..AFFFF  ; Noncharacter_Code_Point
BFFFE..BFFFF  ; Noncharacter_Code_Point
CFFFE..CFFFF  ; Noncharacter_Code_Point
DFFFE..DFFFF  ; Noncharacter_Code_Point
EFFFE..EFFFF  ; Noncharacter_Code_Point
FFFFE..FFFFF  ; Noncharacter_Code_Point
10FFFE..10FFFF; Noncharacter_Code_Point

# Total code points: 66

# ================================================

09BE          ; Other_Grapheme_Extend
09D7          ; Other_Grapheme_Extend
0B3E          ; Other_Grapheme_Extend
0B57          ; Other_Grapheme_Extend
0BBE          ; Other_Grapheme_Extend
0BD7          ; Other_Grapheme_Extend
0CC2          ; Other_Grapheme_Extend
0CD5..0CD6    ; Other_Grapheme_Extend
0D3E          ; Other_Grapheme_Extend
0D57          ; Other_Grapheme_Extend
0DCF          ; Other_Grapheme_Extend
0DDF          ; Other_Grapheme_Extend
200C..200D    ; Other_Grapheme_Extend
1D165         ; Other_Grapheme_Extend
1D16E..1D172  ; Other_Grapheme_Extend

# Total code points: 21

# ================================================

2FF0..2FF1    ; IDS_Binary_Operator
2FF4..2FFB    ; IDS_Binary_Operator

# Total code points: 10

# ================================================

2FF2..2FF3    ; IDS_Trinary_Operator

# Total code points: 2

# ================================================

2E80..2E99    ; Radical
2E9B..2EF3    ; Radical
2F00..2FD5    ; Radical

# Total code points: 329

# ================================================

3400..4DB5    ; Unified_Ideograph
4E00..9FBB    ; Unified_Ideograph
FA0E..FA0F    ; Unified_Ideograph
FA11          ; Unified_Ideograph
FA13..FA14    ; Unified_Ideograph
FA1F          ; Unified_Ideograph
FA21          ; Unified_Ideograph
FA23..FA24    ; Unified_Ideograph
FA27..FA29    ; Unified_Ideograph
20000..2A6D6  ; Unified_Ideograph

# Total code points: 70229

# ================================================

034F          ; Other_Default_Ignorable_Code_Point
115F..1160    ; Other_Default_Ignorable_Code_Point
2064..2069    ; Other_Default_Ignorable_Code_Point
3164          ; Other_Default_Ignorable_Code_Point
FFA0          ; Other_Default_Ignorable_Code_Point
FFF0..FFF8    ; Other_Default_Ignorable_Code_Point
E0000         ; Other_Default_Ignorable_Code_Point
E0002..E001F  ; Other_Default_Ignorable_Code_Point
E0080..E00FF  ; Other_Default_Ignorable_Code_Point
E01F0..E0FFF  ; Other_Default_Ignorable_Code_Point

# Total code points: 3779

# ================================================

0340..0341    ; Deprecated
17A3          ; Deprecated
17D3          ; Deprecated
206A..206F    ; Deprecated

# Total code points: 10

# ================================================

0069..006A    ; Soft_Dotted
012F          ; Soft_Dotted
0249          ; Soft_Dotted
0268          ; Soft_Dotted
029D          ; Soft_Dotted
02B2          ; Soft_Dotted
03F3          ; Soft_Dotted
0456          ; Soft_Dotted
0458          ; Soft_Dotted
1D62          ; Soft_Dotted
1D96          ; Soft_Dotted
1DA4          ; Soft_Dotted
1DA8          ; Soft_Dotted
1E2D          ; Soft_Dotted
1ECB          ; Soft_Dotted
2071          ; Soft_Dotted
2148..2149    ; Soft_Dotted
1D422..1D423  ; Soft_Dotted
1D456..1D457  ; Soft_Dotted
1D48A..1D48B  ; Soft_Dotted
1D4BE..1D4BF  ; Soft_Dotted
1D4F2..1D4F3  ; Soft_Dotted
1D526..1D527  ; Soft_Dotted
1D55A..1D55B  ; Soft_Dotted
1D58E..1D58F  ; Soft_Dotted
1D5C2..1D5C3  ; Soft_Dotted
1D5F6..1D5F7  ; Soft_Dotted
1D62A..1D62B  ; Soft_Dotted
1D65E..1D65F  ; Soft_Dotted
1D692..1D693  ; Soft_Dotted

# Total code points: 45

# ================================================

0E40..0E44    ; Logical_Order_Exception
0EC0..0EC4    ; Logical_Order_Exception

# Total code points: 10

# ================================================

2118          ; Other_ID_Start
212E          ; Other_ID_Start
309B..309C    ; Other_ID_Start

# Total code points: 4

# ================================================

1369..1371    ; Other_ID_Continue

# Total code points: 9

# ================================================

0021          ; STerm
002E          ; STerm
003F          ; STerm
055C          ; STerm
055E          ; STerm
0589          ; STerm
061F          ; STerm
06D4          ; STerm
0700..0702    ; STerm
07F9          ; STerm
0964..0965    ; STerm
104A..104B    ; STerm
1362          ; STerm
1367..1368    ; STerm
166E          ; STerm
1803          ; STerm
1809          ; STerm
1944..1945    ; STerm
1B5A..1B5B    ; STerm
1B5E..1B5F    ; STerm
203C..203D    ; STerm
2047..2049    ; STerm
3002          ; STerm
A876..A877    ; STerm
FE52          ; STerm
FE56..FE57    ; STerm
FF01          ; STerm
FF0E          ; STerm
FF1F          ; STerm
FF61          ; STerm

# Total code points: 43

# ================================================

180B..180D    ; Variation_Selector
FE00..FE0F    ; Variation_Selector
E0100..E01EF  ; Variation_Selector

# Total code points: 259

# ================================================

0009..000D    ; Pattern_White_Space
0020          ; Pattern_White_Space
0085          ; Pattern_White_Space
200E..200F    ; Pattern_White_Space
2028          ; Pattern_White_Space
2029          ; Pattern_White_Space

# Total code points: 11

# ================================================

0021..0023    ; Pattern_Syntax
0024          ; Pattern_Syntax
0025..0027    ; Pattern_Syntax
0028          ; Pattern_Syntax
0029          ; Pattern_Syntax
002A          ; Pattern_Syntax
002B          ; Pattern_Syntax
002C          ; Pattern_Syntax
002D          ; Pattern_Syntax
002E..002F    ; Pattern_Syntax
003A..003B    ; Pattern_Syntax
003C..003E    ; Pattern_Syntax
003F..0040    ; Pattern_Syntax
005B          ; Pattern_Syntax
005C          ; Pattern_Syntax
005D          ; Pattern_Syntax
005E          ; Pattern_Syntax
0060          ; Pattern_Syntax
007B          ; Pattern_Syntax
007C          ; Pattern_Syntax
007D          ; Pattern_Syntax
007E          ; Pattern_Syntax
00A1          ; Pattern_Syntax
00A2..00A5    ; Pattern_Syntax
00A6..00A7    ; Pattern_Syntax
00A9          ; Pattern_Syntax
00AB          ; Pattern_Syntax
00AC          ; Pattern_Syntax
00AE          ; Pattern_Syntax
00B0          ; Pattern_Syntax
00B1          ; Pattern_Syntax
00B6          ; Pattern_Syntax
00BB          ; Pattern_Syntax
00BF          ; Pattern_Syntax
00D7          ; Pattern_Syntax
00F7          ; Pattern_Syntax
2010..2015    ; Pattern_Syntax
2016..2017    ; Pattern_Syntax
2018          ; Pattern_Syntax
2019          ; Pattern_Syntax
201A          ; Pattern_Syntax
201B..201C    ; Pattern_Syntax
201D          ; Pattern_Syntax
201E          ; Pattern_Syntax
201F          ; Pattern_Syntax
2020..2027    ; Pattern_Syntax
2030..2038    ; Pattern_Syntax
2039          ; Pattern_Syntax
203A          ; Pattern_Syntax
203B..203E    ; Pattern_Syntax
2041..2043    ; Pattern_Syntax
2044          ; Pattern_Syntax
2045          ; Pattern_Syntax
2046          ; Pattern_Syntax
2047..2051    ; Pattern_Syntax
2052          ; Pattern_Syntax
2053          ; Pattern_Syntax
2055..205E    ; Pattern_Syntax
2190..2194    ; Pattern_Syntax
2195..2199    ; Pattern_Syntax
219A..219B    ; Pattern_Syntax
219C..219F    ; Pattern_Syntax
21A0          ; Pattern_Syntax
21A1..21A2    ; Pattern_Syntax
21A3          ; Pattern_Syntax
21A4..21A5    ; Pattern_Syntax
21A6          ; Pattern_Syntax
21A7..21AD    ; Pattern_Syntax
21AE          ; Pattern_Syntax
21AF..21CD    ; Pattern_Syntax
21CE..21CF    ; Pattern_Syntax
21D0..21D1    ; Pattern_Syntax
21D2          ; Pattern_Syntax
21D3          ; Pattern_Syntax
21D4          ; Pattern_Syntax
21D5..21F3    ; Pattern_Syntax
21F4..22FF    ; Pattern_Syntax
2300..2307    ; Pattern_Syntax
2308..230B    ; Pattern_Syntax
230C..231F    ; Pattern_Syntax
2320..2321    ; Pattern_Syntax
2322..2328    ; Pattern_Syntax
2329          ; Pattern_Syntax
232A          ; Pattern_Syntax
232B..237B    ; Pattern_Syntax
237C          ; Pattern_Syntax
237D..239A    ; Pattern_Syntax
239B..23B3    ; Pattern_Syntax
23B4..23DB    ; Pattern_Syntax
23DC..23E1    ; Pattern_Syntax
23E2..23E7    ; Pattern_Syntax
23E8..23FF    ; Pattern_Syntax
2400..2426    ; Pattern_Syntax
2427..243F    ; Pattern_Syntax
2440..244A    ; Pattern_Syntax
244B..245F    ; Pattern_Syntax
2500..25B6    ; Pattern_Syntax
25B7          ; Pattern_Syntax
25B8..25C0    ; Pattern_Syntax
25C1          ; Pattern_Syntax
25C2..25F7    ; Pattern_Syntax
25F8..25FF    ; Pattern_Syntax
2600..266E    ; Pattern_Syntax
266F          ; Pattern_Syntax
2670..269C    ; Pattern_Syntax
269D..269F    ; Pattern_Syntax
26A0..26B2    ; Pattern_Syntax
26B3..2700    ; Pattern_Syntax
2701..2704    ; Pattern_Syntax
2705          ; Pattern_Syntax
2706..2709    ; Pattern_Syntax
270A..270B    ; Pattern_Syntax
270C..2727    ; Pattern_Syntax
2728          ; Pattern_Syntax
2729..274B    ; Pattern_Syntax
274C          ; Pattern_Syntax
274D          ; Pattern_Syntax
274E          ; Pattern_Syntax
274F..2752    ; Pattern_Syntax
2753..2755    ; Pattern_Syntax
2756          ; Pattern_Syntax
2757          ; Pattern_Syntax
2758..275E    ; Pattern_Syntax
275F..2760    ; Pattern_Syntax
2761..2767    ; Pattern_Syntax
2768          ; Pattern_Syntax
2769          ; Pattern_Syntax
276A          ; Pattern_Syntax
276B          ; Pattern_Syntax
276C          ; Pattern_Syntax
276D          ; Pattern_Syntax
276E          ; Pattern_Syntax
276F          ; Pattern_Syntax
2770          ; Pattern_Syntax
2771          ; Pattern_Syntax
2772          ; Pattern_Syntax
2773          ; Pattern_Syntax
2774          ; Pattern_Syntax
2775          ; Pattern_Syntax
2794          ; Pattern_Syntax
2795..2797    ; Pattern_Syntax
2798..27AF    ; Pattern_Syntax
27B0          ; Pattern_Syntax
27B1..27BE    ; Pattern_Syntax
27BF          ; Pattern_Syntax
27C0..27C4    ; Pattern_Syntax
27C5          ; Pattern_Syntax
27C6          ; Pattern_Syntax
27C7..27CA    ; Pattern_Syntax
27CB..27CF    ; Pattern_Syntax
